,Catalog.Id,Item.Barcode,Item.Call.Number,Item.Library.Code,Catalog.Title,Catalog.Author,Catalog.Pub.Year,Item.Created.Date,Item.Last.Checkout.Date,NumInhouseUses,NumCheckouts,NumRenewals,Duplicates,Bib.Marc.Subfield.Data,MultiVolume,modelC,MODEL,LiaisonRecommendation
22687,4071440,X004806893,HQ759 .C7253 2004,ALDERMAN,Consuming motherhood /,,0,9/28/04,4/30/17,3,14,1,1,2,FALSE,22610,0,0
22688,4756860,X030456521,HQ1236.5 .I4 K57 2008,ALDERMAN,"battling stereotypes / Zealous reformers, deadly laws :","Kishwar, Madhu.",0,8/28/08,11/11/14,2,6,2,1,2,FALSE,22611,0,0
22690,4884767,X030565859,HQ1236.5 .A78 G46 2009,ALDERMAN,The gender face of Asian politics /,,0,6/18/09,10/12/10,0,2,0,1,2,TRUE,22613,0,0
22691,4792721,X030276649,HQ799 .G7 F69 2008,ALDERMAN,"from ivory tower to global movement : a new history / Youth culture in modern Britain, c.1920-c.1970 :","Fowler, David,",0,11/17/08,5/18/10,0,3,0,1,2,TRUE,22614,0,0
22692,4773843,X030498891,HQ1236.5 .I4 R47 2008,ALDERMAN,Reservations for women /,,0,9/17/08,11/11/08,2,1,0,1,2,TRUE,22615,0,0
22693,7555586,X032164941,HQ799 .I7 L35 1965 no.27,ALDERMAN,[Hebrew] : NONROMAN,,0,5/24/18,1/1/00,0,0,0,25,2,TRUE,22616,0,0
22694,1154299,X000504092,HQ1381 .L7 1913,ALDERMAN,"a study of her economic function, The woman who spends,","Lucas, Bertha June Richardson.",0,6/29/96,6/18/08,0,10,0,1,2,FALSE,22617,0,0
22689,5344438,X030383498,HQ981 .K48 2000,ALDERMAN,Ta?addud al-zawj?t wa-atharuhu f? al-usrah wa-al-mujtama? f? al-Yaman /,"Khaff?f, ?Abd ?Al?.",200,5/9/11,1/1/00,0,0,0,1,2,FALSE,22612,0,0
22674,1136578,X000918426,HQ1201 .L2 1751 v.1,ALDERMAN,The ladies library ...,,1722,6/29/96,6/2/04,3,25,0,1,2,TRUE,22593,0,0
22382,3783936,X031940978,HQ16 .V45 1778 vol. 2,ALDERMAN,"considéré dans l'état du mariage / La génération de l'homme, ou, Tableau de l'amour conjugal :","Venette, Nicolas,",1778,12/14/17,1/1/00,1,0,0,2,2,TRUE,22258,0,0
22650,811350,X001689077,HQ1121 .A38 1779 V.2,ALDERMAN,"The history of women, from the earliest antiquity, to the present time; giving some account of almost every interesting particular concerning that sex, among all nations, ancient and modern.","Alexander, William,",1779,6/29/96,6/12/08,5,9,0,2,2,TRUE,22563,0,0
22659,1136577,X000958967,HQ1201 .H42 V.1,ALDERMAN,"A philosophical, historical, and moral essay on old maids.","Hayley, William,",1785,6/29/96,6/17/08,2,6,0,3,2,TRUE,22573,0,0
22633,1143257,X000420730,HQ31 .K6 1812 V.2,ALDERMAN,"Letters on marriage, on the causes of matrimonial infidelity, and on the reciprocal relations of the sexes.",,1812,6/29/96,4/29/08,3,2,0,2,2,TRUE,22529,0,0
22477,1810897,X030832949,HQ1019 .R6 W2,ALDERMAN,ein rechtsgeschichtlicher versuch / Ueber ehescheidungen bei den römern :,"Wächter, Karl.",1822,6/30/96,3/3/11,0,0,0,1,2,FALSE,22385,0,0
15173,3827592,X004609304,HQ1221 .C33 1830,ALDERMAN,"addressed to a young lady, on the death of her mother. Letters on female character,","Cary, Virginia,",1830,4/4/02,12/5/14,2,9,7,1,2,FALSE,16274,0,0
22617,795402,X000391019,HQ734 .A56 1834,ALDERMAN,"The genius and design of the domestic constitution, with its untransferable obligations and peculiar advantages.","Anderson, Christopher,",1834,6/29/96,5/9/08,1,0,0,1,2,FALSE,22505,0,0
22397,799198,X000425984,HQ1229 .F2 1836,ALDERMAN,The young lady's friend.,"Farrar, John,",1836,6/29/96,6/17/08,4,12,0,1,2,FALSE,22278,0,0
22253,1140998,X001585591,HQ759 .A4 1838,ALDERMAN,The young wife;,"Alcott, William A. (William Andrus),",1837,6/29/96,11/23/09,0,14,0,1,2,FALSE,22099,0,0
12826,816725,X001176217,HQ759 .S5 1838,ALDERMAN,Letters to mothers.,"Sigourney, L. H. (Lydia Howard),",1838,6/29/96,5/13/08,1,56,0,1,2,FALSE,13764,0,0
11847,804086,X000195317,HQ1593 .E47 1839 V.1-2,ALDERMAN,"The women of England : their social duties, and domestic habits /","Ellis, Sarah Stickney,",1839,6/29/96,11/17/11,6,48,0,1,2,TRUE,12705,0,0
14191,1136653,X000613167,HQ1229 .C88 1839,ALDERMAN,"The young lady's companion: in a series of letters,","Coxe, Margaret,",1839,6/29/96,11/19/13,2,30,1,1,2,FALSE,15245,0,0
