"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",24237,"X000821230","DC33.7 .B6513 1984","ALDERMAN","a social critique of the judgement of taste / Distinction :","Bourdieu, Pierre,",1984,"6/28/96","9/26/18",43,397,44,3,"2 4",FALSE,1,"0",0
"2",651336,"X000629207","DC112 .D96 D37 1983","CLEMONS","The return of Martin Guerre /","Davis, Natalie Zemon,",1983,"6/29/96","9/16/18",18,293,44,2,"2 3",TRUE,2,"0",0
"3",15773,"X000703574","DC33.4 .D37 1984","ALDERMAN","The great cat massacre and other episodes in French cultural history /","Darnton, Robert.",1984,"6/28/96","9/14/18",12,151,1,1,"2",FALSE,3,"0",0
"4",467375,"X001666277","DC33 .D33","ALDERMAN","eight essays / Society and culture in early modern France :","Davis, Natalie Zemon,",1975,"6/29/96","6/14/18",28,185,9,2,"2 3",FALSE,4,"0",0
"5",563134,"X001099074","DC241.5 .M3 1970","ALDERMAN","the letters of Spencer, Madan, 1814-1816; Spencer and Waterloo:","Madan, Spencer,",1970,"6/29/96","10/4/18",0,151,193,1,"2",FALSE,5,"0",0
"6",83760,"X001067028","DC251 .L53 1984 v.1","ALDERMAN","Les Lieux de m?emoire /","",1984,"6/28/96","5/4/18",55,537,7,7,"2",TRUE,6,"0",0
"7",4005227,"X004746348","DC801 .B77 T36 2004","ALDERMAN","Boulogne and politics in northern France and England, c. 879-1160 / Families, friends and allies :","Tanner, Heather J.",2004,"2/26/04","10/14/18",0,127,120,1,"2",TRUE,7,"0",0
"8",1935011,"X002048983","DC89.7 .S8 B87 1991","ALDERMAN","Suger : abbé de Saint-Denis, régent de France /","Bur, Michel.",1991,"6/30/96","10/19/18",1,139,85,1,"2",FALSE,9,"0",0
"9",654058,"X000688648","DC420 .C66 1983","ALDERMAN","a biography / Charles De Gaulle :","Cook, Don,",1983,"6/29/96","9/29/14",2,196,3,2,"2 3",FALSE,10,"0",0
"10",1964352,"X002108227","DC135 .F54 C83 1991","ALDERMAN","Fleury, La Bruyère et Fénelon / Une Pensée sociale catholique :","Cuche, François-Xavier.",1991,"6/30/96","10/23/18",0,134,130,1,"2",TRUE,11,"0",0
