"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1293334,"X001398163","DP681 .S58 1987 v.1","ALDERMAN","Intervenções /","Soares, Mário.",9999,"6/30/96","11/6/17",2,4,0,7,"2",TRUE,1,"0",0
"2",528495,"X000213837","DP538 .B68","ALDERMAN","The Portuguese seaborne empire, 1415-1825,","Boxer, C. R. (Charles Ralph),",1969,"6/29/96","4/20/15",3,55,8,1,"2",FALSE,2,"0",0
"3",540691,"X000238837","DP676 .S25 K3 1970","ALDERMAN","Salazar and modern Portugal.","Kay, Hugh.",1970,"6/29/96","7/20/09",1,57,0,2,"2 3",FALSE,3,"0",0
"4",144548,"X000485048","DP675 .G34 1983","ALDERMAN","Portugal : a twentieth-century interpretation /","Gallagher, Tom,",1983,"6/28/96","9/8/08",3,42,0,1,"2",FALSE,6,"0",0
"5",284591,"X000015736","DP680 .C594","ALDERMAN","Contemporary Portugal : the revolution and its antecedents /","",1979,"6/28/96","4/29/06",11,43,0,1,"2",FALSE,7,"0",0
"6",2057317,"X002214938","DP534.5 .R87 1992","ALDERMAN","A world on the move : the Portuguese in Africa, Asia and America, 1415-1808 /","Russell-Wood, A. J. R.,",1992,"6/30/96","1/28/13",4,38,1,1,"2",FALSE,8,"0",0
"7",468961,"X000239382","DP680 .B76 1975","ALDERMAN","Portugal, the last empire /","Bruce, Neil.",1975,"6/29/96","7/20/09",1,37,0,1,"2",FALSE,9,"0",0
"8",4463470,"X030107207","DP534.5 .S78 2007","ALDERMAN","A nation upon the ocean sea : Portugal's Atlantic diaspora and the crisis of the Spanish Empire, 1492-1640 /","Studnicki-Gizbert, Daviken.",2007,"1/31/07","10/24/16",1,22,0,1,"2",FALSE,10,"0",0
"9",461777,"X000502928","DP762 .K4 1956","ALDERMAN","The Lisbon earthquake.","(Thomas Downing) Kendrick, T. D.",1956,"6/29/96","6/5/18",1,30,0,1,"2",FALSE,11,"0",0
"10",2622370,"X004054341","DP526.5 .H952 1996","ALDERMAN","Backwards out of the big world : a voyage into Portugal /","Hyland, Paul,",1996,"12/10/96","10/18/07",0,35,0,1,"2",FALSE,12,"0",0
"11",4213305,"X004839137","DP583 .N49 2005","ALDERMAN","A history of Portuguese overseas expansion, 1400-1668 /","Newitt, M. D. D.",2005,"12/1/04","5/8/15",3,17,3,1,"2",FALSE,13,"0",0
"12",4878103,"X030566899","DP517 .D57 2009 v.1","ALDERMAN","A history of Portugal and the Portuguese empire /","Disney, A. R. (Anthony R.),",2009,"6/4/09","4/10/18",6,16,9,2,"2",TRUE,14,"0",0
"13",7571357,"X032209007","DP762 .V35 2008","ALDERMAN","violencia militar y comunidad política en Portugal, 1578-1583 / La conquista de Lisboa :","Valladares, Rafael.",2008,"6/14/18","9/12/18",0,1,0,1,"2",FALSE,15,"0",0
"14",4716292,"X030254230","DP538 .B57 2003","ALDERMAN","A concise history of Portugal /","Birmingham, David.",2003,"4/30/08","11/25/12",2,13,0,1,"2",FALSE,16,"0",0
"15",1227099,"X001362023","DP680 .R25 1988","ALDERMAN","Fascism and resistance in Portugal : communists, liberals and military dissidents in the opposition to Salazar, 1941-1974 /","Raby, D. L.,",1988,"6/30/96","5/6/12",1,23,6,1,"2",FALSE,17,"0",0
"16",7243894,"X031847229","DP557 .C5 P82 1996 v.2","ALDERMAN","Pu Zhong guan xi shi zi liao hui bian /","",1996,"10/13/17","10/18/17",0,6,0,6,"2",TRUE,18,"0",0
"17",4474727,"X030103888","DP583 .P677 2007","ALDERMAN","Portuguese oceanic expansion, 1400-1800 /","",2007,"3/19/07","4/20/15",8,11,2,1,"2",FALSE,20,"0",0
"18",6995372,"X031818949","DP681 .L63 2017","ALDERMAN","Portugal from revolution to the present day / Out of the shadows :","Lochery, Neill,",2017,"3/1/17","8/17/17",0,1,0,1,"2",FALSE,21,"0",0
"19",289123,"X000164608","DP680 .H38 1978","ALDERMAN","Portugal, birth of a democracy /","Harvey, Robert,",1978,"6/28/96","4/29/06",1,25,0,1,"2",FALSE,23,"0",0
"20",6786478,"X031758703","DP517 .L44 2007","ALDERMAN","Le Portugal /","Léglise-Costa, Pierre.",2007,"7/12/16","8/18/16",0,1,0,1,"2",FALSE,24,"0",0
"21",6080800,"X031599873","DP557 .B7 P37 2013","ALDERMAN","Imperial Portugal in the age of Atlantic revolutions : the Luso-Brazilian world, c. 1770-1850 /","Paquette, Gabriel B.,",2013,"6/15/13","10/24/18",1,2,10,1,"2",FALSE,25,"0",0
