"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1763808,"X001843722","HM278 .S37 1990","ALDERMAN","hidden transcripts / Domination and the arts of resistance :","Scott, James C.",1990,"6/30/96","8/28/18",19,227,11,1,"2",FALSE,1,"1",0
"2",286925,"X001015862","HM57 .W3413 1978 v.1","ALDERMAN","Economy and society : an outline of interpretive sociology /","Weber, Max,",1978,"6/28/96","5/1/18",67,662,33,6,"2 3 17",TRUE,2,"1",0
"3",47231,"X000972205","HM251 .B433 1986","ALDERMAN","a social cognitive theory / Social foundations of thought and action :","Bandura, Albert,",1986,"6/28/96","7/25/18",13,227,18,2,"2 17",FALSE,4,"1",0
"4",541295,"X001015970","HM19 .G53","CLEMONS","Capitalism and modern social theory; an analysis of the writings of Marx, Durkheim and Max Weber.","Giddens, Anthony.",1971,"6/29/96","5/14/18",15,326,25,3,"2 3",FALSE,5,"1",0
"5",2281821,"X031946565","HM24 .B297 1994","ALDERMAN","toward a theoretical synthesis / Sociology and the new systems theory :","Bailey, Kenneth D.",1994,"7/1/96","3/9/12",1,177,3,1,"2",FALSE,6,"1",0
"6",215576,"X000153680","HM291 .F59 1980","ALDERMAN","selected interviews and other writings, 1972-1977 / Power/knowledge :","Foucault, Michel,",1980,"6/28/96","10/8/18",24,159,23,1,"2",FALSE,7,"1",0
"7",218497,"X031923883","HM221 .W43 1982","ALDERMAN","Sociology/technology : foundations of postacademic social science /","Weinstein, Jay A.,",1982,"6/28/96","3/9/12",0,173,3,1,"2",FALSE,8,"1",0
"8",3511641,"X031833565","HM1033 .G53 2000","ALDERMAN","how little things can make a big difference / The Tipping point :","Gladwell, Malcolm,",2000,"3/3/00","9/28/18",29,241,40,2,"2 3 14",FALSE,9,"1",0
"9",2666522,"X006131711","HM206 .D48 1997","ALDERMAN","Guns, germs, and steel : the fates of human societies /","Diamond, Jared M.",1997,"3/20/97","10/29/18",20,258,69,2,"2 3 5",FALSE,10,"1",0
"10",635046,"X000237803","HM271 .L2 1962","ALDERMAN","Political ideology: why the American common man believes what he does.","Lane, Robert Edwards.",1962,"6/29/96","10/22/18",0,164,213,1,"2",FALSE,11,"1",0
"11",555002,"X000088360","HM131 .O55","CLEMONS","The logic of collective action; public goods and the theory of groups","Olson, Mancur.",1965,"6/29/96","11/21/16",25,323,28,2,"2 3 13",FALSE,12,"1",0
"12",590423,"X000546902","HM101 .Z285","ALDERMAN","Processes and phenomena of social change","Zaltman, Gerald.",1973,"6/29/96","3/9/12",1,172,3,1,"2",FALSE,13,"1",0
"13",2526497,"X002765106","HM131 .E965 1995","ALDERMAN","Explaining social institutions /","",1995,"7/1/96","2/16/16",4,276,3,2,"2",FALSE,14,"1",0
"14",1884324,"X002033695","HM131 .N47 1991","ALDERMAN","The New institutionalism in organizational analysis /","",1991,"6/30/96","4/15/18",30,296,45,3,"2",FALSE,16,"1",0
"15",2814621,"X006172783","HM206 .D48 1998","ALDERMAN","Guns, germs, and steel : the fates of human societies /","Diamond, Jared M.",1998,"7/22/98","9/3/18",8,124,8,1,"2",FALSE,18,"1",0
