"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",232895,"X000083871","PL2658 .E1 L55","ALDERMAN","Literature of the People's Republic of China /","",1980,"6/28/96","6/4/17",21,189,0,1,"2 14",TRUE,1,"1",0
"2",1036919,"X000429050","PL1115 .C47 1942","ALDERMAN","Chinese reader for beginners, with exercises in writing and speaking,","Chen, Shourong.",1942,"6/29/96","2/10/14",1,194,0,1,"2",FALSE,2,"1",0
"3",1036943,"X000537487","PL1125 .E6 C47 1959","ALDERMAN","Elementary Chinese","Chen, Shourong.",1959,"6/29/96","10/25/07",3,199,0,1,"2",TRUE,3,"1",0
"4",2401694,"X002595750","PL2658 .E1 C65 1994","ALDERMAN","The Columbia anthology of traditional Chinese literature /","",1994,"7/1/96","12/12/15",5,135,0,1,"2",TRUE,4,"1",0
"5",549661,"X000116563","PL2478 .D8 1967","ALDERMAN","or, Book of changes. The I ching;","",1967,"6/29/96","10/14/17",3,125,3,2,"2 3",FALSE,5,"1",0
"6",2432752,"X002627804","PL2658 .E1 C64 1995","ALDERMAN","The Columbia anthology of modern Chinese literature /","",1995,"7/1/96","5/3/14",7,123,6,1,"2",TRUE,6,"1",0
"7",2699311,"X000774117","PL1117 .C39 1983","ALDERMAN","Ji chu Han yu 25 Ke = Basic Chinese course 25 lessons /","",1983,"7/1/97","3/15/15",0,108,18,1,"2",FALSE,7,"1",0
"8",1038757,"X000675373","PL2874 .L8 C47 1982 v.3","ALDERMAN","Ch?u Liu-hsiang ch?uan ch?i.","Gu, Long.",1977,"6/29/96","11/13/13",27,267,6,3,"2",TRUE,8,"1",0
"9",721733,"X000734164","PL2848.Y8 P48 1983 v.1","ALDERMAN","[Pi hsüeh chien (romanized form)] /","Jin, Yong.",1975,"6/29/96","3/28/16",9,204,6,2,"2",TRUE,9,"1",0
"10",2101235,"X001610774","PL2848 .Y8 L77 1981 v.1","ALDERMAN","Lu ting chi /","Jin, Yong,",1981,"6/30/96","5/10/18",29,437,0,5,"2",TRUE,10,"1",0
"11",2101222,"X000686237","PL2848 .Y8 S52 1983 v.4","ALDERMAN","Shen tiao hsia lü /","Jin, Yong,",1983,"6/30/96","12/18/14",31,406,0,4,"2",TRUE,11,"1",0
"12",2454004,"X002675930","PL2837 .H762 H745 1994","ALDERMAN","Xi guan si wang /","Zhang, Xianliang,",1994,"7/1/96","10/2/18",1,94,66,1,"2",FALSE,12,"1",0
"13",2101225,"X001155474","PL2848 .Y8 T5 1982 v.2","ALDERMAN","T?ien lung pa pu /","Jin, Yong,",1990,"6/30/96","5/19/10",32,420,0,9,"2",TRUE,13,"1",0
"14",629560,"X000214079","PL2754 .S5 A6 1972b","ALDERMAN","Selected stories of Lu Hsun.","Lu, Xun,",1972,"6/29/96","5/21/18",6,97,4,1,"2",FALSE,14,"1",0
"15",2101221,"X006094818","PL2848 .Y8 L5 1982","ALDERMAN","Lien ch'êng chüeh /","Jin, Yong,",1980,"6/30/96","7/2/09",7,102,0,1,"2",TRUE,17,"1",0
"16",2621980,"X004029903","PL2851 .K86 Z466 1996","ALDERMAN","yi ge fu qin de zha ji / Niuniu :","Zhou, Guoping,",1996,"11/13/97","10/12/17",1,82,58,1,"2",FALSE,18,"1",0
"17",1811377,"X001859817","PL2840 .C35 H284 1989","ALDERMAN","Han yan cui /","Qiongyao,",1989,"6/30/96","8/14/17",7,85,2,1,"2",FALSE,20,"1",0
