"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",4293322,"X004917075","PR4922 .C58 2005","CLEMONS","The coming race /","Lytton, Edward Bulwer Lytton,",2005,"8/11/05","3/1/11",1,178,0,2,"2 3",FALSE,1,"1",0
"2",735550,"X001648325","PR4821 .J4 G5 1847","ALDERMAN","The gipsy: a tale.","(George Payne Rainsford), James, G. P. R.",1847,"6/29/96","5/10/16",0,163,66,1,"2",TRUE,2,"1",0
"3",488250,"X000273506","PR4494 .W6 1975","ALDERMAN","The woman in white.","Collins, Wilkie,",1975,"6/29/96","10/1/14",8,158,0,2,"2 3",FALSE,3,"1",0
"4",1653120,"X001741785","PR4681 .T37 1989","ALDERMAN","the life of George Eliot / A woman of contradictions :","Taylor, Ina.",1989,"6/30/96","5/11/11",0,147,0,1,"2",FALSE,4,"1",0
"5",778707,"X001476203","PR4681 .U35 1987b","CLEMONS","George Eliot /","Uglow, Jennifer S.",1987,"6/29/96","10/25/09",3,165,0,2,"2 3",FALSE,5,"1",0
"6",720068,"X000316336","PR4772 .R6 1957","ALDERMAN","The round table [and] Characters of Shakespear's plays.","Hazlitt, William,",1957,"6/29/96","6/18/18",2,136,8,1,"2",FALSE,6,"1",0
"7",611007,"X000012778","PR4688 .S8 1973","CLEMONS","Movement and vision in George Eliot's novels,","Stump, Reva,",1973,"6/29/96","4/26/10",1,157,0,2,"2 3",FALSE,7,"1",0
"8",545272,"X000159685","PR4681 .K6 1968","CLEMONS","George Eliot's early novels; the limits of realism","Knoepflmacher, U. C.",1968,"6/29/96","10/25/09",1,168,1,2,"2 3",FALSE,8,"1",0
"9",460165,"X000298625","PR4688 .B6","CLEMONS","Will and destiny : morality and tragedy in George Eliot's novels /","Bonaparte, Felicia.",1975,"6/29/96","10/25/09",4,162,0,2,"2 3",FALSE,9,"1",0
"10",87102,"X001064418","PR4036 .J35 1986","ALDERMAN","The Jane Austen companion /","",1986,"6/28/96","10/27/14",4,134,33,1,"2",FALSE,10,"1",0
"11",728698,"X000239977","PR4772 .T3 1891","ALDERMAN","Table talk : essays on men and manners /","Hazlitt, William,",1891,"6/29/96","4/21/16",1,135,4,1,"2 10",FALSE,11,"1",0
"12",367408,"X032044338","PR5841 .W8 Z53 1976","ALDERMAN","Letters written during a short residence in Sweden, Norway, and Denmark /","Wollstonecraft, Mary,",1976,"6/28/96","1/5/09",3,159,11,2,"2",FALSE,12,"1",0
"13",265725,"X032077695","PR4681 .B4 1962","CLEMONS","George Eliot, her mind and her art.","Bennett, Joan.",1962,"6/28/96","1/5/09",0,141,0,1,"3",FALSE,13,"1",0
"14",679855,"X001932267","PR5600 1912 v.13","ALDERMAN","The works of William Makepeace Thackeray.","Thackeray, William Makepeace,",1912,"6/29/96","1/20/17",0,129,76,18,"2",TRUE,14,"1",0
"15",76253,"X001064163","PR5132 .B8 1986","ALDERMAN","Walter Pater, three major texts /","Pater, Walter,",1986,"6/28/96","4/20/16",7,119,22,1,"2",FALSE,15,"1",0
"16",733375,"X002521092","PR4494 .W6 1861","ALDERMAN","a novel / The woman in white :","Collins, Wilkie,",1861,"6/29/96","10/24/16",1,126,5,1,"2",FALSE,16,"1",0
"17",1758414,"X001831571","PR5908 .D4 R36 1990","ALDERMAN","elegy, self-elegy, and the sublime / Yeats and the poetry of death :","Ramazani, Jahan,",1990,"6/30/96","2/28/17",14,116,8,4,"2",TRUE,17,"1",0
"18",1252032,"X001363793","PR4038 .P6 J64 1988","ALDERMAN","Jane Austen : women, politics, and the novel /","Johnson, Claudia L.",1988,"6/30/96","4/21/18",11,106,11,1,"2",FALSE,18,"1",0
"19",90754,"X000952874","PR4434 .R66 1985b","ALDERMAN","Carlyle and the burden of history /","Rosenberg, John D.",1985,"6/28/96","10/25/14",3,112,9,1,"2",FALSE,19,"1",0
"20",525838,"X000211432","PR4147 .F7 1969","ALDERMAN","a study of William Blake. Fearful symmetry;","Frye, Northrop.",1969,"6/29/96","3/29/18",3,104,23,1,"2 3",FALSE,20,"1",0
"21",2504301,"X002684797","PR5397 .F73 M36 1996","ALDERMAN","Mary Shelley, Frankenstein : the 1818 text, contexts, nineteenth-century responses, modern criticism /","",1996,"7/1/96","10/2/18",8,179,29,2,"2 3",FALSE,21,"1",0
"22",203017,"X001014243","PR4238 .T8","ALDERMAN","Browning's beginnings : the art of disclosure /","Tucker, Herbert F.",1980,"6/28/96","11/1/17",10,176,1,2,"2",FALSE,22,"1",0
"23",2145282,"X002253214","PR5588 .C75 1993","ALDERMAN","Critical essays on Alfred Lord Tennyson /","",1993,"7/1/96","5/14/17",11,96,6,1,"2",FALSE,23,"1",0
"24",227253,"X000084117","PR4611 .A7 1978","ALDERMAN","Alice's adventures in Wonderland & Through the looking glass /","Carroll, Lewis,",1978,"6/28/96","11/17/16",10,97,16,1,"2 10",FALSE,24,"1",0
"25",635119,"X000243443","PR4146 .H5","ALDERMAN","Innocence and experience; an introduction to Blake","(Eric Donald), Hirsch, E. D.",1964,"6/29/96","4/29/14",31,176,7,3,"2 3",FALSE,25,"1",0
"26",2066816,"X002215124","PR4238 .C74 1992","ALDERMAN","Critical essays on Robert Browning /","",1992,"6/30/96","11/1/17",12,94,1,2,"2 3",FALSE,26,"1",0
"27",75269,"X001105628","PR5888 .L48 1986","ALDERMAN","four essays / Wordsworth's great period poems :","Levinson, Marjorie.",1986,"6/28/96","12/3/17",19,93,11,1,"2",FALSE,27,"1",0
"28",1239873,"X001356137","PR5592 .R63 T83 1988","CLEMONS","Tennyson and the doom of romanticism /","Tucker, Herbert F.",1988,"6/30/96","5/19/16",11,183,21,2,"2 3",TRUE,28,"1",0
"29",1775167,"X001845183","PR4038 .P6 H36 1990","ALDERMAN","an essay on the narration of social realities / Jane Austen and the fiction of culture :","Handler, Richard,",1990,"6/30/96","5/5/18",12,86,0,1,"2",FALSE,30,"1",0
"30",3699112,"X004473845","PR4034 .P7 2001","ALDERMAN","Pride and prejudice : an authoritative text, backgrounds and sources, criticism /","Austen, Jane,",2001,"3/13/01","5/17/18",16,75,12,1,"2",FALSE,31,"1",0
"31",757014,"X000241703","PR4836 .A58 1956","ALDERMAN","Selected letters of John Keats.","Keats, John,",1956,"6/29/96","8/28/10",5,102,0,1,"2",FALSE,32,"1",0
"32",1910666,"X002030750","PR4144 .S6 1991","ALDERMAN","Songs of innocence and of experience /","Blake, William,",1991,"6/30/96","10/11/18",4,84,1,1,"2 10",FALSE,33,"1",0
"33",569380,"X006025601","PR4147 .B5 1965","CLEMONS","Blake's apocalypse: a study in poetic argument.","Bloom, Harold.",1963,"6/29/96","10/29/18",3,85,74,1,"2 3",FALSE,34,"1",0
"34",774167,"X001509419","PR5397 .F73 M37 1987","ALDERMAN","Mary Shelley's Frankenstein /","",1987,"6/29/96","4/5/18",27,217,50,4,"2",FALSE,35,"1",0
"35",3678004,"X004471098","PR4662 .A1 2000","ALDERMAN","Middlemarch /","Eliot, George,",2000,"3/8/01","5/18/18",3,73,1,1,"2",FALSE,36,"1",0
"36",1917878,"X002049078","PR5824 .C75 1991","ALDERMAN","Critical essays on Oscar Wilde /","",1991,"6/30/96","4/18/18",9,83,10,1,"2",FALSE,37,"1",0
"37",3528531,"X004410844","PR5902 .P48 2000","ALDERMAN","Yeats's poetry, drama, and prose : authorative texts, criticism /","Yeats, W. B. (William Butler),",2000,"4/25/00","12/10/17",17,100,26,2,"2 3",FALSE,38,"1",0
"38",3589894,"X004478571","PR5397 .F7 2000b","ALDERMAN","Frankenstein /","Shelley, Mary Wollstonecraft,",2000,"1/12/01","9/12/18",8,72,18,1,"2",FALSE,39,"1",0
"39",786667,"X001300019","PR4571 .A1 1987","CLEMONS","A tale of two cities /","Dickens, Charles,",1987,"6/29/96","2/28/17",6,84,1,1,"3",FALSE,40,"1",0
"40",2576842,"X004030263","PR4034 .P7 1990","ALDERMAN","Pride and prejudice /","Austen, Jane,",1990,"7/1/96","8/23/18",8,81,11,1,"2",FALSE,41,"1",0
"41",548797,"X000093497","PR4034 .N7 1971","ALDERMAN","and, Persuasion; Northanger Abbey;","Austen, Jane,",1971,"6/29/96","10/16/18",7,146,25,2,"2 3",FALSE,42,"1",0
"42",1243231,"X001298254","PR5397 .F73 B3 1987","ALDERMAN","myth, monstrosity, and nineteenth-century writing / In Frankenstein's shadow :","Baldick, Chris.",1987,"6/30/96","4/5/18",13,81,14,1,"2",FALSE,43,"1",0
"43",502109,"X000150193","PR4037 .B88","ALDERMAN","Jane Austen and the war of ideas /","Butler, Marilyn.",1975,"6/29/96","4/29/18",9,81,1,1,"2",FALSE,44,"1",0
"44",4213960,"X004843684","PR4621 .K55 2005 v.2","CLEMONS","The new annotated Sherlock Holmes /","Doyle, Arthur Conan,",2005,"12/3/04","4/15/18",16,198,35,6,"2 3",TRUE,45,"1",0
"45",77962,"X006095321","PR5824 .G34 1986","ALDERMAN","Idylls of the marketplace : Oscar Wilde and the Victorian public /","Gagnier, Regenia A.",1986,"6/28/96","4/18/18",10,141,2,2,"2 3",FALSE,47,"1",0
"46",570537,"X000240668","PR5888 .H37","CLEMONS","Wordsworth's poetry, 1787-1814,","Hartman, Geoffrey H.",1964,"6/29/96","3/15/16",14,149,18,3,"2 3",FALSE,48,"1",0
"47",1986345,"X002162217","PR5397 .F7 1992","ALDERMAN","Frankenstein : complete, authoritative text with biographical and historical contexts, critical history, and essays from five contemporary critical perspectives /","Shelley, Mary Wollstonecraft,",1992,"6/30/96","9/29/18",12,77,32,1,"2",FALSE,49,"1",0
"48",1073751,"X000210390","PR5366 .J6 1949","ALDERMAN","Shaw.","Joad, C. E. M. (Cyril Edwin Mitchinson),",1949,"6/29/96","12/28/06",0,102,0,1,"2",FALSE,50,"1",0
"49",1072077,"X000207193","PR5322 .S43 W3 1972","ALDERMAN","Waverley;","Scott, Walter,",1972,"6/29/96","5/27/16",5,82,0,1,"2",FALSE,51,"1",0
"50",4405942,"X030151057","PR4034 .P7 2006","ALDERMAN","Pride and prejudice /","Austen, Jane,",2006,"10/5/06","5/9/17",4,57,14,1,"2",FALSE,52,"1",0
"51",1811811,"X001923850","PR5902 .A4 1990","ALDERMAN","the poems / W.B. Yeats :","Yeats, W. B. (William Butler),",1990,"6/30/96","6/3/18",13,76,7,1,"2",FALSE,53,"1",0
"52",232570,"X000166411","PR4822 .A32 1980","ALDERMAN","After London : or, Wild England /","Jefferies, Richard,",1980,"6/28/96","7/10/18",4,76,5,1,"2",FALSE,55,"1",0
"53",536235,"X000242998","PR4588 .C635 1971","ALDERMAN","the critical heritage. Dickens:","Collins, Philip,",1971,"6/29/96","6/15/10",1,91,0,1,"2 14",FALSE,56,"1",0
"54",3855939,"X004470325","PR4621 .B47 2002","ALDERMAN","The adventures and memoirs of Sherlock Holmes /","Doyle, Arthur Conan,",2002,"7/4/02","4/18/17",5,64,1,1,"2",FALSE,57,"1",0
"55",752195,"X000031321","PR4034 .M3 1965","ALDERMAN","Mansfield park /","Austen, Jane,",1965,"6/29/96","2/2/17",4,79,0,1,"2",FALSE,58,"1",0
"56",3922513,"X004658374","PR4560 .A2 M58 2003","ALDERMAN","Great expectations /","Dickens, Charles,",1996,"4/3/03","2/17/18",7,61,44,1,"2",FALSE,59,"1",0
"57",3885566,"X004631277","PR4148 .N3 H88 2002","ALDERMAN","Blake's environmental poetics / Imagining nature :","Hutchings, Kevin D. (Kevin Douglas),",2002,"9/17/02","5/1/14",0,68,12,1,"2",FALSE,60,"1",0
"58",1070583,"X000280866","PR4688 .C3 1971","ALDERMAN","George Eliot: the critical heritage.","Carroll, David",1971,"6/29/96","4/10/16",5,79,4,1,"2",FALSE,61,"1",0
"59",570339,"X000226622","PR5900 .A5 1961","ALDERMAN","Essays and introductions.","(William Butler), Yeats, W. B.",1961,"6/29/96","12/2/17",4,98,1,2,"2 3",FALSE,62,"1",0
