Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
"AM 000001 .A5  NO.18, 1958","AM1 .A5 no.18, 1958",1271696,ALDERMAN,1958,Museum security /,"Howard, Richard Foster.",X004456929,STACKS,STACKS,BOOK,6/30/96,6/14/07,0,0,0,1,1
AM 000001 .E9  1969,AM1 .E9 1969,1274461,ALDERMAN,1969,"Exploration of the ways, means, and values of museum communication with the viewing public.",,X000876776,STACKS,STACKS,BOOK,6/30/96,3/9/17,0,0,0,3,1
AM 000001 .M5  NO.2  1961,AM1 .M5 no.2 1961,1786519,ALDERMAN,1961,"Bibliography of museums and museum work, 1900-61 : Supplementary volume /",Milwaukee Public Museum.,X030221969,STACKS,STACKS,BOOK,6/30/96,6/18/07,0,0,0,0,1
AM 000101 .A5  P4  1948,AM101 .A5 P4 1948,4611311,ALDERMAN,1948,Amgueddfeydd gwerin : Folk museums.,"Peate, Iorwerth Cyfeiliog,",X030280111,STACKS,STACKS,BOOK,7/25/07,7/27/07,0,0,0,0,1
AM 000101 .B5  I46  1997,AM101 .B5 I46 1997,2798154,ALDERMAN,1997,Immer wieder Heimat : 100 Jahre Heimatmuseum Neukölln /,,X004241095,STACKS,STACKS,BOOK,5/28/98,6/14/07,0,0,0,2,1
AM 000101 .B85  1856,AM101 .B85 1856,1262799,ALDERMAN,1856,Synopsis of the contents of the British museum.,British Museum.,X001091566,STACKS,STACKS,BOOK,6/30/96,10/28/15,0,0,0,1,2
AM 000101 .B85  1890,AM101 .B85 1890,1272989,ALDERMAN,1890,A guide to the exhibition galleries of the British museum (Bloomsbury)...,British Museum.,X030222209,STACKS,STACKS,BOOK,6/30/96,6/21/07,0,0,1,1,1
AM 000101 .B85  1892,AM101 .B85 1892,1272989,ALDERMAN,1890,A guide to the exhibition galleries of the British museum (Bloomsbury)...,British Museum.,X001091550,STACKS,STACKS,BOOK,9/6/07,9/6/07,0,0,1,0,1
AM 000101 .B87  M63  1973,AM101 .B87 M63 1973,1216855,ALDERMAN,1973,That noble cabinet : a history of the British Museum /,"Miller, Edward,",X001083795,STACKS,STACKS,BOOK,6/30/96,10/17/10,0,0,3,24,1
AM 000101 .C63  M3,AM101 .C63 M3,794446,ALDERMAN,1908,"The Charleston Museum, its genesis and development,","Mazÿck, William Gaillard,",X001244268,STACKS,STACKS,BOOK,6/29/96,3/24/17,1,0,2,6,1
AM 000101 .C69  A44,AM101 .C69 A44,232919,ALDERMAN,1976,Colombo National Museum : illustrated guide through the exhibited collections /,Colombo Museum.,X002265438,STACKS,STACKS,BOOK,6/28/96,6/19/07,0,0,0,1,1
"AM 000101 .I354  NO.11, 1896","AM101 .I354 no.11, 1896",1263108,ALDERMAN,1896,New species of palaeozoic invertebrates from Illinois and other states.,"Miller, S. A. (Samuel Almond),",X030221232,STACKS,STACKS,BOOK,6/30/96,6/21/07,0,0,0,1,1
"AM 000101 .I354  NO.12, 1897","AM101 .I354 no.12, 1897",1261669,ALDERMAN,1897,"New species of crinoids, cephalopods and other palaeozoic fossils /","Miller, S. A. (Samuel Almond),",X030221233,STACKS,STACKS,BOOK,6/30/96,6/21/07,0,0,0,0,1
AM 000101 .I354  NO.4  1894,AM101 .I354 no.4 1894,1262049,ALDERMAN,1894,Upper Devonian and Niagara crinoids.,"Miller, S. A. (Samuel Almond),",X030221228,STACKS,STACKS,BOOK,6/30/96,6/21/07,0,0,0,0,1
AM 000101 .I354  NO.6  1895,AM101 .I354 no.6 1895,1786524,ALDERMAN,1895,Description of new species of palæozoic Echinodermata /,"Miller, S. A. (Samuel Almond),",X030221229,STACKS,STACKS,BOOK,6/30/96,6/21/07,0,0,0,0,1
"AM 000101 .I354  NO.7, 1895","AM101 .I354 no.7, 1895",1262046,ALDERMAN,1895,New and interesting species of plaeozoic fossils.,"Miller, S. A. (Samuel Almond),",X030221231,STACKS,STACKS,BOOK,6/30/96,6/21/07,0,0,0,0,1
"AM 000101 .I354  NO.9, 1896","AM101 .I354 no.9, 1896",1262092,ALDERMAN,1896,New species of crinoids from Illinois and other states.,"Miller, S. A. (Samuel Almond),",X030221230,STACKS,STACKS,BOOK,6/30/96,6/21/07,0,0,0,0,1
AM 000101 .I5  K46,AM101 .I5 K46,372215,ALDERMAN,1975,Fifty years young : the Children's Museum /,"Kenny, David H.",X002220883,STACKS,STACKS,BOOK,6/28/96,6/19/07,0,0,0,2,1
AM 000101 .K227  D85  1976,AM101 .K227 D85 1976,219131,ALDERMAN,1976,Museum in Nepal /,"Dwivedi, Pashupati Kumar,",X000996186,STACKS,STACKS,BOOK,6/28/96,6/19/07,0,0,0,0,2
AM 000101 .K5192  R36  1984,AM101 .K5192 R36 1984,765938,ALDERMAN,1984,A history of the Kaffrarian Museum /,"Randles, Brian M. (Brian McKenzie)",X030221198,STACKS,STACKS,BOOK,6/29/96,6/19/07,0,0,0,0,2
AM 000101 .L196  D37  1988,AM101 .L196 D37 1988,2072936,ALDERMAN,1988,Lahore museum treasures /,"??r, Saifurra?m?n.",X002179895,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,0,1
AM 000101 .L58548  N.F. NR.2,AM101 .L58548 n.F. Nr.2,1829652,ALDERMAN,1985,"Volksfrömmigheit in Oberösterreich : [Sonderausstellung des OÖ. Landesmuseums im Linzer Schloss, 6. September 1985 bis 6. Jänner 1986 /",,X001922856,STACKS,STACKS,BOOK,6/30/96,3/17/11,0,0,2,0,1
AM 000101 .L58552  A415  1983,AM101 .L58552 A415 1983,54416,ALDERMAN,1983,150 Jahre Oberösterreichisches Landesmuseum /,Oberösterreichisches Landesmuseum.,X000905947,STACKS,STACKS,BOOK,6/28/96,4/12/18,0,0,2,0,1
AM 000101 .L725  W47  1995,AM101 .L725 W47 1995,2519366,ALDERMAN,1995,Mr. Wilson's cabinet of wonder /,"Weschler, Lawrence.",X002758742,STACKS,STACKS,BOOK,7/1/96,8/28/17,3,2,3,19,1
AM 000101 .M235  1964,AM101 .M235 1964,3541130,ALDERMAN,1964,Handbook of the Madras Government Museum /,,X004443172,STACKS,STACKS,BOOK,6/8/00,6/19/07,0,0,0,6,1
