Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BC 000101 .B4  1773A,BC101 .B4 1773a,815901,ALDERMAN,1967,"An introduction to logick, 1773.","Bentham, Edward,",X001542316,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BC 000101 .B52  1599A,BC101 .B52 1599a,815903,ALDERMAN,1967,The art of logike.,"Blundeville, Thomas,",X002516836,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
BC 000101 .B84  1965,BC101 .B84 1965,1160663,ALDERMAN,1965,Elementary modern logic,"Brown, Paul Llewellyn,",X001132742,STACKS,STACKS,BOOK,6/29/96,9/12/08,0,0,0,1,1
BC 000101 .C35  1964,BC101 .C35 1964,1160664,ALDERMAN,1964,Fundamentals of logic /,"Carney, James Donald.",X000390484,STACKS,STACKS,BOOK,6/29/96,2/23/09,0,0,2,28,1
BC 000101 .C35  1964,BC101 .C35 1964,1160664,ALDERMAN,1964,Fundamentals of logic /,"Carney, James Donald.",X000859456,STACKS,STACKS,BOOK,6/29/96,6/20/06,0,0,2,7,1
BC 000101 .D8  1748A,BC101 .D8 1748a,1160665,ALDERMAN,1970,"The elements of logic, 1748.","Duncan, William,",X000309891,STACKS,STACKS,BOOK,6/29/96,8/31/10,0,0,0,1,1
BC 000101 .H75  1965,BC101 .H75 1965,1160670,ALDERMAN,1965,The elements of formal logic,"Hughes, G. E. (George Edward),",X000211589,STACKS,STACKS,BOOK,6/29/96,11/1/07,0,0,2,4,1
BC 000101 .H75  1965,BC101 .H75 1965,1160670,ALDERMAN,1965,The elements of formal logic,"Hughes, G. E. (George Edward),",X030598052,STACKS,STACKS,BOOK,10/28/09,1/1/00,0,0,0,0,1
BC 000101 .L64  2005,BC101 .L64 2005,4369244,ALDERMAN,2005,Logic : key concepts in philosophy /,,X030117609,STACKS,STACKS,BOOK,5/25/06,11/28/16,3,0,2,7,1
BC 000101 .R4,BC101 .R4,1160673,ALDERMAN,1964,Introduction to logic.,"Rescher, Nicholas.",X000895262,STACKS,STACKS,BOOK,6/29/96,5/13/12,0,1,1,34,1
BC 000108 .A5,BC108 .A5,1160677,ALDERMAN,1902,"The principles of logic,","Aikins, Herbert Austin,",X030596503,STACKS,STACKS,BOOK,11/12/09,6/17/15,0,0,0,0,1
BC 000108 .A57,BC108 .A57,1160678,ALDERMAN,1964,"Reasoning and logic,","Angell, Richard B.",X000600780,STACKS,STACKS,BOOK,6/29/96,12/20/99,0,0,0,5,1
BC 000108 .B25  1974,BC108 .B25 1974,627098,ALDERMAN,1974,The elements of logic,"Barker, Stephen Francis.",X000195207,STACKS,STACKS,BOOK,6/29/96,8/31/10,0,0,3,4,1
