Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BD 000100 .G6  1976,BD100 .G6 1976,327934,ALDERMAN,1976,Isagoge in peripateticorum et scholasticorum primam philosophiam /,"Goclenius, Rudolph,",X000087328,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
BD 000102 .B813  1980,BD102 .B813 1980,4391331,ALDERMAN,1980,Eléments de métaphysique = Elements of metaphysics /,"Buffier, Claude,",X030125742,STACKS,STACKS,BOOK,8/25/06,1/1/00,0,0,0,0,1
BD 000102 .D93  1992,BD102 .D93 1992,1974463,ALDERMAN,1992,La métaphysique /,"Dupleix, Scipion,",X002142086,STACKS,CHECKEDOUT,BOOK,6/30/96,9/11/15,1,1,0,4,1
BD 000104 .T73  2003,BD104 .T73 2003,4028128,ALDERMAN,2003,I trattati De universalibus /,"Francesco,",X004790160,STACKS,STACKS,BOOK,5/3/04,7/17/07,0,0,0,0,1
BD 000011 .R2  1996,BD11 .R2 1996,2534776,ALDERMAN,1996,Driving to California : an unconventional introduction to philosophy /,"Radford, Colin,",X004038105,STACKS,STACKS,BOOK,7/1/96,1/27/04,0,0,0,7,1
BD 000111 .A12  2003,BD111 .A12 2003,4072836,ALDERMAN,2003,"1830-1848, the end of metaphysics as a transformation of culture /",,X004843717,STACKS,STACKS,BOOK,10/5/04,8/9/07,0,0,1,3,1
BD 000111 .A22  2014  V.000002,BD111 .A22 2014 v.2,7249951,ALDERMAN,2014,"Mind, values, and metaphysics : philosophical essays in honor of Kevin Mulligan /",,X031821709,STACKS,CHECKEDOUT,BOOK,10/6/17,1/3/18,1,4,0,5,1
BD 000111 .A47  2001,BD111 .A47 2001,3723595,ALDERMAN,2001,A sensible metaphysical realism /,"Alston, William P.",X004477620,STACKS,STACKS,BOOK,6/5/01,5/20/03,0,0,0,7,1
BD 000111 .A5  1974,BD111 .A5 1974,454919,CLEMONS,1974,Metaphysics : a critical survey of its meaning /,"And?, Takatsura,",X000170395,BY-REQUEST,BY-REQUEST,BOOK,6/29/96,1/1/00,0,0,1,0,1
BD 000111 .A67  2009,BD111 .A67 2009,4826460,ALDERMAN,2009,Arguing about metaphysics /,,X030470156,STACKS,STACKS,BOOK,3/3/09,5/8/13,0,3,1,11,1
BD 000111 .A96  1985,BD111 .A96 1985,66822,ALDERMAN,1985,Metaphysics : the elements /,"Aune, Bruce,",X000972766,STACKS,STACKS,BOOK,6/28/96,7/17/11,0,0,2,24,1
BD 000111 .A96  1985,BD111 .A96 1985,66822,CLEMONS,1985,Metaphysics : the elements /,"Aune, Bruce,",X001079560,BY-REQUEST,CHECKEDOUT,BOOK,6/28/96,2/6/19,1,38,1,107,1
BD 000111 .B33  2011,BD111 .B33 2011,5316401,ALDERMAN,2011,Metaphysics : the key concepts /,"Beebee, Helen.",X030817907,STACKS,STACKS,BOOK,3/31/11,4/5/11,0,0,0,1,1
BD 000111 .B36  2000,BD111 .B36 2000,3573483,ALDERMAN,2000,Being and dialectic : metaphysics and culture /,,X004438514,STACKS,STACKS,BOOK,10/17/00,8/31/10,0,0,0,59,2
BD 000111 .B37  2008,BD111 .B37 2008,4858987,ALDERMAN,2008,Being : developments in contemporary metaphysics /,,X030467666,STACKS,STACKS,BOOK,4/7/09,5/11/14,0,3,0,6,1
BD 000111 .B398  2017,BD111 .B398 2017,7105527,ALDERMAN,2017,Making things up /,"Bennett, Karen,",X031818678,STACKS,CHECKEDOUT,BOOK,7/12/17,5/17/18,1,2,0,3,1
BD 000111 .B43  1981,BD111 .B43 1981,216898,ALDERMAN,1981,"Power, form, and mind /","Berndtson, Arthur,",X000219341,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,0,1
BD 000111 .B53  2012,BD111 .B53 2012,5764485,ALDERMAN,2012,Essential difference : toward a metaphysics of emergence /,"Blachowicz, James,",X030843692,STACKS,CHECKEDOUT,BOOK,9/5/12,10/9/17,0,0,0,0,1
BD 000111 .B57  2002,BD111 .B57 2002,3839937,ALDERMAN,2002,The Blackwell guide to metaphysics /,,X006126980,STACKS,STACKS,BOOK,5/30/02,12/3/11,0,0,2,46,1
BD 000111 .B58  2010,BD111 .B58 2010,5288594,ALDERMAN,2010,Heidegger and Nietzsche : overcoming metaphysics /,"Blond, Louis P.",X030818931,STACKS,STACKS,BOOK,2/16/11,6/20/13,1,3,0,8,1
BD 000111 .B8  1899,BD111 .B8 1899,1156197,ALDERMAN,1899,"Appearance and reality: a metaphysical essay,","Bradley, F. H. (Francis Herbert),",X001872573,STACKS,STACKS,BOOK,6/29/96,9/15/08,0,0,3,3,1
BD 000111 .B8  1902,BD111 .B8 1902,1156198,ALDERMAN,1902,"Appearance and reality: a metaphysical essay,","Bradley, F. H. (Francis Herbert),",X001200417,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BD 000111 .B8  1925,BD111 .B8 1925,772629,ALDERMAN,1925,"Appearance and reality; a metaphysical essay,","Bradley, F. H. (Francis Herbert),",X000855962,STACKS,STACKS,BOOK,6/29/96,1/16/14,1,1,0,4,1
BD 000111 .B8  1930,BD111 .B8 1930,296894,ALDERMAN,1930,Appearance and reality; a metaphysical essay.,"Bradley, F. H. (Francis Herbert),",X000337721,STACKS,STACKS,BOOK,6/28/96,7/1/02,0,0,1,3,1
BD 000111 .B8  1946,BD111 .B8 1946,817815,ALDERMAN,1946,"Appearance and reality; a metaphysical essay,","Bradley, F. H. (Francis Herbert),",X000314678,STACKS,STACKS,BOOK,6/29/96,5/9/15,1,5,1,12,1
BD 000111 .B8  1951,BD111 .B8 1951,796041,ALDERMAN,1951,Appearance and reality: a metaphysical essay.,"Bradley, F. H. (Francis Herbert),",X000240828,STACKS,STACKS,BOOK,6/29/96,8/31/10,0,0,3,1,1
BD 000111 .B8  1959,BD111 .B8 1959,810194,ALDERMAN,1959,Appearance and reality: a metaphysical essay.,"Bradley, F. H. (Francis Herbert),",X000271642,STACKS,STACKS,BOOK,6/29/96,3/30/16,1,6,2,16,1
BD 000111 .B85,BD111 .B85,1156199,ALDERMAN,1969,Metaphysics and the philosophy of science; the classical origins: Descartes to Kant.,"Buchdahl, Gerd.",X000144241,STACKS,STACKS,BOOK,6/29/96,5/13/11,0,0,3,49,2
BD 000111 .B86  1990,BD111 .B86 1990,1616035,ALDERMAN,1990,Metaphysics of natural complexes /,"Buchler, Justus,",X001665358,STACKS,STACKS,BOOK,6/30/96,1/6/12,1,0,0,8,1
BD 000111 .C34  1989,BD111 .C34 1989,1600519,ALDERMAN,1989,The Elements of metaphysics /,"Carter, William R.",X001640807,STACKS,STACKS,BOOK,6/30/96,11/30/01,0,0,1,8,1
BD 000111 .C37  1987B,BD111 .C37 1987b,769696,ALDERMAN,1987,Metaphysics : an introduction /,"Carr, Brian.",X006172473,STACKS,STACKS,BOOK,6/29/96,1/10/15,1,0,0,33,1
BD 000111 .C445  2015,BD111 .C445 2015,6562804,ALDERMAN,2015,Chinese metaphysics and its problems /,,X031706776,STACKS,STACKS,BOOK,5/22/15,6/5/17,1,9,0,10,1
BD 000111 .C45  1989,BD111 .C45 1989,1868183,ALDERMAN,1989,On metaphysics /,"Chisholm, Roderick M.",X002012594,STACKS,STACKS,BOOK,6/30/96,5/10/18,1,1,2,17,1
BD 000111 .C6  1940,BD111 .C6 1940,293319,ALDERMAN,1940,"An essay on metaphysics,","Collingwood, R. G. (Robin George),",X000319576,STACKS,STACKS,BOOK,6/28/96,1/29/03,0,0,0,3,1
BD 000111 .C6  1969,BD111 .C6 1969,551333,ALDERMAN,1940,"An essay on metaphysics,","Collingwood, R. G. (Robin George),",X000528119,STACKS,STACKS,BOOK,6/29/96,9/15/08,0,0,1,24,1
BD 000111 .C624  1984,BD111 .C624 1984,668075,ALDERMAN,1984,"Reality and empathy : physics, mind, and science in the 21st century /","Comfort, Alex,",668075-2001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BD 000111 .C626  1995,BD111 .C626 1995,2733724,ALDERMAN,1995,A Companion to metaphysics /,,X004140879,STACKS,STACKS,BOOK,11/11/97,11/12/09,0,0,4,44,1
BD 000111 .C66  1996,BD111 .C66 1996,2633997,ALDERMAN,1996,Essays in metaphysics /,"Connell, Desmond,",X004066813,STACKS,STACKS,BOOK,12/4/96,4/16/98,0,0,0,2,1
BD 000111 .C66  2014,BD111 .C66 2014,6413834,ALDERMAN,2014,Composition as identity /,,X031651003,STACKS,STACKS,BOOK,10/1/14,9/22/15,1,0,0,1,1
BD 000111 .C66  2014,BD111 .C66 2014,6445070,ALDERMAN,2014,Riddles of existence : a guided tour of metaphysics /,"Conee, Earl Brink,",X031654288,STACKS,CHECKEDOUT,BOOK,1/14/15,3/15/19,1,90,0,91,1
BD 000111 .C67  2017,BD111 .C67 2017,7021042,ALDERMAN,2017,Contemporary encounters with ancient metaphysics /,,X031762223,STACKS,STACKS,BOOK,4/5/17,11/6/17,1,0,0,1,1
BD 000111 .C78  1998,BD111 .C78 1998,2820227,ALDERMAN,1998,Contemporary readings in the foundations of metaphysics /,,X006020316,STACKS,STACKS,BOOK,8/10/98,2/26/09,0,0,3,35,1
