Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BF 000001 .P452  NO.000001 001935,BF1 .P452 no.1 1935,1835105,ALDERMAN,1935,"Science and poetry,","Richards, I. A. (Ivor Armstrong),",X000843446,STACKS,CHECKEDOUT,BOOK,6/30/96,1/31/19,3,1,3,14,1
BF 000001 .P452  NO.000001 001935,BF1 .P452 no.1 1935,1835105,ALDERMAN,1935,"Science and poetry,","Richards, I. A. (Ivor Armstrong),",X004326211,STACKS,CHECKEDOUT,BOOK,6/30/96,1/31/19,1,0,1,4,1
BF 000001 .P452  NO.11  1927,BF1 .P452 no.11 1927,1153445,ALDERMAN,1927,"Emergent evolution and the social,","Wheeler, William Morton,",1153445-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BF 000001 .P452  NO.16  1928,BF1 .P452 no.16 1928,1153446,ALDERMAN,1928,"The standardization of error,","Stefansson, Vilhjalmur,",X004326207,STACKS,STACKS,BOOK,6/21/99,9/15/08,0,0,0,0,1
BF 000001 .P452  NO.29  1935,BF1 .P452 no.29 1935,1825209,ALDERMAN,1935,Basic English : a general introduction with rules and grammar.,"Ogden, C. K. (Charles Kay),",X000470341,STACKS,CHECKEDOUT,BOOK,6/30/96,3/14/19,1,3,0,8,1
BF 000001 .P452  NO.29  1944,BF1 .P452 no.29 1944,1153448,ALDERMAN,1944,"Basic English, a general introduction with rules and grammar.","Ogden, C. K. (Charles Kay),",X004326205,STACKS,STACKS,BOOK,6/29/96,10/25/13,0,0,0,1,1
BF 000001 .P452  NO.32  1933,BF1 .P452 no.32 1933,768693,ALDERMAN,1933,"Carl and Anna,","Frank, Leonhard,",X004326204,STACKS,STACKS,BOOK,6/29/96,6/1/17,0,0,0,0,1
BF 000001 .P452  NO.33  1931,BF1 .P452 no.33 1931,1153449,ALDERMAN,1931,Basic English applied (science),"Ogden, C. K. (Charles Kay),",X004326203,STACKS,STACKS,BOOK,6/29/96,9/15/08,0,0,0,0,1
BF 000001 .P452  NO.34  1934,BF1 .P452 no.34 1934,786967,ALDERMAN,1934,"Everyday Basic (""the Basic traveller"") examples of Basic English.","Lockhart, L. W.",X030453173,STACKS,STACKS,BOOK,6/29/96,9/15/08,0,0,0,0,1
BF 000001 .P452  NO.37  1931,BF1 .P452 no.37 1931,1153450,ALDERMAN,1931,"International communication: a symposium on the language problem,",,1153450-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BF 000001 .P452  NO.39  1932,BF1 .P452 no.39 1932,1901252,ALDERMAN,1932,Symbolic distance in relation to analogy and fiction.,"Buchanan, Scott,",X004078403,STACKS,CHECKEDOUT,BOOK,6/21/99,8/13/18,2,0,0,2,1
BF 000001 .P452  NO.42  1934,BF1 .P452 no.42 1934,1646536,ALDERMAN,1934,"The Basic dictionary, being the 7,500 most useful words with their equivalents in basic English ...","Ogden, C. K. (Charles Kay),",X000315743,STACKS,STACKS,BOOK,6/30/96,9/15/08,0,0,0,1,1
BF 000001 .P452  NO.43  1936,BF1 .P452 no.43 1936,1220061,ALDERMAN,1932,The A B C of Basic English (in Basic),"Ogden, C. K. (Charles Kay),",X004326202,STACKS,STACKS,BOOK,6/30/96,9/15/08,0,0,0,0,2
BF 000001 .P452  NO.44  1936,BF1 .P452 no.44 1936,1646538,ALDERMAN,1936,"The Basic words, a detailed account of their uses.","Ogden, C. K. (Charles Kay),",X004326200,STACKS,STACKS,BOOK,6/30/96,9/15/08,0,0,0,0,1
