Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BH 000102 .B34  2003,BH102 .B34 2003,3958741,ALDERMAN,2003,The graven image : representation in Babylonia and Assyria /,"Bahrani, Zainab,",X004706906,STACKS,STACKS,BOOK,8/12/03,5/26/10,0,0,0,4,1
BH 000106 .C36  2006,BH106 .C36 2006,4457371,ALDERMAN,2006,Nefer : the aesthetic ideal in classical Egypt /,"Cannon-Brown, Willie.",X030115506,STACKS,STACKS,BOOK,1/23/07,2/2/10,0,0,0,1,1
BH 000108 .A37  2012,BH108 .A37 2012,5842617,ALDERMAN,2012,Aesthetic value in classical antiquity /,,X030853364,STACKS,CHECKEDOUT,BOOK,12/3/12,4/10/18,5,8,3,13,1
BH 000108 .D32  1993,BH108 .D32 1993,2353750,ALDERMAN,1993,Temi platonici ed educazione estetica /,"D'Acunto, Pietro.",X002574965,STACKS,STACKS,BOOK,7/1/96,9/22/08,0,0,0,1,1
BH 000108 .D38  1968,BH108 .D38 1968,1156312,ALDERMAN,1968,Iskusstvo kak sot?siologicheski? fenomen.,"Davydov, I?Uri? Nikolaevich.",X001407433,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BH 000108 .G74  2017,BH108 .G74 2017,7305251,ALDERMAN,2017,Aesthetic experiences and classical antiquity : the significance of form in narratives and pictures /,"Grethlein, Jonas,",X031818313,STACKS,STACKS,BOOK,11/27/17,8/10/18,2,0,1,2,1
BH 000108 .K66  2014,BH108 .K66 2014,6515452,ALDERMAN,2014,Beauty : the fortunes of an ancient Greek idea /,"Konstan, David.",X031708929,STACKS,CHECKEDOUT,BOOK,3/11/15,5/2/18,2,5,0,7,1
BH 000109 .G87  2016,BH109 .G87 2016,6831240,ALDERMAN,2016,Dissonance : auditory aesthetics in ancient Greece /,"Gurd, Sean Alexander,",X031790756,STACKS,CHECKEDOUT,BOOK,8/17/16,6/11/18,2,7,0,9,1
BH 000131 .B43  2000,BH131 .B43 2000,3680878,ALDERMAN,2000,Le Beau et le laid au Moyen Age.,,X006101482,STACKS,STACKS,BOOK,1/12/01,10/10/09,0,0,4,11,1
BH 000131 .B72  1975  V.000001,BH131 .B72 1975 v.1,478400,ALDERMAN,1975,Études d'esthétique médiévale.,"Bruyne, Edgar de,",X000210708,STACKS,STACKS,BOOK,6/29/96,10/11/09,0,0,0,13,1
