Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BJ 000010 .E8  A42  1966,BJ10 .E8 A42 1966,508888,ALDERMAN,1966,"Ethical culture fact book, 1876-1966.",American Ethical Union.,X000281223,STACKS,STACKS,BOOK,6/29/96,9/22/08,0,0,0,0,1
BJ 000010 .E8  M33  2008,BJ10 .E8 M33 2008,4786927,ALDERMAN,2008,"Reforming the moral subject : ethics and sexuality in Central Europe, 1890-1930 /","Matysik, Tracie.",X030466227,STACKS,STACKS,BOOK,10/28/08,10/27/11,0,0,0,1,1
BJ 000010 .E8  R3  1969,BJ10 .E8 R3 1969,1156475,ALDERMAN,1969,Toward common ground; the story of the ethical societies in the United States,"Radest, Howard B.,",X000620254,STACKS,STACKS,BOOK,6/29/96,5/7/11,0,0,3,12,1
BJ 000010 .M6  B8  1949,BJ10 .M6 B8 1949,1156476,ALDERMAN,1949,Remaking the world.,"Buchman, Frank,",X001993192,STACKS,STACKS,BOOK,6/29/96,4/24/00,0,0,0,4,1
BJ 000010 .M6  B8  1961,BJ10 .M6 B8 1961,810296,ALDERMAN,1961,Remaking the world; the speeches of Frank N. D. Buchman.,"Buchman, Frank,",X001818316,STACKS,STACKS,BOOK,6/29/96,4/22/05,0,0,0,5,1
BJ 000010 .M6  B834  1988,BJ10 .M6 B834 1988,1360585,ALDERMAN,1988,On the tail of a comet : the life of Frank Buchman /,"Lean, Garth.",X001604935,STACKS,STACKS,BOOK,6/30/96,11/27/17,0,0,0,2,1
BJ 000010 .M6  D7  1965,BJ10 .M6 D7 1965,1156477,ALDERMAN,1965,The mystery of Moral Re-armament; a study of Frank Buchman and his movement.,"Driberg, Tom,",X001818314,STACKS,STACKS,BOOK,6/29/96,7/22/16,1,0,1,9,1
BJ 000010 .M6  E5  1967,BJ10 .M6 E5 1967,1156478,ALDERMAN,1967,Moral re-armament; what is it?,"Entwistle, Basil.",X001993190,STACKS,STACKS,BOOK,6/29/96,4/22/05,0,0,1,5,1
BJ 000010 .M6  H63  1951,BJ10 .M6 H63 1951,624816,ALDERMAN,1951,The world rebuilt; the true story of Frank Buchman and the achievements of moral re-armament.,"Howard, Peter,",X000401035,STACKS,STACKS,BOOK,6/29/96,4/24/00,0,0,0,4,1
BJ 000010 .M6  P3  1954,BJ10 .M6 P3 1954,1156482,ALDERMAN,1954,"Remaking men,","Campbell, Paul B.",X001818312,STACKS,STACKS,BOOK,6/29/96,3/21/00,0,0,0,4,1
BJ 001005 .F67  1990,BJ1005 .F67 1990,1933897,ALDERMAN,1990,The elements of moral philosophy : in three books /,"Fordyce, David,",X002049626,STACKS,STACKS,BOOK,6/30/96,6/17/10,0,0,0,4,1
BJ 001005 .H8  1957,BJ1005 .H8 1957,571899,ALDERMAN,1957,An inquiry concerning the principles of morals; with a supplement: A dialogue.,"Hume, David,",X000742956,STACKS,STACKS,BOOK,6/29/96,6/17/10,0,0,1,18,1
BJ 001005 .H8  197,BJ1005 .H8 197,1156120,ALDERMAN,1912,An enquiry concerning the principles of morals.,"Hume, David,",1156120-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
