Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BM 000100 .K73  2011,BM100 .K73 2011,5390583,ALDERMAN,2011,The greening of American orthodox Judaism : Yavneh in the nineteen sixties /,"Kraut, Benny.",X030949505,STACKS,STACKS,BOOK,7/15/11,1/1/00,0,0,0,0,1
BM 000103 .A313,BM103 .A313,359360,ALDERMAN,1977,Jewish education in Israel and in the United States /,"Adar, Zvi.",X000038025,STACKS,STACKS,BOOK,6/28/96,10/10/08,0,0,0,4,1
BM 000103 .C65  1996,BM103 .C65 1996,2638021,ALDERMAN,1996,The child in Jewish history /,"Cooper, John,",X004071954,STACKS,STACKS,BOOK,1/2/97,11/24/06,0,0,3,4,1
BM 000103 .G65  2004,BM103 .G65 2004,4004743,ALDERMAN,2004,Making the bible modern : children's bibles and Jewish education in twentieth-century America /,"Gold, Penny Schine.",X004742658,STACKS,STACKS,BOOK,2/3/04,1/13/14,1,0,1,10,1
BM 000103 .G7  1915,BM103 .G7 1915,802865,ALDERMAN,1915,Methods of teaching the Jewish religion in junior and senior grades.,"Greenstone, Julius H. (Julius Hillel),",X001175383,STACKS,STACKS,BOOK,6/29/96,6/19/06,0,0,0,4,1
BM 000103 .H48  1968,BM103 .H48 1968,2713547,ALDERMAN,1968,"Yesodot ha-?inukh,  b si?ot pedagogiyot.  c [Targum: Avi?ezri Volf ve-Shalom Pushinski]","Hirsch, Samson Raphael,",X004148838,STACKS,STACKS,BOOK,8/29/97,10/10/08,0,0,0,0,1
BM 000103 .J394  1989,BM103 .J394 1989,1624760,ALDERMAN,1989,Jewish education worldwide : cross-cultural perspectives /,,X001665953,STACKS,STACKS,BOOK,6/30/96,4/15/02,0,0,1,26,1
BM 000103 .J396  2013,BM103 .J396 2013,6262418,ALDERMAN,2013,Jewish literacy and education /,,X031629035,STACKS,STACKS,BOOK,7/22/14,1/1/00,0,0,0,0,1
BM 000103 .R63  1987,BM103 .R63 1987,1973985,ALDERMAN,1987,Commandments and concerns : Jewish religious education in secular society /,"Rosenak, Michael.",X002108553,STACKS,STACKS,BOOK,6/30/96,6/29/01,0,0,1,9,1
BM 000103 .R635  2001,BM103 .R635 2001,3799379,ALDERMAN,2001,"Tree of life, tree of knowledge : conversations with the Torah /","Rosenak, Michael.",X004555967,STACKS,STACKS,BOOK,12/14/01,12/3/02,0,0,0,2,1
BM 000103 .S78  1984,BM103 .S78 1984,20854,ALDERMAN,1984,Studies in Jewish education and Judaica in honor of Louis Newman = [Li-lemod ule-lamed] /,,X000690534,STACKS,STACKS,BOOK,6/28/96,3/14/06,0,0,2,8,1
BM 000105 .D73,BM105 .D73,288186,ALDERMAN,1978,Judaism : the way of sanctification /,"Dresner, Samuel H.",X000403990,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,2,1,2
BM 000105 .G74  1905,BM105 .G74 1905,1775526,ALDERMAN,1905,The religion of Israel : a book for use in religious schools and the home.,"Greenstone, Julius H. (Julius Hillel),",X004078881,STACKS,STACKS,BOOK,6/30/96,4/21/98,0,0,0,2,1
BM 000105 .P37  1944,BM105 .P37 1944,1162116,ALDERMAN,1944,"The Jewish kindergarten, a manual for teachers,","Pessin, Deborah.",X001175359,STACKS,STACKS,BOOK,6/29/96,10/10/08,0,0,1,2,1
BM 000107 .A85,BM107 .A85,1162117,ALDERMAN,1965,"Bible heroes, a book for young Jews,","Avnon, Isaak.",X000503905,STACKS,STACKS,BOOK,6/29/96,10/10/08,0,0,0,14,1
BM 000109 .C6  S36  1989,BM109 .C6 S36 1989,1613812,ALDERMAN,1989,Ethnic survival in America : an ethnography of a Jewish afternoon school /,"Schoem, David Louis.",X001665773,STACKS,STACKS,BOOK,6/30/96,3/30/14,1,0,1,8,1
BM 000135 .P53  2006,BM135 .P53 2006,4429063,ALDERMAN,2006,"A place of our own : the rise of Reform Jewish camping : essays honoring the fiftieth anniversary of Olin-Sang-Ruby Union Institute, Union for Reform Judaism, in Oconomowoc, Wisconsin /",,X030108114,STACKS,STACKS,BOOK,10/31/06,11/22/10,0,0,1,3,2
BM 000150 .F56  2014,BM150 .F56 2014,6299039,ALDERMAN,2014,"Art, history, and the historiography of Judaism in Roman antiquity /","Fine, Steven.",X031640053,STACKS,STACKS,BOOK,6/23/14,10/27/16,2,0,0,2,1
BM 000150 .S34  2003,BM150 .S34 2003,4018890,ALDERMAN,2003,Understanding Second Temple and rabbinic Judaism /,"Schiffman, Lawrence H.",X004772695,STACKS,STACKS,BOOK,3/26/04,4/30/18,2,1,0,23,1
BM 000155 .E58  1959,BM155 .E58 1959,463629,ALDERMAN,1959,Judaism; a historical presentation.,"Epstein, Isidore,",X000157808,STACKS,CHECKEDOUT,BOOK,6/29/96,3/10/19,0,132,2,178,1
BM 000155 .G42513  1985,BM155 .G42513 1985,45589,ALDERMAN,1985,Judaism and its history : in two parts /,"Geiger, Abraham,",X001049525,STACKS,STACKS,BOOK,6/28/96,5/1/14,1,0,0,5,1
BM 000155 .K3743  1960,BM155 .K3743 1960,408148,ALDERMAN,1960,"The religion of Israel, from its beginnings to the Babylonian exile.","Kaufmann, Ye?ezkel,",X000132330,STACKS,STACKS,BOOK,6/28/96,1/12/11,0,0,1,11,1
BM 000155 .K3743  1960,BM155 .K3743 1960,408148,ALDERMAN,1960,"The religion of Israel, from its beginnings to the Babylonian exile.","Kaufmann, Ye?ezkel,",X000132331,STACKS,STACKS,BOOK,6/28/96,10/30/07,0,0,0,13,1
BM 000155 .O3  1930,BM155 .O3 1930,1162122,ALDERMAN,1930,"Hebrew religion, its origin and development,","Oesterley, W. O. E. (William Oscar Emil),",X001752016,STACKS,STACKS,BOOK,6/29/96,10/10/08,0,0,0,4,1
BM 000155 .P4  1923,BM155 .P4 1923,4784009,ALDERMAN,1923,The religion of the Hebrews /,"Peters, John P. (John Punnett),",X030499874,STACKS,STACKS,BOOK,10/17/08,10/6/17,0,0,0,0,1
BM 000155 .P4  1932,BM155 .P4 1932,4391112,ALDERMAN,1932,The religion of the Hebrews /,"Peters, John P. (John Punnett),",X030125761,STACKS,STACKS,BOOK,8/24/06,1/1/00,0,0,0,0,1
