Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BP 000001 .A72  V.000053 001988/001989,BP1 .A72 v.53 1988/1989,7349012,ALDERMAN,1988,Al-?arab,,X001814192,STACKS,STACKS,BOOK,1/30/18,1/1/00,0,0,0,0,1
BP 000001 .C35  V.000023 001969,BP1 .C35 v.23 1969,7486703,ALDERMAN,1969,Carag?h?-i r?h,Idara Ma'arif Islami,X032207093,STACKS,STACKS,BOOK,4/18/18,1/1/00,0,0,0,0,1
BP 000001 .D37  2009,BP1 .D37 2009,5947890,ALDERMAN,2009,Da?vat al-Isl?m va al-Isl?m,,X031612093,STACKS,STACKS,CD-ROM,2/26/13,1/1/00,0,0,1,0,1
BP 000001 .K5  1996,BP1 .K5 1996,2847323,ALDERMAN,1996,"M?hn?ma? Burh?n k? ish?riyah, 1938-1965 /","K?h??n, Sh??istah.",X004284483,STACKS,STACKS,BOOK,10/27/98,1/1/00,0,0,0,0,1
BP 000001 .L84  2010,BP1 .L84 2010,5947897,ALDERMAN,2010,Lu?-i ma?b???t,,X031612094,STACKS,STACKS,CD-ROM,2/26/13,1/1/00,0,0,0,0,1
BP 000001 .L845  2010,BP1 .L845 2010,5947900,ALDERMAN,2010,Lu?-i ma?b???t-i d?n?,,X031612095,STACKS,STACKS,CD-ROM,2/26/13,1/1/00,0,0,0,0,1
BP 000001 .M34  2010,BP1 .M34 2010,5947906,ALDERMAN,2010,Majallah-i muslim?n 1328 t? 1335 shams? /,,X031612096,STACKS,STACKS,CD-ROM,2/26/13,1/1/00,0,0,0,0,1
BP 000001 .M36  1970,BP1 .M36 1970,365006,ALDERMAN,1970,Mamoon's discussions with ulema.,,X032051365,STACKS,STACKS,BOOK,10/6/17,1/1/00,0,0,0,0,1
BP 000010 .A33  1988,BP10 .A33 1988,1680146,ALDERMAN,1988,"London Muslim League, 1908-1928 : an historical study /","Abbasi, Muhammad Yusuf,",X001808880,STACKS,STACKS,BOOK,6/30/96,6/3/06,0,0,0,2,1
BP 000010 .D36  2006,BP10 .D36 2006,4643576,ALDERMAN,2006,Religious institutes of Kashmir /,"Dar, Nazir Ahmad.",X030332637,STACKS,STACKS,BOOK,10/25/07,10/14/08,0,0,0,0,1
