Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BQ 000100 .B82  2009,BQ100 .B82 2009,5950743,ALDERMAN,2012,"Buddhism, Buddhists and Buddhist studies /","International Conference on ""the State of Buddhism, Buddhists and Buddhist Studies in India and Abroad""",X031612111,STACKS,CHECKEDOUT,BOOK,3/13/13,3/18/18,1,11,0,12,1
BQ 000100 .B827  1985,BQ100 .B827 1985,1955063,ALDERMAN,1989,"The Buddhist heritage : papers delivered at the symposium of the same name convened at the School of Oriental and African Studies, University of London, November 1985 /",Buddhist Heritage,X002107705,STACKS,STACKS,BOOK,6/30/96,8/18/12,1,3,7,11,1
BQ 000100 .B829  2003,BQ100 .B829 2003,4896420,ALDERMAN,2008,Buddhist studies /,World Sanskrit Conference,X030324778,STACKS,STACKS,BOOK,7/28/09,1/1/00,0,0,0,0,1
BQ 000100 .B83  1983,BQ100 .B83 1983,15064,ALDERMAN,1983,Buddhist studies : ancient and modern /,,X000507704,STACKS,STACKS,BOOK,6/28/96,4/28/11,0,0,8,21,1
BQ 000100 .C48  1997,BQ100 .C48 1997,2907470,ALDERMAN,1998,"Ren jian jing tu yu xian dai she hui : Di san jian Zhonghua guo ji fo xue hui yi shi lu = The ""Earthly"" pure land and contemporary society : the record of third Chung-hwa International Conference on Buddhism /",Zhonghua guo ji fo xue hui yi,X004308082,STACKS,STACKS,BOOK,4/27/99,6/12/07,0,0,0,4,1
BQ 000100 .C65  1989,BQ100 .C65 1989,2496820,ALDERMAN,1993,"Premier Colloque Etienne Lamotte : Bruxelles et Liège, 24-27 septembre 1989 /",Colloque Etienne Lamotte,X002765024,STACKS,STACKS,BOOK,7/1/96,6/12/07,0,0,0,1,1
BQ 000100 .C675  1994,BQ100 .C675 1994,3923703,ALDERMAN,2002,Perspective of Buddhist studies : Giuseppe Tucci birth centenary volume /,Conference on Professor Giuseppe Tucci,X004686528,STACKS,STACKS,BOOK,3/14/03,6/12/07,0,0,0,2,1
BQ 000100 .C675  1994,BQ100 .C675 1994,3923703,ALDERMAN,2002,Perspective of Buddhist studies : Giuseppe Tucci birth centenary volume /,Conference on Professor Giuseppe Tucci,X030374356,STACKS,STACKS,BOOK,7/22/08,8/23/17,1,0,0,1,1
BQ 000100 .I53  1980,BQ100 .I53 1980,4069523,ALDERMAN,1985,"Proceedings and papers of the second conference of the International Association of Buddhist Studies : Nalanda, 17th-19th January 1980 /",International Association of Buddhist Studies. Conference,X004826466,STACKS,STACKS,BOOK,9/20/04,8/17/07,0,0,1,0,1
BQ 000100 .I54  1977,BQ100 .I54 1977,2435658,ALDERMAN,1977,"International Buddhist Conference : proceedings of the third session, Bodhgaya.",International Buddhist Conference,X002454320,STACKS,STACKS,BOOK,7/1/96,3/15/16,1,0,1,1,1
