Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
6548786,2,ALDERMAN,STACKS,C3 .S36 2015,2015,"La Scoula storica nationale e la medievistica : momenti e figure del novecento, per i 90 anni della Scuola storica Nazionale di studi medievali, attil della giornata di studio (Istituto storico italiano per il Medio Evo, 16 dicembre 2013) /",,X031726755,BOOK,4/22/15,1/1/00,STACKS,0,0,1,0,1
776619,2,ALDERMAN,STACKS,C51 .S65 K63 1984,1984,Vspomogatel?nye istoricheskie dist?sipliny /,"Kobrin, V. B. (Vladimir Borisovich)",X001279962,BOOK,6/29/96,3/19/08,STACKS,0,0,2,0,1
2619622,3,CLEMONS,RSRVSHADOW,CAS999.ANTH 101.10/11/96.,0,10/11/96 - Lecture,ANTH 101 - Deetz,X004000973,RSRV-PERS,10/11/96,11/1/96,RSRVSHADOW,0,0,0,56,1
4646486,2,ALDERMAN,STACKS,CB101 .S9 2006 v.1,2006,Plaza universal de todas ciencias y artes /,"Su·rez de Figueroa, ChristÛval.",X030357801,BOOK,11/6/07,11/28/11,STACKS,0,0,0,3,1
4646486,2,ALDERMAN,STACKS,CB101 .S9 2006 v.2,2006,Plaza universal de todas ciencias y artes /,"Su·rez de Figueroa, ChristÛval.",X030357802,BOOK,1/25/08,11/28/11,STACKS,0,0,0,3,1
573709,2 3,ALDERMAN,STACKS,CB103 .O683 1962,1962,Man and crisis.,"Ortega y Gasset, JosÈ,",X000121892,BOOK,6/29/96,1/4/17,STACKS,1,0,1,17,1
1218096,2,ALDERMAN,STACKS,CB103 .O7 1930,1929,La rebeliÛn de las masas.,"Ortega y Gasset, JosÈ,",X000208232,BOOK,6/30/96,4/29/08,STACKS,0,0,0,10,1
1218097,2,ALDERMAN,STACKS,CB103 .O7 1961,1961,"La rebeliÛn de las masas. Con un prÛlogo para franceses, un epÌlogo para ingleses y un apendice: Din·mica del tiempo.","Ortega y Gasset, JosÈ,",X000672579,BOOK,6/30/96,3/7/12,STACKS,0,11,2,54,1
6797617,2,ALDERMAN,STACKS,CB103 .O7 1975,1975,La rebeliÛn de las masas /,"Ortega y Gasset, JosÈ,",X031760160,BOOK,7/19/16,1/1/00,STACKS,0,0,0,0,1
119475,3,CLEMONS,BY-REQUEST,CB103 .O7 1980,1980,"La rebeliÛn de las masas : con un prÛlogo para franceses, un epÌlogo para ingleses y un apÈndice: Din·mica del tiempo /","Ortega y Gasset, JosÈ,",X000423451,BOOK,6/28/96,7/31/08,BY-REQUEST,0,0,2,14,1
6968973,2,ALDERMAN,STACKS,CB103 .O7 1998,1998,La rebeliÛn de las masas /,"Ortega y Gasset, JosÈ,",X031803525,BOOK,2/17/17,1/1/00,STACKS,0,0,0,0,1
67236,2 3,ALDERMAN,STACKS,CB103 .O713 1985,1985,The revolt of the masses /,"Ortega y Gasset, JosÈ,",X000932873,BOOK,6/28/96,1/4/17,STACKS,1,0,4,63,1
67236,2 3,CLEMONS,BY-REQUEST,CB103 .O713 1985,1985,The revolt of the masses /,"Ortega y Gasset, JosÈ,",X000952942,BOOK,6/28/96,11/24/08,BY-REQUEST,0,0,1,29,1
755456,2,ALDERMAN,STACKS,CB103 .O72 1932,1932,The revolt of the masses; authorised translation from the Spanish.,"Ortega y Gasset, JosÈ,",X000023417,BOOK,6/29/96,4/17/18,CHECKEDOUT,1,2,0,43,1
