Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2482433,2,ALDERMAN,STACKS,DAW1004 .M48 1995,1995,Metropolen im Wandel : Zentralit‰t in Ostmitteleuropa an der Wende vom Mittelalter zur Neuzeit /,,X004081792,BOOK,7/1/96,1/1/00,STACKS,0,0,3,0,1
2375636,2,ALDERMAN,STACKS,DAW1012 .D87 1994,1994,Kastellburgen : des 13. Jahrhunderts in Mitteleuropa /,"DurdÌk, Tom·?.",X002557106,BOOK,7/1/96,2/1/11,STACKS,0,0,1,0,1
4911169,2,ALDERMAN,STACKS,DAW1012 .L548 2009,2009,Lieux de mÈmoire en Europe centrale /,,X030570392,BOOK,8/18/09,1/1/00,STACKS,0,0,0,0,1
3809997,2,ALDERMAN,STACKS,DAW1023 .S38 2001,2001,"Tools, weapons and ornaments : Germanic material culture in Pre-Carolingian Central Europe, 400-750 /","Schutz, Herbert,",X004592881,BOOK,2/21/02,5/14/13,STACKS,1,2,0,3,1
2155279,2,ALDERMAN,STACKS,DAW1024 .E87 1991,1991,"L'Europe centrale : rÈalitÈ, mythe, enjeu, XVIIIe-XXe siËcles : actes du colloque international, Varsovie, 24-27 septembre 1990 /",,X002281701,BOOK,7/1/96,12/12/02,STACKS,0,0,1,9,1
2502901,2,ALDERMAN,STACKS,DAW1026 .M55 1995,1995,"Minderheiten als Konfliktpotential in Ostmittel- und S¸dosteuropa : Vortr‰ge der Internationalen Konferenz der S¸dosteuropa-Gesellschaft (M¸nchen), des S¸dost-Instituts (M¸nchen) und des ÷sterreichischen Studienzentrums f¸r Frieden und Konfliktlˆsung (Stadtschlaining, Burgenland) auf Burg Schlaining, 19.-22. Oktober 199",,X002744949,BOOK,7/1/96,5/22/97,STACKS,0,0,0,5,1
1763647,2,ALDERMAN,STACKS,DAW1026 .M56 1990,1990,Die Minderheiten im Alpen-Adria-Raum : deutsche Fassung 1990 /,,X001831306,BOOK,6/30/96,2/20/09,STACKS,0,0,0,0,1
3885801,2,ALDERMAN,STACKS,DAW1026 .N385 2002,2002,Nationalit‰ten und Minderheiten in Mittel- und Osteuropa /,,X004627801,BOOK,9/19/02,1/1/00,STACKS,0,0,0,0,1
2822494,2,ALDERMAN,STACKS,DAW1026 .U58 1997,1997,Un-Verst‰ndnis der Kulturen : Multikulturalismus in Mitteleuropa in historischer Perspektive /,,X004187433,BOOK,8/19/98,1/1/00,STACKS,0,0,0,0,1
4711738,2,ALDERMAN,STACKS,DAW1026 .Z93 2007,2007,"Zwangsmigrationen im mittleren und ˆstlichen Europa : Vˆlkerrecht, Konzeptionen, Praxis (1938-1950) /",,X030356685,BOOK,4/17/08,1/1/00,STACKS,0,0,0,0,1
