Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DB 000001 .A31  BD.118,DB1 .A31 Bd.118,2262276,ALDERMAN,1951,Die ländliche Gerichtsverfassung Steiermarks vorwiegend im Mittelalter.,"Baltl, Hermann.",X031899895,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DB 000001 .A31  BD.119,DB1 .A31 Bd.119,2435435,ALDERMAN,1952,Ein bisher unbekanntes Projekt zur Gründung einer österreichischen Akademie der Wissenschaften.,"Meister, Richard,",X031899892,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DB 000001 .A31  BD.120,DB1 .A31 Bd.120,2435442,ALDERMAN,1954,Festgabe an das Institut für österreichische Geschichtsforschung zur Feier seines hundert jährigen Bestandes.,,X030806791,STACKS,STACKS,BOOK,7/1/96,2/1/11,0,0,0,0,1
DB 000001 .A31  BD.121  HEFT 1-3,DB1 .A31 Bd.121 Heft 1-3,2262277,ALDERMAN,1955,Habsburger im 17. Jahrhundert ; die Beziehungen der Höfe von Wien und Madrid während des Dreissigjährigen Krieges.,"Mecenseffy, Grete.",X004456973,STACKS,STACKS,BOOK,7/1/96,10/27/17,0,0,0,2,1
DB 000001 .A31  BD.122  HEFT 1-2,DB1 .A31 Bd.122 Heft 1-2,2262280,ALDERMAN,1959,Österreichisches Gesundheitswesen im Zeitalter des aufklärten Absolutismus.,"Lesky, Erna.",X031769265,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DB 000001 .A31  BD.123,DB1 .A31 Bd.123,2262282,ALDERMAN,1963,"Karolingische Markgrafen im Südosten ; fränkische Reichsaristokratie und bayerischer Stammesadel im österreichischen Raum,","Mitterauer, Michael.",X000754790,STACKS,STACKS,BOOK,7/1/96,2/20/09,0,0,0,6,1
DB 000001 .A31  BD.124,DB1 .A31 Bd.124,2262283,ALDERMAN,1964,Princeps in ecclesia; Untersuchungen zur Kirchenpolitik Herzog Albrechts v. von Österreich.,"Koller, Gerda.",X031899896,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DB 000001 .A31  BD.125,DB1 .A31 Bd.125,2262284,ALDERMAN,1966,Bausteine zur Geschichte Österreichs.,,X031899891,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DB 000001 .A31  BD.126,DB1 .A31 Bd.126,2262285,ALDERMAN,1967,Österreich und der Hl. Stuhl vom Ende des spanischen Erbfolgekrieges bis zum Tode Papst Klemens XI &lt;1714-1721&gt;,"Huber, Norbert,",X031899893,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DB 000001 .A31  BD.127,DB1 .A31 Bd.127,2262286,ALDERMAN,1968,Hausstudium und Universitätsstudium der Wiener Dominikaner bis 1500.,"Frank, Isnard Wilhelm.",X031899897,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DB 000001 .A31  BD.128  HEFT 1-3,DB1 .A31 Bd.128 Heft 1-3,2262287,ALDERMAN,1969,"Österreichs Kampf gegen die liberalen, radikalen u. kommunistischen Schriften, 1835-1848.","Marx, Julius,",X031769266,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
