Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DC 000100 .A94  1994,DC100 .A94 1994,2395689,ALDERMAN,1994,Charles V : le Sage /,"Autrand, Françoise.",X002604633,STACKS,STACKS,BOOK,7/1/96,5/12/15,1,10,0,15,1
DC 000100 .C3  1979,DC100 .C3 1979,162618,ALDERMAN,1979,Charles V /,"Calmette, Joseph,",X000274226,STACKS,STACKS,BOOK,6/28/96,11/21/11,0,0,1,10,2
DC 000100 .L4  1966  T.000004,DC100 .L4 1966 t.4,945469,ALDERMAN,1966,"Jean de France, duc de Berri, sa vie, son action politique (1340-1416) ...","Lehoux, Françoise.",X030475297,STACKS,STACKS,BOOK,11/1/17,1/1/00,0,0,0,0,1
DC 000100 .P5  1997,DC100 .P5 1997,2727957,ALDERMAN,1997,Le livre des faits et bonnes moeurs du roi Charles V le Sage /,"Christine,",X006044263,STACKS,STACKS,BOOK,10/22/97,3/17/15,0,0,2,6,1
DC 000100 .P5  T.000001-000002,DC100 .P5 t.1-2,406981,ALDERMAN,1936,"Le livre des fais et bonnes meurs du sage roy Charles V,","Christine,",X002303756,STACKS,CHECKEDOUT,BOOK,6/28/96,11/6/13,0,7,0,17,2
DC 000100 .P5  T.000002,DC100 .P5 t.2,406981,ALDERMAN,1936,"Le livre des fais et bonnes meurs du sage roy Charles V,","Christine,",X002263696,STACKS,CHECKEDOUT,BOOK,6/28/96,11/6/13,0,6,0,15,1
DC 000100 .Q85  1984,DC100 .Q85 1984,38226,ALDERMAN,1984,"Charles V, le roi lettré : essai sur la pensée politique d'un règne /","Quillet, Jeannine.",X000789829,STACKS,STACKS,BOOK,6/28/96,1/28/17,2,0,0,4,1
DC 000100.7 .B47  A87  2000,DC100.7 .B47 A87 2000,3585958,ALDERMAN,2000,Jean de Berry : l'art et le pouvoir /,"Autrand, Françoise.",X004545629,STACKS,CHECKEDOUT,BOOK,11/29/00,7/25/14,1,0,0,5,1
DC 000100.7 .B69  L45,DC100.7 .B69 L45,91830,ALDERMAN,1985,"Le livre des fais du bon messire Jehan le Maingre, dit Bouciquaut, Mareschal de France et Gouverneur de Jennes.",,X001023495,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DC 000101 .A2  F3  1965,DC101 .A2 F3 1965,136805,ALDERMAN,1965,Mémoires de Pierre de Fenin : comprenant le récit des événements qui se sont passés en France et en Bourgogne sous les règnes de Charles VI et Charles VII (1407-1427) /,"Fenin, Pierre de,",X001098231,STACKS,STACKS,BOOK,6/28/96,1/5/11,0,0,1,0,1
DC 000101 .A2  J68  1975,DC101 .A2 J68 1975,502253,ALDERMAN,1975,"Journal d'un bourgeois de Paris, 1405-1449 /",,X000047628,STACKS,STACKS,BOOK,6/29/96,2/20/13,0,0,1,3,2
DC 000101 .A2  L4  V.000001,DC101 .A2 L4 v.1,266093,ALDERMAN,1876,"Chronique de Jean Le Févre, seigneur de Saint-Remy,","Le Fèvre, Jean,",X000423803,STACKS,STACKS,BOOK,6/28/96,12/8/98,0,0,0,1,2
DC 000101 .A2  L4  V.000002,DC101 .A2 L4 v.2,266093,ALDERMAN,1876,"Chronique de Jean Le Févre, seigneur de Saint-Remy,","Le Fèvre, Jean,",X001098232,STACKS,STACKS,BOOK,6/28/96,12/8/98,0,0,0,1,1
DC 000101 .A2  P5  1958,DC101 .A2 P5 1958,1227273,ALDERMAN,1958,"The ""Livre de la paix."" A critical ed.,","Christine,",X000889303,STACKS,CHECKEDOUT,BOOK,6/30/96,11/6/13,0,6,0,7,1
DC 000101 .A2  P513  2008,DC101 .A2 P513 2008,4779390,ALDERMAN,2008,The book of peace /,"Christine,",X030457459,STACKS,CHECKEDOUT,BOOK,10/7/08,11/6/13,0,7,1,10,1
DC 000101 .A2  S334  2001,DC101 .A2 S334 2001,3716171,ALDERMAN,2001,Of counselors and kings : the three versions of Pierre Salmon's Dialogues /,"Hedeman, Anne D.,",X004479162,STACKS,CHECKEDOUT,BOOK,5/8/01,3/24/15,1,0,0,2,1
DC 000101 .A876  1986,DC101 .A876 1986,691131,ALDERMAN,1986,Charles VI : La Folie du Roi /,"Autrand, Françoise.",X001183291,STACKS,CHECKEDOUT,BOOK,6/29/96,11/6/13,0,7,2,39,1
DC 000101 .C3,DC101 .C3,462303,ALDERMAN,1945,Chute et relèvement de la France sous Charles VI et Charles VII.,"Calmette, Joseph,",X000031818,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DC 000101 .G3,DC101 .G3,357782,ALDERMAN,1977,Charles VI : le bal des Ardents /,"Gascar, Pierre,",X000058463,STACKS,STACKS,BOOK,6/28/96,6/1/00,0,0,1,9,2
DC 000101 .G945  2004,DC101 .G945 2004,4031688,ALDERMAN,2004,La folie de Charles VI : roi bien-aimé /,"Guenée, Bernard.",X004789936,STACKS,STACKS,BOOK,5/18/04,1/24/13,0,0,3,12,2
DC 000101 .S25  1996,DC101 .S25 1996,3519920,ALDERMAN,1999,Saint-Denis et la royauté : études offertes à Bernard Guenée /,Saint-Denis et la Royauté,X004405909,STACKS,STACKS,BOOK,3/28/00,1/3/11,0,0,1,0,1
DC 000101 .S36  1988,DC101 .S36 1988,1329249,ALDERMAN,1988,Les Armagnacs et les Bourguignons : la maudite guerre /,"Schnerb, Bertrand.",X001559152,STACKS,CHECKEDOUT,BOOK,6/30/96,11/6/13,0,7,0,11,1
DC 000101.3 .F36  1986,DC101.3 .F36 1986,697244,ALDERMAN,1986,"Royal intrigue : crisis at the court of Charles VI, 1392-1420 /","Famiglietti, R. C.",X001220342,STACKS,STACKS,BOOK,6/29/96,10/18/16,1,0,0,21,1
DC 000101.3 .G83  1992,DC101.3 .G83 1992,1971490,ALDERMAN,1992,"Un Meurtre, une société : l'assassinat du Duc d'Orléans, 23 novembre 1407 /","Guenée, Bernard.",X002122259,STACKS,CHECKEDOUT,BOOK,6/30/96,11/6/13,0,7,0,27,1
DC 000101.3 .G835  2002,DC101.3 .G835 2002,3826575,ALDERMAN,2002,L'opinion publique à la fin du moyen âge : d'après la chronique de Charles VI du religieux de Saint-Denis /,"Guenée, Bernard.",X004620271,STACKS,STACKS,BOOK,4/1/02,9/14/07,0,0,0,2,1
DC 000101.3 .G84  1999,DC101.3 .G84 1999,3588788,ALDERMAN,1999,Un roi et son historien : vingt études sur le règne de Charles VI et la Chronique du religieux de Saint-Denis /,"Guenée, Bernard.",X004503609,STACKS,CHECKEDOUT,BOOK,12/11/00,5/26/15,1,0,0,44,1
