Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DD 000001 .G7  1914,DD1 .G7 1914,1355834,ALDERMAN,1914,Gross Berliner Kalender : illustriertes Jahrbuch 1914 /,,X030806099,STACKS,STACKS,BOOK,6/30/96,1/11/11,0,0,0,0,1
DD 000001 .R453  S34  1994,DD1 .R453 S34 1994,2402982,ALDERMAN,1994,Reichenbach an der Fils unterm Hakenkreuz : ein schwäbisches Industriedorf in der Zeit des Nationalsozialismus /,"Scherrieble, Joachim.",X002631542,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DD 000010 .C76  G7  2009,DD10 .C76 G7 2009,5077698,ALDERMAN,2009,"The Great War and German memory : society, politics, and psychological trauma, 1914-1945 /","Crouthamel, Jason.",X030277483,STACKS,CHECKEDOUT,BOOK,1/8/10,5/14/18,2,1,0,3,2
DD 000100 .A2  B7,DD100 .A2 B7,953276,ALDERMAN,1973,Das Staats- und Gesellschaftsbild deutscher Generale beider Weltkriege im Spiegel ihrer Memoiren.,"Breit, Gotthard.",X000500014,STACKS,STACKS,BOOK,6/29/96,1/13/09,0,0,0,0,1
DD 000100 .A2  H85,DD100 .A2 H85,953277,ALDERMAN,1973,Hitler's generals.,"Humble, Richard.",X000265199,STACKS,STACKS,BOOK,6/29/96,11/9/00,0,0,1,2,1
DD 000100 .A2  P73  1982,DD100 .A2 P73 1982,2519043,ALDERMAN,1982,Preussische Soldatenbriefe /,,X002670212,STACKS,CHECKEDOUT,BOOK,7/1/96,2/19/19,1,0,1,4,1
DD 000101 .C58  2005,DD101 .C58 2005,4335313,ALDERMAN,2005,The German way of war : from the Thirty Years' War to the Third Reich /,"Citino, Robert Michael,",X004900476,STACKS,STACKS,BOOK,12/20/05,11/28/14,1,3,1,18,1
DD 000101 .C78  1993  V.000001,DD101 .C78 1993 v.1,2284773,ALDERMAN,1993,Grundzüge der deutschen Militärgeschichte /,,X002444109,STACKS,STACKS,BOOK,7/1/96,6/25/05,0,0,0,5,1
DD 000101 .C78  1993  V.000002,DD101 .C78 1993 v.2,2284773,ALDERMAN,1993,Grundzüge der deutschen Militärgeschichte /,,X002444123,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DD 000101 .G6,DD101 .G6,420670,ALDERMAN,1950,"Der deutsche Generalstab; Geschichte und Gestalt, 1657-1945.","Görlitz, Walter,",X000013607,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
DD 000101 .G614  1953,DD101 .G614 1953,610443,ALDERMAN,1953,"History of the German General Staff, 1657-1945.","Görlitz, Walter,",X000077447,STACKS,STACKS,BOOK,6/29/96,4/19/10,0,0,4,7,1
DD 000101 .G614  1975,DD101 .G614 1975,472139,ALDERMAN,1975,"History of the German General Staff, 1657-1945 /","Görlitz, Walter,",X000045691,STACKS,STACKS,BOOK,6/29/96,11/19/11,0,0,0,3,1
DD 000101 .H4  1968,DD101 .H4 1968,953278,ALDERMAN,1968,Deutsche Militärgeschichte.,"Hermann, Carl Hans,",X000500035,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DD 000101 .K57  1975,DD101 .K57 1975,447654,ALDERMAN,1975,A military history of Germany : from the eighteenth century to the present day /,"Kitchen, Martin.",X000188343,STACKS,STACKS,BOOK,6/29/96,11/11/12,1,5,0,15,1
