Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DG 000101 .A65  1992,DG101 .A65 1992,2320955,ALDERMAN,1993,Aquileia : a tavola con gli antichi romani /,,X002553005,STACKS,STACKS,BOOK,7/1/96,1/27/11,0,0,0,2,1
DG 000101 .B64  1999,DG101 .B64 1999,3552303,ALDERMAN,1999,"Apicius, Anmerkungen zum römischen Kochbuch : das Kochbuch des Apicius als Quelle zur Wirtschafts- und Sozialgeschichte /","Bode, Matthias.",X004435973,STACKS,STACKS,BOOK,7/24/00,1/1/00,0,0,0,0,1
DG 000101 .D68  1986,DG101 .D68 1986,1252594,ALDERMAN,1986,Le abitudini alimentari dei Romani /,"Dosi, Antonietta.",X001336461,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,2
DG 000101 .D69  1986,DG101 .D69 1986,1806282,ALDERMAN,1986,I Romani in cucina /,"Dosi, Antonietta.",X002029070,STACKS,STACKS,BOOK,6/30/96,4/15/00,0,0,1,4,1
DG 000101 .L36  1990,DG101 .L36 1990,1895610,ALDERMAN,1990,Banchetto e società romana : dalle origini al I sec. a.C. /,"Landolfi, Luciano,",X002048406,STACKS,STACKS,BOOK,6/30/96,6/15/16,1,0,0,4,1
DG 000101 .R65  2006,DG101 .R65 2006,4393404,ALDERMAN,2006,"Dining posture in ancient Rome : bodies, values, and status /","Roller, Matthew B.,",X030105533,STACKS,STACKS,BOOK,9/5/06,10/10/17,4,4,1,16,1
DG 000101 .R655  2005,DG101 .R655 2005,6640757,ALDERMAN,2005,Roman dining : a special issue of American Journal of Philology /,,X031740608,STACKS,STACKS,BOOK,11/16/15,12/2/15,0,0,1,0,1
DG 000101 .S345  2011,DG101 .S345 2011,5444712,ALDERMAN,2011,Convivium : Form und Bedeutung aristokratischer Geselligkeit in der römischen Antik /,"Schnurbusch, Dirk.",X031197936,STACKS,STACKS,BOOK,10/26/11,2/11/15,1,0,0,1,1
DG 000101 .S845  2005,DG101 .S845 2005,4230265,ALDERMAN,2005,Das römische Gastmahl : eine Kulturgeschichte /,"Stein-Hölkeskamp, Elke.",X004879461,STACKS,STACKS,BOOK,3/9/05,4/21/11,0,0,1,2,1
DG 000103 .B47  2010,DG103 .B47 2010,5174706,ALDERMAN,2010,Bestattungsrituale und Totenkult in der römischen Kaiserzeit = Rites funeraires et culte des morts aux temps imperiales /,,X030770285,STACKS,STACKS,BOOK,7/8/10,1/1/00,0,0,0,0,1
DG 000103 .B875  2016,DG103 .B875 2016,7071850,ALDERMAN,2016,"Burial rituals, ideas of afterlife, and the individual in the Hellenistic world and the Roman Empire /",,X031846010,STACKS,CHECKEDOUT,BOOK,5/22/17,2/1/19,2,1,0,3,1
DG 000103 .D7813  2009,DG103 .D7813 2009,5097966,ALDERMAN,2009,The archaeology of the dead : lectures in archaeothanatology /,"Duday, H.",X030608166,STACKS,STACKS,BOOK,2/26/10,12/17/15,1,1,0,3,1
DG 000103 .F56  1996,DG103 .F56 1996,2644091,ALDERMAN,1996,Ancestor masks and aristocratic power in Roman culture /,"Flower, Harriet.",X004082085,STACKS,STACKS,BOOK,1/22/97,8/10/18,5,13,1,48,1
DG 000103 .G73  2006,DG103 .G73 2006,4754910,ALDERMAN,2006,The burial of the urban poor in Italy in the late Roman republic and early empire /,"Graham, Emma-Jayne.",X030465469,STACKS,STACKS,BOOK,8/22/08,10/4/10,0,0,1,6,1
DG 000103 .M37  2011,DG103 .M37 2011,5711824,ALDERMAN,2011,L'épitaphe et la mémoire : parenté et identité sociale dans les Gaules et Germanies romaines /,"Mathieu, Nicolas,",X031199216,STACKS,STACKS,BOOK,7/6/12,7/24/12,1,0,0,1,1
