Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DH 000101 .H88  2007,DH101 .H88 2007,4607001,ALDERMAN,2007,Historical dictionary of the Netherlands /,"Koopmans, Joop W.",X030260751,STACKS,STACKS,BOOK,7/10/07,12/8/07,0,0,0,3,1
DH 000101 .H88  2016,DH101 .H88 2016,6786190,ALDERMAN,2016,Historical dictionary of the Netherlands /,"Koopmans, Joop W.,",X031758274,STACKS,STACKS,BOOK,7/11/16,1/1/00,0,0,0,0,1
DH 000101 .S5,DH101 .S5,599965,ALDERMAN,1973,"The Netherlands, 57 B.C.-1971 a chronology and factbook,","Smit, Pamela.",X000061485,STACKS,STACKS,BOOK,6/29/96,1/7/08,0,0,0,2,2
DH 000101 .V64,DH101 .V64,127102,ALDERMAN,1981,Nijhoffs geschiedenislexicon Nederland en België /,"Volmuller, H. W. J.",X000322626,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,2,0,4
DH 000107 .A58  V.000001,DH107 .A58 V.1,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000216089,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DH 000107 .A58  V.000010,DH107 .A58 V.10,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000216090,STACKS,STACKS,BOOK,6/28/96,5/9/01,0,0,0,1,1
DH 000107 .A58  V.000011,DH107 .A58 V.11,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000670562,STACKS,STACKS,BOOK,6/28/96,12/20/06,0,0,0,2,1
DH 000107 .A58  V.000012,DH107 .A58 V.12,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000170499,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,2
DH 000107 .A58  V.000013,DH107 .A58 V.13,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000176393,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DH 000107 .A58  V.000014,DH107 .A58 V.14,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000176614,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DH 000107 .A58  V.000015,DH107 .A58 V.15,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000481181,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,1,1
DH 000107 .A58  V.000002,DH107 .A58 V.2,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000481224,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DH 000107 .A58  V.000003,DH107 .A58 V.3,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000483187,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DH 000107 .A58  V.000004,DH107 .A58 V.4,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000176392,STACKS,STACKS,BOOK,6/28/96,1/18/13,0,0,0,0,1
DH 000107 .A58  V.000005,DH107 .A58 V.5,279449,ALDERMAN,1970,Algemene geschiedenis der Nederlanden /,,X000176405,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
