Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DJK000001 .U2  1980,DJK1 .U2 1980,1787281,ALDERMAN,1980,Diverze z éteru : pravda o ?tvavých vysíla?kách svoboda a svobodná Evropa /,U kulatého stolu,X001842733,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DJK000001.5 .C46  2007,DJK1.5 .C46 2007,4673348,ALDERMAN,2007,Central European history and the European Union : the meaning of Europe /,,X030276489,STACKS,STACKS,BOOK,12/13/07,2/16/09,0,0,0,0,1
DJK000001.5 .R36,DJK1.5 .R36,1265614,ALDERMAN,1979,"Rapports, co-rapports, communications tchécoslovaques pour le IVe congrès de l'Association internationale d'études du Sud-est européen /",,X001337913,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DJK000001.5 .S624  1992,DJK1.5 .S624 1992,1998659,ALDERMAN,1992,"Slavi?ane i ikh sosedi : osmanskai?a imperii?a i narody t?sentral?no?, vostochno? i i?ugo-vostochno? Evropy i Kavkaza v XIV-XVIII vv. : tezisy XI konferent?sii /",,X031914550,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,1
DJK000010.5 .G43  2003,DJK10.5 .G43 2003,4014004,ALDERMAN,2003,Gedächtnisorte in Osteuropa : Vergangenheiten auf dem Prüfstand /,,X004789242,STACKS,STACKS,BOOK,3/11/04,11/15/12,0,0,0,0,1
DJK000011 .E876  1999,DJK11 .E876 1999,3697644,ALDERMAN,1999,"Europa nie prowincjonalna : przemiany na ziemiach wschodnich dawnej Rzeczypospolitej (Bia?oru?, Litwa, ?otwa, Ukraina, wschodnie pogranicze III Rzeczypospolitej Polskiej) w latach 1772-1999 / praca zbiorowa pod redakcj? Krzysztofa Jasiewicza = Non-provincial Europe : changes on the Eastern Territories of the former Polish Re",,X004530110,STACKS,STACKS,BOOK,3/8/01,1/1/00,0,0,0,0,1
DJK000011 .G74  2000,DJK11 .G74 2000,3578974,ALDERMAN,2000,Grenzen in Ostmitteleuropa im 19. und 20. Jahrhundert : aktuelle Forschungsprobleme /,,X004532403,STACKS,STACKS,BOOK,11/6/00,1/1/00,0,0,0,0,1
DJK000012 .T87  1989,DJK12 .T87 1989,1327641,ALDERMAN,1989,"Eastern Europe : an historical geography, 1815-1945 /","Turnock, David.",X001508897,STACKS,STACKS,BOOK,6/30/96,11/21/05,0,0,0,4,1
DJK000013 .L36  1983,DJK13 .L36 1983,11590,ALDERMAN,1983,"Landesbeschreibungen Mitteleuropas vom 15. bis 17. Jahrhundert : Vorträge der 2. internationalen Tagung des ""Slawenkomitees"" im Herder-Institut Marburg a.d. Lahn, 10.-13. November 1980 /",,X000976564,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DJK000013 .W65  1994,DJK13 .W65 1994,2354148,ALDERMAN,1994,Inventing Eastern Europe : the map of civilization on the mind of the Enlightenment /,"Wolff, Larry.",X002533539,STACKS,CHECKEDOUT,BOOK,7/1/96,2/24/19,2,2,6,54,1
DJK000016 .C45  1990B,DJK16 .C45 1990b,1663353,ALDERMAN,1990,In the communist mirror : journeys in Eastern Europe /,"Chamberlain, Lesley.",X001740600,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,4,10,1
DJK000018 .B35  1983,DJK18 .B35 1983,659887,ALDERMAN,1983,Along the edge of the forest : an Iron Curtain journey /,"Bailey, Anthony.",X000543435,STACKS,STACKS,BOOK,6/29/96,7/27/10,0,0,0,2,1
DJK000018 .D5  1981,DJK18 .D5 1981,124502,ALDERMAN,1981,Viajes por la Europa roja /,"Díaz-Plaja, Fernando.",X000616755,STACKS,STACKS,BOOK,6/28/96,5/9/00,0,0,0,9,1
DJK000018 .G37,DJK18 .G37,253475,ALDERMAN,1978,"De viaje por los países socialistas : 90 días en la ""Cortina de hierro"" /","García Márquez, Gabriel,",X000490270,STACKS,STACKS,BOOK,6/28/96,2/7/05,0,0,0,1,2
DJK000018 .H34  1988,DJK18 .H34 1988,1304972,ALDERMAN,1988,Stealing from a deep place : travels in southeastern Europe /,"Hall, Brian,",X001452858,STACKS,STACKS,BOOK,6/30/96,6/21/05,0,0,1,6,1
DJK000019 .A66  1994,DJK19 .A66 1994,2340367,ALDERMAN,1994,Between East and West : across the borderlands of Europe /,"Applebaum, Anne,",X002539412,STACKS,STACKS,BOOK,7/1/96,11/13/05,0,0,1,8,1
