Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2456533,2,ALDERMAN,STACKS,DK1 .E35 no.14,1952,Soviet military intelligence : two sketches.,,X030529212,BOOK,7/1/96,2/24/09,STACKS,0,0,0,0,1
1224402,2,ALDERMAN,STACKS,DK1 .E35 no.24,1952,Some aspects of Soviet price policy.,"Uranov, Peter,",X001466336,BOOK,6/30/96,2/24/09,STACKS,0,0,0,1,1
1224403,2,ALDERMAN,STACKS,DK1 .E35 no.25,1952,Soviet forestation: agricultural and social significance.,"Lindemann, Vladimir.",X030529219,BOOK,6/30/96,2/24/09,STACKS,0,0,0,0,1
2477066,2,ALDERMAN,STACKS,DK1 .E35 no.35,1952,"Soviet population trends, 1926-1939.","Marchenko, V. P. (Vasili? Pavlovich)",X002694492,BOOK,7/1/96,2/24/09,STACKS,0,0,0,1,1
1223443,2,ALDERMAN,STACKS,DK1 .E35 no.37,1953,Soviet dismantling of equipment in postwar Germany.,"Aleksandrov, Vladimir.",X001466128,BOOK,6/30/96,2/24/09,STACKS,0,0,0,1,1
2456508,2,ALDERMAN,STACKS,DK1 .E35 no.44,1953,Religious communes in the U.S.S.R.,"Petrus, K.,",X030529213,BOOK,7/1/96,2/24/09,STACKS,0,0,0,0,1
11897,2,ALDERMAN,STACKS,DK1 .E35 no.47,1953,Urban construction in the Soviet Union.,"Markov, George.",X000746330,BOOK,6/28/96,2/24/09,STACKS,0,0,0,0,1
2456510,2,ALDERMAN,STACKS,DK1 .E35 no.63,1954,Economic administration and labor productivity on a Soviet state farm.,"Dobrovolsky, Alexander,",X030529214,BOOK,7/1/96,2/24/09,STACKS,0,0,0,0,1
2456511,2,ALDERMAN,STACKS,DK1 .E35 no.67,1954,Communist Party officials : a group of portraits /,"Kitaev, M. (Mikhail)",X030529215,BOOK,7/1/96,2/24/09,STACKS,0,0,0,0,1
2456514,2,ALDERMAN,STACKS,DK1 .E35 no.72 1955,1955,"Soviet use of German science and technology, 1945-1946.","Sokolov, Valentin L.,",X001866635,BOOK,7/1/96,12/3/14,STACKS,0,0,0,1,1
2456516,2,ALDERMAN,STACKS,DK1 .E35 no.73 1955,1955,Khmel'nyts'kyi and the Treaty of Pereyaslav in Soviet historiography;,"Moskalenko, Andriy.",X004274561,BOOK,7/1/96,2/24/09,STACKS,0,0,0,1,1
2456517,2,ALDERMAN,STACKS,DK1 .E35 no.75,1955,The local budget system of the U.S.S.R.: its development and functions /,"Stec, George.",X030529216,BOOK,7/1/96,2/24/09,STACKS,0,0,0,0,1
2456536,2,ALDERMAN,STACKS,DK1 .E35 no.76,1955,Two essays in Soviet historiography /,"Yaresh, Leo A.,",X030529217,BOOK,7/1/96,2/24/09,STACKS,0,0,0,0,1
2456519,2,ALDERMAN,STACKS,DK1 .E35 no.77,1955,"Dissolution and aftermath of the Comintern : experiences and observations, 1937-1947 /","Burmeister, Alfred.",X030529218,BOOK,7/1/96,7/26/13,STACKS,0,0,0,0,1
7367816,2,ALDERMAN,STACKS,DK1 .K6,1933,"Kolokol = La Cloche = Die Glocke : Vivos Voco: Organ russkogo osvobozhdenii?a, osnovanny? A.I. Gert?semon (Iskanderom) : Pod redakt?sie? Agentov russkogo dela /",,X032023244,BOOK,2/27/18,1/1/00,STACKS,0,0,0,0,1
212714,2,ALDERMAN,STACKS,DK1 .K622 V.1,1978,"Kolokol = La Cloche : gazeta A. I. Gert?sena i N. P. Ogareva : Zheneva, 1868-1869.",,X000074915,BOOK,6/28/96,2/24/09,STACKS,0,0,0,0,1
212714,2,ALDERMAN,STACKS,DK1 .K622 V.2,1978,"Kolokol = La Cloche : gazeta A. I. Gert?sena i N. P. Ogareva : Zheneva, 1868-1869.",,X000074916,BOOK,6/28/96,2/24/09,STACKS,0,0,0,0,1
949274,2,ALDERMAN,STACKS,DK1 .K72 V.1,1947,A digest of the Krasnyi arkhiv (Red archives);,,X000743405,BOOK,6/29/96,5/6/17,STACKS,1,5,1,6,1
