Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DL 000001.5 .I56  1983,DL1.5 .I56 1983,1809694,ALDERMAN,1985,"Probleme des Friedens und des gesellschaftlichen Fortschritts in Kultur, Literatur und Sprachen Nordeuropas : 3. Internationale Wissenschaftliche Konferenz der Nordeuropawissenschaftler Sozialistischer Staaten, Greifswald, Oktober 1983.",Internationale Wissenschaftliche Konferenz der Nordeuropawissenschaftler Sozialistischer Staaten,X001984225,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,3
DL 000010 .C33  1940,DL10 .C33 1940,396894,ALDERMAN,1940,Travels in the north: exemplified by the author?s own drawings;,"?apek, Karel,",X000012551,STACKS,STACKS,BOOK,6/28/96,1/2/10,0,0,0,4,1
DL 001004 .S68  1981,DL1004 .S68 1981,74784,ALDERMAN,1985,Trudy VIII Sovetsko-finli?andskogo simpoziuma istorikov : Petrozavodsk 21-23 okti?abri?a 1981 g. /,Sovetsko-finli?andski? simpozium istorikov,X001029976,STACKS,STACKS,BOOK,6/28/96,3/20/09,0,0,0,0,1
DL 001004 .S68  1985,DL1004 .S68 1985,2480002,ALDERMAN,1988,"Trudy X Sovetsko-finli?andskogo simpoziuma istorikov : Riga, 2-4 dekabri?a 1985 g. /",Sovetsko-finli?andski? simpozium istorikov,X002647888,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DL 001005 .P345  1988,DL1005 .P345 1988,1325958,ALDERMAN,1988,Quellenkunde zur Geschichte Finnlands /,"Paloposki, Toivo J. (Toivo Johannes),",X001502218,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DL 001007 .M38  1995  NO.000008,DL1007 .M38 1995 no.8,2636808,ALDERMAN,1995,Historical dictionary of Finland /,"Maude, George.",X004041562,STACKS,STACKS,BOOK,12/18/96,1/1/00,0,0,0,0,1
DL 001007 .U66  1982  V.000001,DL1007 .U66 1982 v.1,762306,ALDERMAN,1982,Uppslagsverket Finland.,,X001155895,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DL 001007 .U66  1982  V.000002,DL1007 .U66 1982 v.2,762306,ALDERMAN,1982,Uppslagsverket Finland.,,X001155896,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DL 001007 .U66  1982  V.000003,DL1007 .U66 1982 v.3,762306,ALDERMAN,1982,Uppslagsverket Finland.,,X001155897,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DL 001015 .L33  1986,DL1015 .L33 1986,779439,ALDERMAN,1986,"Bilden av inlandet : i den finlandssvenska skönlitterära prosan under ryska tiden och i det realistiska landskapsmåleriet jämförd med den geografiska bilden av motsvarande område : en tvärvetenskaplig, topografisk studie = The image of the Finnish interior : presented in Finland Swedish prose literature and landscape pain","Lahti, Lea-Liisa.",X001279001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DL 001016 .R69  2006,DL1016 .R69 2006,4396902,ALDERMAN,2006,Finland and Tallinn : report and proceedings of the 151st Summer Meeting of the Royal Archaeological Institute in 2005 /,Royal Archaeological Institute (Great Britain). Summer Meeting,X030138577,STACKS,STACKS,BOOK,9/18/06,1/1/00,0,0,0,0,1
DL 001017 .S8513  1999,DL1017 .S8513 1999,4783684,ALDERMAN,1999,Europe's northern frontier : perspectives on Finland's western identity /,,X030269436,STACKS,STACKS,BOOK,10/16/08,11/27/18,1,0,0,2,1
