Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
6369164,2,ALDERMAN,STACKS,DP1 .T4 no.542 1976,1976,Pablo Casals /,"Alavedra, Joan,",X031648746,BOOK,7/24/14,1/1/00,STACKS,0,0,0,0,1
6244490,2,ALDERMAN,STACKS,DP100 .A99 2013,2013,?A?r al-?aw??if f? al-Andalus min khil?l ras??il d?w?n?yah : al-qarn al-kh?mis al-Hijr?/11 M /,"?Azz?w?, A?mad.",X031635249,BOOK,4/18/14,1/1/00,STACKS,0,0,0,0,1
6549517,2,ALDERMAN,STACKS,DP100 .D45 2013,2013,Del Nilo al Guadalquivir : II estudios sobre las fuentes de la conquista isl·mica : homenaje al profesor Yves ModÈran /,,X031729880,BOOK,4/24/15,4/25/17,STACKS,3,2,0,5,1
216688,2,ALDERMAN,STACKS,DP100 .H6,1965,Spanisch-Islamische Urkunden aus der Zeit der Na?riden und Moriscos.,"Hoenerbach, Wilhelm",X000749720,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
149100,2,ALDERMAN,STACKS,DP100 .L55,1973,"Teodomiro de Oriola, su vida y su obra","Llobregat Conesa, Enrique.",X000596909,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
346252,2,ALDERMAN,STACKS,DP100 .S3 1946 v.1,1946,"La EspaÒa musulmana, seg˙n los autores islamitas y cristianos medievales.","S·nchez-Albornoz, Claudio,",X000372719,BOOK,6/28/96,3/24/09,STACKS,0,0,3,3,1
346252,2,ALDERMAN,STACKS,DP100 .S3 1946 v.2,1946,"La EspaÒa musulmana, seg˙n los autores islamitas y cristianos medievales.","S·nchez-Albornoz, Claudio,",X030553179,BOOK,5/14/09,4/25/17,STACKS,1,1,0,2,1
949669,2,ALDERMAN,STACKS,DP100 .S3 1973 v.1,1973,"La EspaÒa musulmana,","S·nchez-Albornoz, Claudio,",X000371410,BOOK,6/29/96,11/2/03,STACKS,0,0,1,10,1
949669,2,ALDERMAN,STACKS,DP100 .S3 1973 v.2,1973,"La EspaÒa musulmana,","S·nchez-Albornoz, Claudio,",X000891461,BOOK,6/29/96,9/28/03,STACKS,0,0,2,6,1
4599024,2,ALDERMAN,STACKS,DP100 .V28 2006,2006,Sobre el pergamino y l·minas de Granada /,"Valencia, Pedro de,",X030243628,BOOK,6/15/07,2/18/11,STACKS,0,0,0,1,1
