Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DQ 000001 .S72  SER.2  T.12  1924,DQ1 .S72 ser.2 t.12 1924,4865627,ALDERMAN,1924,Les origines de Fribourg et le quartier du Bourg au XVe et XVIe siècles /,"Zurich, Pierre de,",X030574056,STACKS,STACKS,BOOK,4/20/09,2/25/11,0,0,0,0,1
DQ 000101 .E5,DQ101 .E5,949009,ALDERMAN,1948,Les entreprises du duc de Bourgogne contre les Suisses.,,X002521437,STACKS,STACKS,BOOK,6/29/96,3/26/09,0,0,1,14,1
DQ 000101 .H56  1999,DQ101 .H56 1999,2930209,ALDERMAN,1999,Die Renaissance des Krieges : Kriegsmonographien und das Bild des Krieges in der spätmittelalterlichen Chronistik am Beispiel der Burgunderkriege /,"Himmelsbach, Gerrit.",X004358257,STACKS,STACKS,BOOK,7/22/99,1/1/00,0,0,0,0,1
DQ 000101 .S73,DQ101 .S73,189896,ALDERMAN,1979,Burgund und die Eidgenossenschaft zur Zeit Karls des Kühnen : d. polit. Beziehungen in ihrer Abhängigkeit von d. inneren Struktur beider Staaten /,"Stein, Norbert,",X000914763,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DQ 000106 .P57  1988,DQ106 .P57 1988,1763069,ALDERMAN,1988,Der Schweizerkrieg /,"Pirckheimer, Willibald,",X001508172,STACKS,STACKS,BOOK,6/30/96,3/21/02,0,0,1,2,1
DQ 000110 .M8  S3  1988,DQ110 .M8 S3 1988,1762746,ALDERMAN,1988,Sebastian Münster : Katalog zur Ausstellung aus Anlass des 500. Gebartstages am 20. Januar 1988 im Museum-Altes Rathaus Ingelheim am Rhein /,,X002126342,STACKS,STACKS,BOOK,6/30/96,9/24/01,0,0,0,9,1
DQ 000110 .U47  B33,DQ110 .U47 B33,727220,ALDERMAN,1977,"Freiherr Ulrich VIII. von Hohensax, Herr zu Bürglen und Forstegg (1462-1538) : Studien zu einem Vertreter des privaten militärischen Unternehmertums im ausgehenden 15. und beginnenden 16. Jahrhundert /","Bänziger, Martin,",X001184226,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DQ 000113 .P37  1989,DQ113 .P37 1989,1739074,ALDERMAN,1989,"Pour le salut de mon âme : les Lausannois face à la mort, XIVe siècle /","Pasche, Véronique.",X001807127,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,1,1
DQ 000113 .S77  1989  BD.000001,DQ113 .S77 1989 Bd.1,1360840,ALDERMAN,1989,Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /,"Strickler, Joh. (Johannes)",X001584645,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000113 .S77  1989  BD.000002,DQ113 .S77 1989 Bd.2,1360840,ALDERMAN,1989,Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /,"Strickler, Joh. (Johannes)",X001597269,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000113 .S77  1989  BD.000003,DQ113 .S77 1989 Bd.3,1360840,ALDERMAN,1989,Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /,"Strickler, Joh. (Johannes)",X001584644,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000113 .S77  1989  BD.000004,DQ113 .S77 1989 Bd.4,1360840,ALDERMAN,1989,Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /,"Strickler, Joh. (Johannes)",X001597262,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000113 .S77  1989  BD.000005,DQ113 .S77 1989 Bd.5,1360840,ALDERMAN,1989,Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /,"Strickler, Joh. (Johannes)",X001596503,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000114 .B85  1985,DQ114 .B85 1985,710624,ALDERMAN,1985,Heinrich Bullingers Diarium (Annales vitae) der Jahre 1504-1574 /,"Bullinger, Heinrich,",X001156440,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,2,2
DQ 000116 .G7613  2002,DQ116 .G7613 2002,3857724,ALDERMAN,2002,"Liquid assets, dangerous gifts : presents and politics at the end of the Middle Ages /","Groebner, Valentin.",X004558858,STACKS,STACKS,BOOK,6/19/02,6/28/07,0,0,0,1,1
DQ 000118 .J4  P45  1984,DQ118 .J4 P45 1984,40594,ALDERMAN,1984,Jörg Jenatsch : Sein Leben und seine Zeit /,"Pfister, Alexander,",X000821140,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
DQ 000118 .P6  A3  1988,DQ118 .P6 A3 1988,4579437,ALDERMAN,1988,La mia vita : 1505 (c.)-1582 /,"Platter, Thomas,",X030236565,STACKS,STACKS,BOOK,5/17/07,2/25/11,0,0,0,0,1
DQ 000118 .P6  A32,DQ118 .P6 A32,949012,ALDERMAN,1911,Thomas und Felix Platters und Theodor Agrippa d'Aubignés Lebensbeschreibungen,"Platter, Thomas,",X000591333,STACKS,STACKS,BOOK,6/29/96,2/25/11,0,0,1,5,1
DQ 000118 .P6  L47  1995  T.000001,DQ118 .P6 L47 1995 t.1,2418921,ALDERMAN,1995,"Le siècle des Platter, 1499-1628 /","Le Roy Ladurie, Emmanuel.",X002641411,STACKS,STACKS,BOOK,7/1/96,2/25/11,0,0,1,3,1
DQ 000118 .P6  L47  1995  T.000002,DQ118 .P6 L47 1995 t.2,2418921,ALDERMAN,1995,"Le siècle des Platter, 1499-1628 /","Le Roy Ladurie, Emmanuel.",X004469722,STACKS,STACKS,BOOK,10/24/00,4/15/15,0,0,0,0,1
DQ 000118 .P6  L47  1995  T.000003,DQ118 .P6 L47 1995 t.3,2418921,ALDERMAN,1995,"Le siècle des Platter, 1499-1628 /","Le Roy Ladurie, Emmanuel.",X030006185,STACKS,STACKS,BOOK,2/8/06,4/15/15,0,0,0,0,1
DQ 000121 .B38  2004,DQ121 .B38 2004,4326850,ALDERMAN,2004,"Bauern, Untertanen und ""Rebellen"" : eine Kulturgeschichte des Schweizerischen Bauernkrieges von 1653 /",,X004972032,STACKS,STACKS,BOOK,11/9/05,12/1/05,0,0,0,2,1
DQ 000121.8 .W3  D65,DQ121.8 .W3 D65,485912,ALDERMAN,1975,Bürgermeister Johann Heinrich Waser (1600-1669) als Politiker : ein Beitrag zur Schweizer Geschichte des 17. Jahrhunderts /,"Domeisen, Norbert.",X000282173,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DQ 000122 .G355  2017,DQ122 .G355 2017,7347543,ALDERMAN,2017,Gallotropismus aus helvetischer Sicht = Le gallotropisme dans une perspective helvétique /,,X031812334,STACKS,STACKS,BOOK,1/25/18,1/1/00,0,0,0,0,1
DQ 000122 .I48  1983  V.000001,DQ122 .I48 1983 v.1,7592,ALDERMAN,1983,Die Helvetische Gesellschaft : Spätaufklärung und Vorrevolution in der Schweiz /,"Im Hof, Ulrich.",X000789190,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DQ 000122 .I48  1983  V.000002,DQ122 .I48 1983 v.2,7592,ALDERMAN,1983,Die Helvetische Gesellschaft : Spätaufklärung und Vorrevolution in der Schweiz /,"Im Hof, Ulrich.",X000789189,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DQ 000123 .T73  R8,DQ123 .T73 R8,316441,ALDERMAN,1963,"Johann Baptista von Tscharner, 1751-1835; eine Biographie im Rahmen der Zeitgeschichte.","Rufer, Alfred,",X001102761,STACKS,STACKS,BOOK,6/28/96,3/26/09,0,0,0,1,1
DQ 000124 .C64  1982,DQ124 .C64 1982,693491,ALDERMAN,1982,Die de Latour von Brigels in der Bündner Politik des 19. Jahrhunderts : ein Beitrag zur Geschichte Graubündens von 1800-1851 und des aufgeklärten bündnerischen liberalen Katholizismus /,"Collenberg, Adolf,",X001188320,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,2
DQ 000124 .S39  1982,DQ124 .S39 1982,12183,ALDERMAN,1982,Die Schweiz im Aufbruch : das 19. Jahrhundert in zeitgenössischen Berichten /,,X000480516,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DQ 000124 .T74  1988,DQ124 .T74 1988,1660978,ALDERMAN,1988,Die Magnetische Zeit : Alltag und Lebensgefühl im frühen 19. Jahrhundert /,"Treichler, Hans Peter,",X001730370,STACKS,STACKS,BOOK,6/30/96,8/24/96,0,0,0,4,1
DQ 000124 .Z56  2003,DQ124 .Z56 2003,3952138,ALDERMAN,2003,"A contested nation : history, memory and nationalism in Switzerland, 1761-1891 /","Zimmer, Oliver,",X004718984,STACKS,STACKS,BOOK,7/12/03,5/12/10,0,0,1,5,1
DQ 000128 .H44  1985,DQ128 .H44 1985,1780901,ALDERMAN,1985,Eine Bürgerfamilie im 19. Jahrhundert : sozialgeschichtliche Streiflichter /,"Helbling, Hanno.",X002063740,STACKS,STACKS,BOOK,6/30/96,2/25/11,0,0,0,1,1
DQ 000129 .B7  A4  1945,DQ129 .B7 A4 1945,311413,ALDERMAN,1945,"Briefe, Jugenderinnerungen /","Bonstetten, Charles Victor de,",X000871401,STACKS,STACKS,BOOK,6/28/96,3/26/09,0,0,1,0,1
DQ 000129 .D8  G46  1987,DQ129 .D8 G46 1987,1809407,ALDERMAN,1987,Le Général Dufour et Saint-Maurice.,,X002027840,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,1
DQ 000129 .L3  A33  V.000001,DQ129 .L3 A33 v.1,238078,ALDERMAN,1978,Correspondance de Frédéric-César de La Harpe et Alexandre Ier : suivie de la correspondance de F.-C. de La Harpe avec les membres de la famille impériale de Russie /,"La Harpe, Frédéric-César de,",X000073947,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DQ 000129 .L3  A33  V.000002,DQ129 .L3 A33 v.2,238078,ALDERMAN,1978,Correspondance de Frédéric-César de La Harpe et Alexandre Ier : suivie de la correspondance de F.-C. de La Harpe avec les membres de la famille impériale de Russie /,"La Harpe, Frédéric-César de,",X000073948,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,2
DQ 000129 .L3  A33  V.000003,DQ129 .L3 A33 v.3,238078,ALDERMAN,1978,Correspondance de Frédéric-César de La Harpe et Alexandre Ier : suivie de la correspondance de F.-C. de La Harpe avec les membres de la famille impériale de Russie /,"La Harpe, Frédéric-César de,",X031869916,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000129 .L3  A4  1982  ORDER AFJ003018-000001,DQ129 .L3 A4 1982 Order AFJ3018-001,1232652,ALDERMAN,1982,Correspondance de Frédéric-César de La Harpe sous la République Helvétique /,"La Harpe, Frédéric-César de,",1232652-3001,STACKS,STACKS,BOOK,3/18/98,1/1/00,0,0,0,0,2
DQ 000129 .L3  A4  1982  T.000001,DQ129 .L3 A4 1982 t.1,1232652,ALDERMAN,1982,Correspondance de Frédéric-César de La Harpe sous la République Helvétique /,"La Harpe, Frédéric-César de,",X000504438,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000129 .L3  A4  1982  T.000002,DQ129 .L3 A4 1982 t.2,1232652,ALDERMAN,1982,Correspondance de Frédéric-César de La Harpe sous la République Helvétique /,"La Harpe, Frédéric-César de,",X001357228,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,2
DQ 000129 .L3  A4  1982  T.000004,DQ129 .L3 A4 1982 t.4,1232652,ALDERMAN,1982,Correspondance de Frédéric-César de La Harpe sous la République Helvétique /,"La Harpe, Frédéric-César de,",X004826231,STACKS,STACKS,BOOK,10/14/04,1/1/00,0,0,0,0,1
DQ 000129 .S87  A4  1988,DQ129 .S87 A4 1988,1383492,ALDERMAN,1988,"Briefe eines Schweizers aus Paris, 1835-1836 : neue Dokumente zur Geschichte der frühproletarischen Kultur und Bewegung /","Strähl, Wolfgang,",X001590912,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000131 .L47  2012,DQ131 .L47 2012,5959778,ALDERMAN,2012,"A laboratory of liberty : the transformation of political culture in republican Switzerland, 1750-1848 /","Lerner, Marc H.",X030860672,STACKS,STACKS,BOOK,3/15/13,3/3/15,0,0,0,0,1
DQ 000131 .R83  1974,DQ131 .R83 1974,460426,ALDERMAN,1974,La Suisse et la Révolution française.,"Rufer, Alfred,",X000282174,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,0,1
DQ 000139 .S85  1989,DQ139 .S85 1989,1642944,ALDERMAN,1989,"La Suisse & la Révolution française : images, caricatures, pamphlets /",,X001902023,STACKS,STACKS,BOOK,6/30/96,12/1/10,0,0,1,5,1
DQ 000014 .D514  BD.000001,DQ14 .D514 Bd.1,948975,ALDERMAN,1902,Geographisches Lexikon der Schweiz;,Dictionnaire géographique de la Suisse.,X004723432,STACKS,STACKS,BOOK-NC,6/29/96,1/1/00,0,0,0,0,1
DQ 000014 .D514  BD.000002,DQ14 .D514 Bd.2,948975,ALDERMAN,1902,Geographisches Lexikon der Schweiz;,Dictionnaire géographique de la Suisse.,X004723433,STACKS,STACKS,BOOK-NC,9/3/03,1/1/00,0,0,0,0,1
DQ 000014 .D514  BD.000003,DQ14 .D514 Bd.3,948975,ALDERMAN,1902,Geographisches Lexikon der Schweiz;,Dictionnaire géographique de la Suisse.,X004723434,STACKS,STACKS,BOOK-NC,9/3/03,1/1/00,0,0,0,0,1
DQ 000014 .D514  BD.000004,DQ14 .D514 Bd.4,948975,ALDERMAN,1902,Geographisches Lexikon der Schweiz;,Dictionnaire géographique de la Suisse.,X004723435,STACKS,STACKS,BOOK-NC,9/3/03,1/1/00,0,0,0,0,1
DQ 000014 .D514  BD.000005,DQ14 .D514 Bd.5,948975,ALDERMAN,1902,Geographisches Lexikon der Schweiz;,Dictionnaire géographique de la Suisse.,X004723436,STACKS,STACKS,BOOK-NC,9/3/03,1/1/00,0,0,0,0,1
DQ 000014 .D514  BD.000006,DQ14 .D514 Bd.6,948975,ALDERMAN,1902,Geographisches Lexikon der Schweiz;,Dictionnaire géographique de la Suisse.,X004723437,STACKS,STACKS,BOOK-NC,9/3/03,1/1/00,0,0,0,0,1
DQ 000140 .G3  R48  1989,DQ140 .G3 R48 1989,1649383,ALDERMAN,1989,"Révolutions genevoises, 1782-1798.",,X001957579,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,0,1
DQ 000140 .G3  W53  2012,DQ140 .G3 W53 2012,5823248,ALDERMAN,2012,"Against war and empire : Geneva, Britain, and France in the eighteenth century /","Whatmore, Richard.",X030844891,STACKS,STACKS,BOOK,10/23/12,1/11/13,0,0,0,0,1
DQ 000140 .T52  M677  1992,DQ140 .T52 M677 1992,2294190,ALDERMAN,1992,Come rimanesse svizzero il Ticino nel 1798 /,"Motta, Emilio,",X002532044,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DQ 000140 .V35  B47  1994  V.000001,DQ140 .V35 B47 1994 v.1,2448443,ALDERMAN,1994,"La Révolution vaudoise de 1798, d'après la correspondance de Frédéric-César de La Harpe sous la République helvétique /","Besson, Jacques.",X006031310,STACKS,STACKS,BOOK,12/19/96,2/14/97,0,0,0,1,1
DQ 000140 .V35  B47  1994  V.000002,DQ140 .V35 B47 1994 v.2,2448443,ALDERMAN,1994,"La Révolution vaudoise de 1798, d'après la correspondance de Frédéric-César de La Harpe sous la République helvétique /","Besson, Jacques.",X006031311,STACKS,STACKS,BOOK,12/19/96,2/14/97,0,0,0,1,1
DQ 000140 .V35  L33  1989,DQ140 .V35 L33 1989,1752729,ALDERMAN,1989,La résistance à la révolution de 1798 dans le Jura vaudois /,"Lafontant Vallotton, Chantal",X001827601,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,2,0,1
DQ 000141 .A5  BD.000001,DQ141 .A5 Bd.1,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031870005,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000011,DQ141 .A5 Bd.11,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031869998,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000012,DQ141 .A5 Bd.12,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X002223142,STACKS,STACKS,BOOK,4/1/09,4/1/09,0,0,0,0,1
DQ 000141 .A5  BD.000013,DQ141 .A5 Bd.13,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X002211390,STACKS,STACKS,BOOK,4/1/09,4/1/09,0,0,0,0,1
DQ 000141 .A5  BD.000014,DQ141 .A5 Bd.14,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X030552502,STACKS,STACKS,BOOK,4/1/09,4/1/09,0,0,0,0,1
DQ 000141 .A5  BD.000015,DQ141 .A5 Bd.15,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X030552503,STACKS,STACKS,BOOK,4/1/09,2/25/11,0,0,0,0,1
DQ 000141 .A5  BD.000016,DQ141 .A5 Bd.16,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X000421762,STACKS,STACKS,BOOK,6/29/96,3/26/09,0,0,0,0,2
DQ 000141 .A5  BD.000017,DQ141 .A5 Bd.17,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X030552504,STACKS,STACKS,BOOK,4/1/09,4/1/09,0,0,0,0,1
DQ 000141 .A5  BD.000002,DQ141 .A5 Bd.2,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031869999,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000003,DQ141 .A5 Bd.3,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031870003,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000004,DQ141 .A5 Bd.4,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031870000,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000005,DQ141 .A5 Bd.5,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031870004,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000006,DQ141 .A5 Bd.6,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X002211395,STACKS,STACKS,BOOK,4/1/09,4/1/09,0,0,0,0,2
DQ 000141 .A5  BD.000007,DQ141 .A5 Bd.7,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031870002,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000008,DQ141 .A5 Bd.8,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031870001,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000141 .A5  BD.000009,DQ141 .A5 Bd.9,949015,ALDERMAN,1886,Actensammlung aus der Zeit der Helvetischen Republik (1798-1803) /,Helvetic Republic.,X031869997,STACKS,STACKS,BOOK,11/6/17,1/1/00,0,0,0,0,1
DQ 000143 .B66  1985,DQ143 .B66 1985,695255,ALDERMAN,1985,Revolution in der Schweiz : das Ende der alten Eidgenossenschaft : die Helvetische Republik 1798-1803 /,"Böning, Holger,",X001206383,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DQ 000143 .G89  1994,DQ143 .G89 1994,2433250,ALDERMAN,1994,Logiche della rivolta rurale : insurrezioni contro la Repubblica elvetica nel Ticino meridionale : 1798-1803 /,"Guzzi, Sandro,",X006053155,STACKS,STACKS,BOOK,7/1/96,2/25/11,0,0,0,1,1
DQ 000015 .B68  1986,DQ15 .B68 1986,1290696,ALDERMAN,1986,Nos lieux-dits : toponymie romande /,"Bossard, Maurice.",X001216626,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DQ 000151 .M65  A3  1975  PT.000001,DQ151 .M65 A3 1975 pt.1,388716,ALDERMAN,1975,Mémoires du landamman Monod pour servir à l'histoire de la Suisse en 1815 /,"Monod, Henri,",X000108145,STACKS,STACKS,BOOK,6/28/96,2/25/11,0,0,0,0,1
DQ 000151 .M65  A3  1975  PT.000002,DQ151 .M65 A3 1975 pt.2,388716,ALDERMAN,1975,Mémoires du landamman Monod pour servir à l'histoire de la Suisse en 1815 /,"Monod, Henri,",X000108147,STACKS,STACKS,BOOK,6/28/96,2/25/11,0,0,0,0,1
DQ 000151 .M65  A3  1975  PT.000003,DQ151 .M65 A3 1975 pt.3,388716,ALDERMAN,1975,Mémoires du landamman Monod pour servir à l'histoire de la Suisse en 1815 /,"Monod, Henri,",X000108146,STACKS,STACKS,BOOK,6/28/96,2/25/11,0,0,0,0,1
DQ 000154 .H8  1980,DQ154 .H8 1980,641717,ALDERMAN,1980,"Das Archiv der Tagsatzungsperiode, 1814-1848 /","Hunziker, Guido.",X000859611,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DQ 000154 .P54,DQ154 .P54,265806,ALDERMAN,1944,Die Entwicklung zum schweizerischen Bundesstaat in der Beleuchtung preussischer Gesandtschaftsberichte aus den Jahren 1819-1833 /,"Pieth, Friedrich,",X001060196,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DQ 000157 .H85,DQ157 .H85,544200,ALDERMAN,1970,Die Schweiz und das Nationalitätsprinzip im 19. Jahrhundert; die Einstellung der eidgenössischen Öffentlichkeit zum Gedanken des Nationalstaates.,"Hunziker, Guido.",X000790765,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,2
DQ 000016 .B13  1867,DQ16 .B13 1867,948976,ALDERMAN,1867,"Switzerland and the adjacent portions of Italy, Savoy with the Tyrol. Handbook for travellers,",Karl Baedeker (Firm),X000855995,STACKS,STACKS,BOOK,6/29/96,5/26/04,0,0,0,3,1
DQ 000016 .B13  1869,DQ16 .B13 1869,948977,ALDERMAN,1869,"Switzerland and the adjacent portions of Italy, Savoy and the Tyrol. Handbook for travellers,",Karl Baedeker (Firm),X002417487,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
DQ 000016 .B13  1883,DQ16 .B13 1883,948978,ALDERMAN,1885,"Switzerland, and the adjacent portions of Italy, Savoy, and the Tyrol.",Karl Baedeker (Firm),X002529669,STACKS,STACKS,BOOK,6/29/96,11/3/15,0,0,0,2,1
DQ 000016 .B13  1911,DQ16 .B13 1911,367072,ALDERMAN,1911,"Switzerland and the adjacent portions of Italy, Savoy, and Tyrol; handbook for travellers,",Karl Baedeker (Firm),X001102742,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,0,1
DQ 000016 .B13  1922,DQ16 .B13 1922,273425,ALDERMAN,1922,"Switzerland, together with Chamonix and the Italian lakes : handbook for travellers /",Karl Baedeker (Firm),X001102743,STACKS,STACKS,BOOK,6/28/96,12/6/10,0,0,0,4,1
DQ 000016 .B13  1928,DQ16 .B13 1928,502101,ALDERMAN,1928,Switzerland together with Chamonix and the Italian lakes; handbook for travellers,Karl Baedeker (Firm),X001043092,STACKS,CHECKEDOUT,BOOK,6/29/96,8/25/96,0,0,0,1,1
DQ 000016 .B14  1859,DQ16 .B14 1859,1286273,ALDERMAN,1859,"La Suisse, les lacs italiens, Milan, Turin, Gênes et Nice : manuel du voyageur /",Karl Baedeker (Firm),X001702608,STACKS,STACKS,BOOK,6/30/96,3/26/09,0,0,0,2,1
DQ 000016 .B14  1928,DQ16 .B14 1928,3876504,ALDERMAN,1928,La Suisse et les parties limitrophes de la Savoie et de l'Italie : manuel du voyageur /,Karl Baedeker (Firm),X006053283,STACKS,STACKS,BOOK,8/7/02,2/25/11,0,0,0,0,1
DQ 000016 .E5  1963,DQ16 .E5 1963,299976,ALDERMAN,1963,Complete illustrated vacation guidebook: Switzerland.,"Engel, Lyle Kenyon.",X000423506,STACKS,STACKS,BOOK,6/28/96,3/26/09,0,0,0,1,1
