Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DU 000001 .I44  1945  V.000002 NO.000001,DU1 .I44 1945 v.2 no.1,7344018,ALDERMAN,1945,The Australian balance of payments /,"Giblin, L. F. (Lyndhurst Falkiner),",X031955551,STACKS,STACKS,BOOK,1/16/18,1/1/00,0,0,0,0,1
DU 000001 .I44  1945  V.000005 NO.000003,DU1 .I44 1945 v.5 no.3,7344017,ALDERMAN,1945,A program of social and cultural activity in Indo-China /,De La R. (De La Roche),X031955550,STACKS,STACKS,BOOK,1/16/18,1/1/00,0,0,0,0,1
DU 000001 .I525  1947  NO.000001,DU1 .I525 1947 no.1,272885,ALDERMAN,1947,"United States economic policy towards the Philippine Republic. Based on a larger IPR research report on United States relations with the Philippine Republic to be pub. later. Submitted by the American IPR as a document for the Tenth Conference of the Institute of Pacific Relations to be held at Stratford-upon-Avon, England, Sept","Jenkins, Shirley.",X001124512,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DU 000001 .I525  1947  NO.000001,DU1 .I525 1947 no.1,272885,ALDERMAN,1947,"United States economic policy towards the Philippine Republic. Based on a larger IPR research report on United States relations with the Philippine Republic to be pub. later. Submitted by the American IPR as a document for the Tenth Conference of the Institute of Pacific Relations to be held at Stratford-upon-Avon, England, Sept","Jenkins, Shirley.",X030533117,STACKS,STACKS,BOOK,3/16/09,3/16/09,0,0,0,0,1
DU 000001 .I525  1947  NO.000002,DU1 .I525 1947 no.2,4865699,ALDERMAN,1947,Two problems related to economic development in the Orient : Based on a larger research study for the IPR on economic development in the Orient /,"Staley, Eugene,",X030574082,STACKS,STACKS,BOOK,4/20/09,5/4/09,0,0,0,0,1
DU 000001 .I525  1947  NO.000003,DU1 .I525 1947 no.3,972953,ALDERMAN,1947,American business with East Asia;,"Stein, Guenther.",X030533116,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,0,1
DU 000001 .I525  1947  NO.000004,DU1 .I525 1947 no.4,972954,ALDERMAN,1947,"The results of the Allied occupation of Japan, an interim report.","Martin, Edwin M.",X000501308,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,3,1
DU 000001 .I525  1947  NO.000005,DU1 .I525 1947 no.5,972955,ALDERMAN,1947,Issues in Micronesia;,"Dean, Arthur Lyman,",X002706984,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,1,1,1
DU 000001 .I525  1950  NO.000002,DU1 .I525 1950 no.2,972956,ALDERMAN,1950,American policy in Southeast Asia.,"Finkelstein, Lawrence S.",X000382682,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DU 000001 .I525  1950  NO.000003,DU1 .I525 1950 no.3,972957,ALDERMAN,1950,Commentaries on American Far Eastern policy.,"Lippmann, Walter,",X000382669,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DU 000001 .I54  1936  NO.000017,DU1 .I54 1936 no.17,972959,ALDERMAN,1936,"The red influence in China,","?tsuka, Reiz?,",X030533110,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,0,1
DU 000001 .I54  1936  NO.000005,DU1 .I54 1936 no.5,972958,ALDERMAN,1936,"Small-scale industries of Japan: the woollen industry,","Ueda, Teijir?,",X030533115,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,0,1
DU 000001 .I54  1936  NO.000006,DU1 .I54 1936 no.6,87537,ALDERMAN,1936,"Small-scale industries of Japan: the rayon textile industry,","Ueda, Teijir?,",X001124513,STACKS,STACKS,BOOK,6/28/96,1/12/18,0,0,0,0,1
DU 000001 .I54  1936  NO.000006,DU1 .I54 1936 no.6,87537,ALDERMAN,1936,"Small-scale industries of Japan: the rayon textile industry,","Ueda, Teijir?,",X004456175,STACKS,STACKS,BOOK,10/29/01,7/14/14,2,1,0,3,1
DU 000001 .I54  1950  NO.000001,DU1 .I54 1950 no.1,4865701,ALDERMAN,1950,Japan's economy--present and future /,"Tsuru, Shigeto,",X030574083,STACKS,STACKS,BOOK,4/20/09,1/29/13,1,0,0,1,1
DU 000001 .I54  1950  NO.000002,DU1 .I54 1950 no.2,972960,ALDERMAN,1950,Japan's role in Asiatic trade.,"Katayama, Kenji.",X030533114,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,1,0,1
DU 000001 .I54  1950  NO.000003,DU1 .I54 1950 no.3,972961,ALDERMAN,1950,Nationalism in post-war Japan.,"Maruyama, Masao,",X030533113,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,0,1
DU 000001 .I54  1954  NO.000004,DU1 .I54 1954 no.4,972962,ALDERMAN,1954,The present and future of Japan's population.,"Okazaki, Ayanori,",X001818413,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,1,6,1
DU 000001 .I54  1958  NO.000001,DU1 .I54 1958 no.1,633266,ALDERMAN,1958,Development of the trade between Japan and Communist China--its present problems and its future.,"Miyashita, Tadao,",X001124514,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DU 000001 .I54  1958  NO.000001,DU1 .I54 1958 no.1,633266,ALDERMAN,1958,Development of the trade between Japan and Communist China--its present problems and its future.,"Miyashita, Tadao,",X032403903,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DU 000001 .I54  1958  NO.000002,DU1 .I54 1958 no.2,972963,ALDERMAN,1958,"Japan's foreign policy: conservative and socialist views,","Ashida, Hitoshi,",X030533112,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,0,1
DU 000001 .I54  1958  NO.000003,DU1 .I54 1958 no.3,621179,ALDERMAN,1958,"Some problems of Japan's foreign relations; excerpts from the Foreign policy Blue book,",Japan. Gaimush?.,X001124490,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DU 000001 .I54  1958  NO.000003,DU1 .I54 1958 no.3,621179,ALDERMAN,1958,"Some problems of Japan's foreign relations; excerpts from the Foreign policy Blue book,",Japan. Gaimush?.,X001137198,STACKS,STACKS,BOOK,3/16/09,3/16/09,0,0,0,0,1
DU 000001 .I54  1958  NO.000004,DU1 .I54 1958 no.4,972964,ALDERMAN,1958,The acceleration [principle] in underdeveloped countries.,"Takata, Yasuma,",X030533111,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,0,1
DU 000001 .N482  1993,DU1 .N482 1993,2281133,ALDERMAN,1993,New Zealand based research on the Pacific Islands /,,X002512857,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DU 000001 .S6  NO.000015,DU1 .S6 no.15,434350,ALDERMAN,1968,"Mémoires pour servir à l'histoire de Mangareva, ère chrétienne, 1834-1871,","Laval, Honoré,",X000703489,STACKS,STACKS,BOOK,6/29/96,6/23/15,0,0,0,0,1
DU 000001 .S6  NO.000022,DU1 .S6 no.22,7330535,ALDERMAN,1969,Grammaire & dictionnaire de la langue tahitienne.,"Jaussen, Tepano,",X031955521,STACKS,STACKS,BOOK,1/16/18,1/1/00,0,0,0,0,1
DU 000001 .S6  NO.35,DU1 .S6 no.35,315115,ALDERMAN,1975,"Mythes et traditions de Maré, Nouvelle Caledonie : les Eletok /","Dubois, Marie-Joseph,",X000048138,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,2
DU 000001 .S6  NO.37,DU1 .S6 no.37,375414,ALDERMAN,1975,La vie à Tahiti au temps de la reine Pomaré /,"O'Reilly, Patrick,",X000703490,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DU 000001 .S6  NO.40,DU1 .S6 no.40,165551,ALDERMAN,1979,L'Héritage : essai sur le problème foncier mélanésien en Nouvelle-Calédonie /,"Saussol, Alain,",X000968543,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DU 000001 .S7  1938  NO.000001,DU1 .S7 1938 no.1,972965,ALDERMAN,1938,American Far Eastern policy and the Sino-Japanese war;,"Farley, Miriam Southwell,",X004373424,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,0,1
DU 000001 .S7  001938 NO.000002,DU1 .S7 1938 no.2,972966,ALDERMAN,1938,"Rural Australia and New Zealand; some observations of current trends,","Brunner, Edmund de S. (Edmund de Schweinitz),",X031955540,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DU 000001 .S7  001941 NO.000007,DU1 .S7 1941 no.7,972967,ALDERMAN,1944,Filipino plantation workers in Hawaii;,"Wentworth, Edna Louis Clark,",X031955529,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DU 000001 .S7  1941  NO.000008,DU1 .S7 1941 no.8,972968,ALDERMAN,1941,"Guam and its people; a study of culture change and colonial education,","Thompson, Laura,",X002029536,STACKS,STACKS,BOOK,6/29/96,4/29/17,2,2,0,7,1
DU 000001 .Z434  2012,DU1 .Z434 2012,6138527,ALDERMAN,2012,Zhongguo Taiping Yang guo ji xue hui yan jiu (1925-1945) = China Institute of Pacific Relations (1925-1945) /,"Zhang, Jing,",X031615289,STACKS,STACKS,BOOK,10/9/13,1/1/00,0,0,0,0,1
DU 000101 .H811  1989,DU101 .H811 1989,1610999,ALDERMAN,1989,"Mariners are warned! : John Lort Stokes and H.M.S. Beagle in Australia, 1837-1843 /","Hordern, Marsden C.",X001652168,STACKS,STACKS,BOOK,6/30/96,3/16/09,0,0,1,1,1
DU 000102 .A7  1977,DU102 .A7 1977,352964,ALDERMAN,1977,"Tourist to the antipodes : William Archer's ""Australian journey, 1876-77"" /","Archer, William,",X000055325,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DU 000102 .D8  1961,DU102 .D8 1961,973024,ALDERMAN,1959,Kings in grass castles.,"Durack, Mary.",X001309566,STACKS,STACKS,BOOK,6/29/96,7/11/18,1,0,1,1,1
DU 000102 .F74  1975,DU102 .F74 1975,1225731,ALDERMAN,1975,Southern lights and shadows /,"Fowler, Frank,",X001362391,STACKS,STACKS,BOOK,6/30/96,3/16/09,0,0,0,0,1
DU 000102 .G735  1995,DU102 .G735 1995,2498589,ALDERMAN,1995,Great southern landings : an anthology of Antipodean travel /,,X002783121,STACKS,STACKS,BOOK,7/1/96,4/7/99,0,0,0,1,1
DU 000102 .G74  1968,DU102 .G74 1968,562729,ALDERMAN,1968,"Journals of Australian explorations,","Gregory, Augustus Charles,",X000282406,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
DU 000102 .M8  1963,DU102 .M8 1963,575417,CLEMONS,1963,Cooper's Creek.,"Moorehead, Alan,",X000122223,BY-REQUEST,BY-REQUEST,BOOK,6/29/96,3/2/18,2,0,0,19,1
DU 000102 .M8  1987,DU102 .M8 1987,779645,ALDERMAN,1987,Cooper's creek : the opening of Australia /,"Moorehead, Alan,",X001281129,STACKS,STACKS,BOOK,6/29/96,3/2/18,6,0,5,17,1
DU 000102 .M87  2002,DU102 .M87 2002,3821948,ALDERMAN,2002,The dig tree : the extraordinary story of the ill-fated Burke and Wills expedition /,"Murgatroyd, Sarah P.",X004446940,STACKS,STACKS,BOOK,3/14/02,5/6/08,0,0,0,1,1
DU 000102 .S74  S76  1996,DU102 .S74 S76 1996,2520517,ALDERMAN,1996,"Across the centre : John McDouall Stuart's expeditions, 1860- 62 /","Stokes, Edward,",X004038130,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DU 000102 .W3  1981,DU102 .W3 1981,1741609,ALDERMAN,1981,Journey across the western interior of Australia /,"Warburton, Peter Egerton,",X001812561,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,0,1
DU 000104 .B43  1956,DU104 .B43 1956,132204,ALDERMAN,1956,Beyond Australia's cities.,"Beatty, Bill.",132204-1001,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DU 000104 .B6  1922,DU104 .B6 1922,586458,ALDERMAN,1922,"Australia and New Zealand, illustrated /","Boyce, William Dickson,",X000432410,STACKS,STACKS,BOOK,6/29/96,11/2/15,0,0,0,0,1
DU 000104 .D5  1945,DU104 .D5 1945,617072,ALDERMAN,1945,Displaying Australia and New Guinea.,,X000432411,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,2,1
DU 000104 .E72  1986,DU104 .E72 1986,701119,ALDERMAN,1986,P?l století sv?tob??cem : dv? cesty do Australie /,"Erben, Josef Ladislav,",X001186543,STACKS,STACKS,BOOK,6/29/96,3/16/09,0,0,0,0,1
DU 000104 .F4,DU104 .F4,1308530,ALDERMAN,1901,"Federated Australia : a rare and elaborate collection of photographic views, depicting sceneries, cities, industries and interesting phases of Australian life...",,X030806922,STACKS,STACKS,BOOK,6/30/96,5/2/17,0,0,0,0,1
