Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HA 000001 .A38  A15  T.21,HA1 .A38 A15 t.21,2089590,ALDERMAN,1973,Statistika kachestva produkt?sii /,,X002214734,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HA 000001 .A38  A15  T.25,HA1 .A38 A15 t.25,2079693,ALDERMAN,1974,Statisticheskie issledovanii?a v otrasli?akh narodnogo khozi?a?stva. [Sbornik state?.,,X002215326,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HA 000001 .A38  A15  T.49,HA1 .A38 A15 t.49,765408,ALDERMAN,1985,"Statistika, veroi?atnost?, ?konomika /",,X001284086,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HA 000001 .M332,HA1 .M332,986413,ALDERMAN,1934,"Economic and social investigations in Manchester, 1833-1933; a centenary history of the Manchester Statistical Society,","Ashton, T. S. (Thomas Southcliffe)",X001198788,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HA 000001 .S3  V.49  1990,HA1 .S3 v.49 1990,3634778,ALDERMAN,1990,Basic content analysis /,"Weber, Robert Philip.",X031602616,STACKS,CHECKEDOUT,BOOK,1/29/13,4/17/18,3,2,0,5,1
HA 001007 .M35  V.000001,HA1007 .M35 v.1,270696,ALDERMAN,1978,Historical statistics of Chile /,"Mamalakis, Markos.",X000000827,STACKS,STACKS,BOOK,6/28/96,8/19/13,1,2,2,5,1
HA 001007 .M35  V.000002,HA1007 .M35 v.2,270696,ALDERMAN,1978,Historical statistics of Chile /,"Mamalakis, Markos.",X000089006,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,1,1
HA 001007 .M35  V.000003,HA1007 .M35 v.3,270696,ALDERMAN,1978,Historical statistics of Chile /,"Mamalakis, Markos.",X000405083,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HA 001007 .M35  V.000004,HA1007 .M35 v.4,270696,ALDERMAN,1978,Historical statistics of Chile /,"Mamalakis, Markos.",X000821152,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
HA 001011.5 1973  .I55  1981,HA1011.5 1973 .I55 1981,52338,ALDERMAN,1981,Intendencias y comisarías : XIV censo nacional de población y III de vivienda : Octubre 24 de 1973.,,X000888366,STACKS,STACKS,BOOK,6/28/96,8/20/09,0,0,1,0,1
HA 001015 .E878  1998  T.000001,HA1015 .E878 1998 T.1,2845050,ALDERMAN,1998,Estadísticas históricas de Colombia /,,X004236080,STACKS,STACKS,BOOK,10/22/98,5/2/14,1,16,2,17,1
HA 001015 .E878  1998  T.000002,HA1015 .E878 1998 T.2,2845050,ALDERMAN,1998,Estadísticas históricas de Colombia /,,X004236079,STACKS,STACKS,BOOK,11/16/98,1/1/00,0,0,3,0,1
HA 001016 .U76,HA1016 .U76,986771,ALDERMAN,1970,Compendio de estadísticas históricas de Colombia.,"Urrutia, Miguel.",X000841212,STACKS,CHECKEDOUT,BOOK,6/29/96,1/18/19,1,0,2,10,1
HA 001017 .A6  A4,HA1017 .A6 A4,656916,ALDERMAN,1981,"Panorama estadístico de Antioquia, siglos XIX y XX /",Colombia. Departamento Administrativo Nacional de Estadística.,X000888382,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HA 001021 .A432,HA1021 .A432,986774,ALDERMAN,1960,"Primer censo de población del Ecuador, 1950; resumen de características.",Ecuador. División de Estadística y Censos.,X032097571,STACKS,STACKS,BOOK,3/8/18,3/9/18,0,0,0,0,1
HA 001025 .E7  1985,HA1025 .E7 1985,82400,ALDERMAN,1985,Estudios y datos de la realidad ecuatoriana 1979-1984 /,,X000929567,STACKS,STACKS,BOOK,6/28/96,8/20/09,0,0,0,1,1
HA 001044 .A48,HA1044 .A48,814741,ALDERMAN,1970,Manual estadistico del Paraguay 1962-1969.,Paraguay. Ministerio de Agricultura y Ganadería.,X001897368,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
