Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HB 000001 .D57  NO.000130,HB1 .D57 no.130,1739916,ALDERMAN,1986,The anatomy of financial crises /,"Eichengreen, Barry J.",X001850496,STACKS,CHECKEDOUT,BOOK,6/30/96,1/22/18,1,0,1,5,1
HB 000001 .D57  NO.001408,HB1 .D57 no.1408,2629653,ALDERMAN,1996,Women's employment transitions around childbearing /,"Dex, Shirley.",X032019033,STACKS,STACKS,BOOK,2/27/18,1/1/00,0,0,0,0,1
HB 000001 .D57  NO.000153,HB1 .D57 no.153,1632157,ALDERMAN,1987,"Budget deficits, interest rates and the incentive effects of income tax cuts /","Bean, Charles R.,",X001683336,STACKS,STACKS,BOOK,6/30/96,11/21/99,0,0,0,1,1
HB 000001 .D57  NO.002161,HB1 .D57 no.2161,2936896,ALDERMAN,1999,From value at risk to stress testing : the extreme value approach /,"Longin, François M.",X006003480,STACKS,STACKS,BOOK,8/12/99,3/19/13,1,2,0,11,1
HB 000001 .D57  NO.000249,HB1 .D57 no.249,2013591,ALDERMAN,1988,Counting the cost of voluntary export restrictions in the European  car market /,"Digby, Caroline.",X002063889,STACKS,STACKS,BOOK,6/30/96,10/17/18,0,0,0,1,1
HB 000001 .D57  NO.002545,HB1 .D57 no.2545,3706049,ALDERMAN,2000,Disintegration /,"Djankov, Simeon.",X006111375,STACKS,STACKS,BOOK,4/3/01,8/26/09,0,0,0,2,1
HB 000001 .D57  NO.002740,HB1 .D57 no.2740,3770381,ALDERMAN,2001,To merge or to license : implications for competition policy /,"Faulí-Oller, Ramon.",X006120560,STACKS,STACKS,BOOK,8/20/01,9/3/01,0,0,0,1,1
HB 000001 .D57  NO.000294,HB1 .D57 no.294,1732403,ALDERMAN,1989,Abolishing exchange control : the UK experience /,"Artis, Michael J.",X001793483,STACKS,CHECKEDOUT,BOOK,6/30/96,8/23/16,2,0,0,3,1
HB 000001 .D57  NO.003062,HB1 .D57 no.3062,3838718,ALDERMAN,2001,The cost of capital in international financial markets : local or global /,,X006133562,STACKS,CHECKEDOUT,BOOK,5/24/02,10/7/02,0,0,0,2,1
HB 000001 .D57  NO.003177,HB1 .D57 no.3177,3861985,ALDERMAN,2002,Private benefits of control : a international comparison /,"Dyck, Alexander.",X006133907,STACKS,STACKS,BOOK,7/10/02,8/5/02,0,0,0,1,1
