Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HE 000001 .R47  V.16,HE1 .R47 v.16,4441642,ALDERMAN,2006,Port economics /,,X030144827,STACKS,CHECKEDOUT,BOOK,11/6/06,9/9/15,1,2,0,16,1
HE 000001 .R47  V.20,HE1 .R47 v.20,4622496,ALDERMAN,2007,Railroad economics /,,X030262513,STACKS,STACKS,BOOK,11/21/07,10/2/09,0,0,0,9,1
HE 000001 .R47  V.21,HE1 .R47 v.21,4622621,ALDERMAN,2007,Maritime transport : the Greek paradigm /,,X030263023,STACKS,STACKS,BOOK,11/20/07,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000010 JAN.-JUNE 001971,HE1 .T62 v.10 Jan.-June 1971,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950469,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000010 JULY-DEC. 001971,HE1 .T62 v.10 July-Dec. 1971,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950471,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000011 JAN.-JUNE 001972,HE1 .T62 v.11 Jan.-June 1972,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950476,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000011 JULY-DEC. 001972,HE1 .T62 v.11 July-Dec. 1972,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950470,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000003 001964,HE1 .T62 v.3 1964,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950468,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000004 001965,HE1 .T62 v.4 1965,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031964586,STACKS,STACKS,BOOK,12/19/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000005 001966,HE1 .T62 v.5 1966,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031964587,STACKS,STACKS,BOOK,12/19/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000006 JAN.-JUNE 001967,HE1 .T62 v.6 Jan.-June 1967,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031964585,STACKS,STACKS,BOOK,12/19/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000006 JULY-DEC. 001967,HE1 .T62 v.6 July-Dec. 1967,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031964584,STACKS,STACKS,BOOK,12/19/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000008 JAN.-JUNE 001969,HE1 .T62 v.8 Jan.-June 1969,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950475,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000008 JULY-DEC. 001969,HE1 .T62 v.8 July-Dec. 1969,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950474,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000009 JAN.-JUNE 001970,HE1 .T62 v.9 Jan.-June 1970,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950473,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 000001 .T62  V.000009 JULY-DEC. 001970,HE1 .T62 v.9 July-Dec. 1970,7323472,ALDERMAN,1964,Traffic management,"[Watson Publications, Inc.]",X031950472,STACKS,STACKS,BOOK,12/21/17,1/1/00,0,0,0,0,1
HE 001005 .C5  NO.3  1913,HE1005 .C5 no.3 1913,1615685,ALDERMAN,1913,Publicación detallada de los antecedentes y trabajos.,Congreso Panamericano de Ferrocarriles,1615685-1001,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HE 001005 .C6  NO.3  1913  V.000002,HE1005 .C6 no.3 1913 v.2,7318210,ALDERMAN,1913,"Primer congreso sudamericano de ferrocarriles : buenos aires, octubre de 1910 : publicacion detallada de los antecedentes y trabajos",Asociacion Internacional Permanente del Congreso Sudamericano de Ferrocarriles,X031975267,STACKS,STACKS,BOOK,12/15/17,1/1/00,0,0,0,0,1
HE 001005 .C6  NO.3  1913  V.000003,HE1005 .C6 no.3 1913 v.3,7318210,ALDERMAN,1913,"Primer congreso sudamericano de ferrocarriles : buenos aires, octubre de 1910 : publicacion detallada de los antecedentes y trabajos",Asociacion Internacional Permanente del Congreso Sudamericano de Ferrocarriles,X031975266,STACKS,STACKS,BOOK,12/15/17,1/1/00,0,0,0,0,1
HE 001021 .C87  2009,HE1021 .C87 2009,5183333,CLEMONS,2009,Trains /,"Curlee, Lynn.",X030610264,ED-JUV,ED-JUV,JUV-BOOK,7/14/10,3/26/17,3,24,0,27,3
HE 001021 .E58  1985,HE1021 .E58 1985,1380702,ALDERMAN,1985,"Die Entwicklung der Eisenbahn im Spiegel der Leipziger Illustrirten Zeitung, 1843-1870 /",,X001187628,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HE 001021 .F25  2014,HE1021 .F25 2014,6428327,ALDERMAN,2014,The world the railways made /,"Faith, Nicholas,",X031652599,STACKS,STACKS,BOOK,11/19/14,1/1/00,0,0,0,0,1
HE 001021 .F3  1990,HE1021 .F3 1990,1811847,ALDERMAN,1990,The world the railways made /,"Faith, Nicholas,",X001924898,STACKS,STACKS,BOOK,6/30/96,11/16/13,1,0,1,11,1
HE 001021 .M5  1937,HE1021 .M5 1937,1131888,ALDERMAN,1937,"Railways of thirty nations; government versus private ownership,","Middleton, Philip Harvey,",X000330289,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HE 001021 .P3  1896,HE1021 .P3 1896,1131889,ALDERMAN,1896,"The world's rail way, historical, descriptive, illustrative;","Pangborn, J. G. (Joseph Gladding),",X031212739,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,2,0,1
HE 001021 .R36  2006,HE1021 .R36 2006,4441084,ALDERMAN,2006,"Railways and international politics : paths of empire, 1848-1945 /",,X030109223,STACKS,STACKS,BOOK,11/2/06,5/13/16,0,0,2,1,1
HE 001021 .S34,HE1021 .S34,355934,ALDERMAN,1977,Geschichte der Eisenbahnreise : zur Industrialisierung von Raum und Zeit im 19. Jahrhundert /,"Schivelbusch, Wolfgang,",X000058378,STACKS,STACKS,BOOK,6/28/96,7/31/17,1,0,1,2,1
HE 001021 .S3413  1979,HE1021 .S3413 1979,222445,ALDERMAN,1979,The railway journey : trains and travel in the 19th century /,"Schivelbusch, Wolfgang,",X000223074,STACKS,STACKS,BOOK,6/28/96,7/5/17,2,4,5,53,1
HE 001021 .S3413  1987,HE1021 .S3413 1987,4681252,CLEMONS,1987,The railway journey : the industrialization of time and space in the 19th century /,"Schivelbusch, Wolfgang,",X030360589,BY-REQUEST,BY-REQUEST,BOOK,1/22/08,4/30/18,4,9,1,21,1
HE 001021 .S93  1978,HE1021 .S93 1978,260285,ALDERMAN,1978,Geschichte der Eisenbahnen : zwei Teile in einem Band /,"Stürmer, G.",X000034647,STACKS,STACKS,BOOK,6/28/96,9/23/09,0,0,0,0,2
HE 001021 .W4  1946,HE1021 .W4 1946,3261577,ALDERMAN,1946,International rail transport,"Wedgwood, Ralph Lewis,",X031947835,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
