Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HJ 000010 .B3  D4,HJ10 .B3 D4,762031,ALDERMAN,1840,"Remarks of Mr. Dellet, of Alabama, on the civil and diplomatic appropriation bill. Delivered in committee of the whole, in the House of representatives, April 25 and 27, 1840.","Dellet, James,",X031886925,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HJ 000010 .H2632,HJ10 .H2632,272257,CLEMONS,1937,"Board of Tax Appeals Index-digest, 1-30; organizing the official index-digests of all decisions promulgated by the U.S. Board of Tax Appeals from its beginning to July 31, 1934, as officially reported in volumes 1 to 30 United States Board of Tax Appeals Reports.",Commerce Clearing House.,272257-1001,BY-REQUEST,BY-REQUEST,BOOK,6/28/96,1/1/00,0,0,0,0,2
HJ 000010.3 .T39  2017,HJ10.3 .T39 2017,7307093,ALDERMAN,2017,Tax policy and the economy /,,X031810162,STACKS,STACKS,BOOK,11/29/17,12/1/17,0,0,0,0,1
HJ 001000 .A98  1993  T.000001,HJ1000 .A98 1993 t.1,2798644,ALDERMAN,1993,Aux sources de la gestion publique /,,X004241041,STACKS,STACKS,BOOK,6/1/98,1/1/00,0,0,1,0,1
HJ 001000 .A98  1993  T.000002,HJ1000 .A98 1993 t.2,2798644,ALDERMAN,1993,Aux sources de la gestion publique /,,X004241042,STACKS,STACKS,BOOK,6/1/98,1/1/00,0,0,0,0,1
HJ 001000 .A98  1993  T.000003,HJ1000 .A98 1993 t.3,2798644,ALDERMAN,1993,Aux sources de la gestion publique /,,X004241043,STACKS,STACKS,BOOK,6/1/98,1/1/00,0,0,0,0,1
HJ 001000 .D56  2011,HJ1000 .D56 2011,5418893,ALDERMAN,2011,"Political transformations and public finances : Europe, 1650-1913 /","Dincecco, Mark,",X031188596,STACKS,CHECKEDOUT,BOOK,10/7/11,10/3/18,2,4,0,6,1
HJ 001000 .E25  1995,HJ1000 .E25 1995,2505326,ALDERMAN,1995,Economic systems and state finance /,,X002715498,STACKS,STACKS,BOOK,7/1/96,2/23/11,0,0,2,10,1
HJ 001000 .F55  1994,HJ1000 .F55 1994,2289694,ALDERMAN,1994,"Fiscal crises, liberty, and representative government, 1450-1789 /",,X002444797,STACKS,CHECKEDOUT,BOOK,7/1/96,3/8/19,1,20,3,34,1
HJ 001000 .F5645  2009,HJ1000 .F5645 2009,5205572,ALDERMAN,2009,Fiscal policy making in the European Union : an assessment of current practice and challenges /,,X030780510,STACKS,STACKS,BOOK,8/18/10,8/24/10,0,0,0,0,1
HJ 001000 .F57  1992,HJ1000 .F57 1992,1988887,ALDERMAN,1992,"Fiscal policy, taxation, and the financial system in an increasingly integrated Europe /",,X002152539,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HJ 001000 .G72  1997,HJ1000 .G72 1997,2754916,ALDERMAN,1997,After Maastricht : a guide to European monetary union /,"Grahl, John.",X006057512,STACKS,STACKS,BOOK,1/7/98,11/19/03,0,0,3,12,1
HJ 001000 .H35  2004,HJ1000 .H35 2004,4075216,ALDERMAN,2004,Domestic budgets in a United Europe : fiscal governance from the end of Bretton Woods to EMU /,"Hallerberg, Mark.",X004802507,STACKS,STACKS,BOOK,10/12/04,11/29/12,1,0,1,4,1
HJ 001000 .H352  2009,HJ1000 .H352 2009,4869838,ALDERMAN,2009,Fiscal governance in Europe /,"Hallerberg, Mark.",X030466525,STACKS,STACKS,BOOK,4/28/09,12/9/12,1,0,0,1,1
HJ 001000 .I6  1976,HJ1000 .I6 1976,1791913,ALDERMAN,1988,"Prodotto lordo e finanza pubblica secoli XIII-XIX : atti della ""Ottava Settimana di Studi"", 3-9 maggio 1976 /",Istituto internazionale di storia economica F. Datini. Settimana di studio,X001862285,STACKS,STACKS,BOOK,6/30/96,2/10/03,0,0,1,2,1
HJ 001000 .K39  2004,HJ1000 .K39 2004,4008958,ALDERMAN,2004,The national element in the development of fiscal theory /,"Kayaalp, Orhan,",X004743307,STACKS,STACKS,BOOK,2/18/04,1/1/00,0,0,0,0,1
HJ 001000 .K63  1984,HJ1000 .K63 1984,105955,ALDERMAN,1984,Staatsausgaben in Westeuropa : Analysen zur langfristigen Entwicklung der öffentlichen Finanzen /,"Kohl, Jürgen.",X001055681,STACKS,STACKS,BOOK,6/28/96,10/2/09,0,0,0,1,1
HJ 001000 .L34  1997,HJ1000 .L34 1997,2725608,ALDERMAN,1997,The finances of the European Union /,"Laffan, Brigid.",X004139640,STACKS,STACKS,BOOK,10/16/97,12/13/05,0,0,1,3,1
HJ 001000 .L34  1997,HJ1000 .L34 1997,2741942,ALDERMAN,1997,The finances of the European Union /,"Laffan, Brigid.",X006047160,STACKS,STACKS,BOOK,12/8/97,6/7/00,0,0,0,20,1
HJ 001000 .P39  2010,HJ1000 .P39 2010,5170824,ALDERMAN,2010,Paying for the liberal state : the rise of public finance in nineteenth-century Europe /,,X030620366,STACKS,STACKS,BOOK,6/30/10,5/14/16,1,4,0,5,1
HJ 001000 .P76  1989,HJ1000 .P76 1989,1760937,ALDERMAN,1989,Probleme der Finanzgeschichte des 19. und 20. Jahrhunderts /,,X001841324,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,0,1
