Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HM 000001 .A7  INDEX V.1-25,HM1 .A7 Index v.1-25,787812,ALDERMAN,1922,"Classified index to the American journal of sociology. Volumes I-XXV,",,787812-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HM 000001 .A7  INDEX V.1-40,HM1 .A7 Index v.1-40,1622715,ALDERMAN,1936,"Index to volumes I-XL, 1895-1935.",,1622715-1001,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HM 000001 .C64  SUPPL.1  1990,HM1 .C64 Suppl.1 1990,3859578,ALDERMAN,1990,Transcendence in society : case studies /,,X001624001,STACKS,STACKS,BOOK,6/27/02,1/1/00,0,0,0,0,1
HM 000001 .C64  SUPPL.2  1996,HM1 .C64 Suppl.2 1996,3859574,ALDERMAN,1996,Normative social action /,,X004051564,STACKS,STACKS,BOOK,6/27/02,5/4/04,0,0,2,8,1
HM 000001 .C64  V.10  1987,HM1 .C64 v.10 1987,3859576,ALDERMAN,1987,Religion and belief systems /,,X002176533,STACKS,STACKS,BOOK,6/27/02,9/4/09,0,0,0,0,1
HM 000001 .C64  V.11  1989,HM1 .C64 v.11 1989,3862211,ALDERMAN,1989,Culture /,,X001751653,STACKS,STACKS,BOOK,7/11/02,3/2/11,0,0,3,7,1
HM 000001 .C64  V.12  1990,HM1 .C64 v.12 1990,3859565,ALDERMAN,1990,Business institutions /,,X001759757,STACKS,STACKS,BOOK,6/27/02,9/4/09,0,0,0,0,1
HM 000001 .C64  V.13  1991,HM1 .C64 v.13 1991,3859577,ALDERMAN,1991,Religious institutions /,,X002010698,STACKS,STACKS,BOOK,6/27/02,9/29/16,2,0,3,10,1
HM 000001 .C64  V.14  1994,HM1 .C64 v.14 1994,3859579,ALDERMAN,1994,The Transition from state socialism in Eastern Europe : the case of Hungary /,,X002181509,STACKS,STACKS,BOOK,6/27/02,9/4/09,0,0,1,1,1
HM 000001 .C64  V.15  1995,HM1 .C64 v.15 1995,3859572,ALDERMAN,1995,Institutional aspects of work and wage determination /,,X004001205,STACKS,STACKS,BOOK,6/27/02,9/4/09,0,0,0,1,1
HM 000001 .C64  V.16  1997,HM1 .C64 v.16 1997,3859573,ALDERMAN,1997,Methodological issues in comparative social science /,,3859573-1001,STACKS,STACKS,BOOK,6/27/02,1/1/00,0,0,0,0,2
HM 000001 .C64  V.17  1998,HM1 .C64 v.17 1998,3859575,ALDERMAN,1998,Regional cultures /,,X004134765,STACKS,STACKS,BOOK,6/27/02,9/4/09,0,0,0,4,1
HM 000001 .C64  V.18  1999,HM1 .C64 v.18 1999,3859570,ALDERMAN,1999,"Family change : practices, policies, and values /",,X004052859,STACKS,STACKS,BOOK,6/27/02,3/2/11,0,0,1,16,1
HM 000001 .C64  V.19  2000,HM1 .C64 v.19 2000,3859566,ALDERMAN,2000,Comparative perspectives on universities /,,X004467089,STACKS,STACKS,BOOK,6/27/02,4/17/12,0,2,0,5,1
HM 000001 .C64  V.20  2002,HM1 .C64 v.20 2002,3859567,ALDERMAN,2002,The comparative study of conscription in the armed forces /,,X004620703,STACKS,STACKS,BOOK,6/27/02,5/2/08,0,0,2,6,1
HM 000001 .C64  V.23,HM1 .C64 v.23,4458164,ALDERMAN,2006,Comparative studies of social and political elites /,,X030107221,STACKS,CHECKEDOUT,BOOK,1/25/07,2/21/19,0,0,0,0,1
HM 000001 .C64  V.000006 001983,HM1 .C64 v.6 1983,3859580,ALDERMAN,1983,"The Welfare state, 1883-1983.",,X000773977,STACKS,STACKS,BOOK,6/27/02,3/2/11,0,0,2,7,1
HM 000001 .C64  V.7  1984,HM1 .C64 v.7 1984,3859568,ALDERMAN,1984,"Demography: development, dependency theory, and policy.",,X004620704,STACKS,STACKS,BOOK,6/27/02,12/7/17,0,0,0,0,1
HM 000001 .C64  V.000008 001985,HM1 .C64 v.8 1985,3859569,ALDERMAN,1985,Deviance.,,X001056442,STACKS,STACKS,BOOK,6/27/02,9/4/09,0,0,0,0,1
HM 000001 .C64  V.000009 001986,HM1 .C64 v.9 1986,3859571,ALDERMAN,1986,Historical studies.,,X001848727,STACKS,STACKS,BOOK,6/27/02,9/4/09,0,0,0,0,1
HM 000001 .Q3  V.7  NO.1/2  1984,HM1 .Q3 v.7 no.1/2 1984,2831546,ALDERMAN,1984,Computers and qualitative data /,,X004153699,STACKS,STACKS,BOOK,9/15/98,9/4/09,0,0,0,2,1
HM 000001 .R4  NO.3,HM1 .R4 no.3,555443,ALDERMAN,1971,The social organization of health.,"Dreitzel, Hans Peter",X000045480,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HM 001003 .C46  2014,HM1003 .C46 2014,6245867,ALDERMAN,2014,Punno sahoe : hy?ndae sahoe ?i kamj?ng e kwanhan ch'?rhak esei = Angry society : the essay about the emotion of modern society /,"Ch?ng, Chi-u,",X031645944,STACKS,STACKS,BOOK,4/29/14,5/23/14,1,0,0,1,1
HM 001005 .A28  2010,HM1005 .A28 2010,5167868,ALDERMAN,2010,Acting bodies and social networks : a bridge between technology and working memory /,,X030619962,STACKS,STACKS,BOOK,6/16/10,6/22/10,0,0,0,0,1
