Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HN 000001 .I57  1997,HN1 .I57 1997,2705638,ALDERMAN,1997,Internationale situationniste,Internationale situationniste.,X006048717,STACKS,STACKS,BOOK,7/29/97,5/15/13,1,6,0,17,1
HN 000001 .R3,HN1 .R3,163491,ALDERMAN,1972,"L'Internationale situationniste; chronologie, bibliographie, protagonistes (avec un index des noms insultés)","Raspaud, Jean Jacques.",X000516084,STACKS,STACKS,BOOK,6/28/96,10/3/02,0,0,4,4,1
HN 000001 .R48  V.10,HN1 .R48 v.10,3897589,ALDERMAN,2002,The environmental state under pressure /,,X004656778,STACKS,STACKS,BOOK,11/20/02,4/19/06,0,0,2,16,1
HN 000001 .R48  V.11,HN1 .R48 v.11,4005981,ALDERMAN,2003,"Terrorism and disaster : new threats, new ideas /",,X004758504,STACKS,STACKS,BOOK,2/9/04,10/9/08,0,0,2,1,1
HN 000001 .R48  V.12,HN1 .R48 v.12,4304501,ALDERMAN,2005,The organizational response to persons with mental illness involved with the criminal justice system /,,X004925807,STACKS,STACKS,BOOK,9/20/05,1/1/00,0,0,1,0,1
HN 000001 .R48  V.13,HN1 .R48 v.13,4471810,ALDERMAN,2007,Long-term management of contaminated sites /,,X030198128,STACKS,STACKS,BOOK,3/5/07,1/1/00,0,0,0,0,1
HN 000001 .R48  V.14,HN1 .R48 v.14,4608592,ALDERMAN,2007,Cultures of contamination : legacies of pollution in Russia and the U.S. /,,X030268419,STACKS,STACKS,BOOK,7/17/07,5/31/11,0,0,1,3,1
HN 000001 .R48  V.15,HN1 .R48 v.15,4697570,ALDERMAN,2007,Equity and the environment /,,X030369640,STACKS,STACKS,BOOK,3/14/08,4/9/09,0,0,1,1,1
HN 000001 .R48  V.16,HN1 .R48 v.16,4877852,ALDERMAN,2008,"Integrating the sciences and society : challenges, practices, and potentials /",,X030574000,STACKS,CHECKEDOUT,BOOK,5/18/09,3/8/19,1,6,0,7,1
HN 000001 .R48  V.17,HN1 .R48 v.17,5161193,ALDERMAN,2010,New approaches to social problems treatment /,,X030692587,STACKS,STACKS,BOOK,6/4/10,2/12/19,0,0,0,0,1
HN 000001 .R48  V.18,HN1 .R48 v.18,5239231,ALDERMAN,2010,Environmental and social justice : an international perspective /,,X030754488,STACKS,STACKS,BOOK,10/28/10,8/12/16,1,0,0,1,1
HN 000001 .R48  V.19,HN1 .R48 v.19,5312099,ALDERMAN,2011,Government secrecy /,,X030925691,STACKS,CHECKEDOUT,BOOK,3/21/11,1/31/19,2,3,3,5,1
