Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
6691348,2,ALDERMAN,STACKS,HT101 .M66 2015,2015,MONU #23 : participatory urbanism.,,X031782604,BOOK,2/16/16,3/29/16,STACKS,1,0,1,1,1
4232201,2,ALDERMAN,STACKS,HT101 .R39 v.1,1989,"Race, class, and urban change /",,X001608524,BOOK,3/18/05,12/15/12,STACKS,1,0,0,2,1
4232198,2,ALDERMAN,STACKS,HT101 .R39 v.7,2004,Race and ethnicity in New York city /,,X004810762,BOOK,3/18/05,12/15/12,STACKS,1,0,1,2,1
131085,2,ALDERMAN,STACKS,HT1023 .F55 1982,1982,Fiscal stress in cities /,,X000505285,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
3993680,2,ALDERMAN,STACKS,HT1025 .A26 2003,2003,"The abolitions of slavery : from LÈger FÈlcitÈ Sonthonax to Victor Schoelcher, 1793, 1794, 1848 /",,X004702215,BOOK,12/9/03,4/2/18,STACKS,2,0,4,15,1
3562764,2,ALDERMAN,STACKS,HT1025 .A37 2000,2000,After slavery : emancipation and its discontents /,,X006091665,BOOK,9/5/00,4/24/18,STACKS,5,11,9,39,1
256452,2,ALDERMAN,STACKS,HT1025 .A57,1980,"Anti-slavery, religion, and reform : essays in memory of Roger Anstey /",,X000142737,BOOK,6/28/96,7/2/18,STACKS,4,7,3,27,1
2253811,2,ALDERMAN,STACKS,HT1025 .B74 1993,1993,"Breaking the chains : slavery, bondage, and emancipation in modern Africa and Asia /",,X002328065,BOOK,7/1/96,1/14/08,STACKS,0,0,6,35,1
6076406,2,ALDERMAN,STACKS,HT1025 .G56 2013,2013,A global history of anti-slavery politics in the nineteenth century /,,X030610583,BOOK,6/8/13,6/7/17,STACKS,4,0,1,4,1
6677818,2,ALDERMAN,STACKS,HT1025 .O54 2013,2013,"Transatlantic abolitionism in the age of revolution : an international history of anti-slavery, c.1787-1820 /","Oldfield, J. R. (John R.)",X031666337,BOOK,1/14/16,1/24/17,STACKS,2,0,1,2,1
1144793,2,ALDERMAN,STACKS,HT1029 .C5 G7 1970,1970,Thomas Clarkson; the friend of slaves.,"Griggs, Earl Leslie,",X001474955,BOOK,6/29/96,11/13/11,STACKS,0,0,2,13,1
1631827,2,ALDERMAN,STACKS,HT1029 .C5 W56 1989b,1989,Thomas Clarkson : a biography /,"Wilson, Ellen Gibson.",X001688293,BOOK,6/30/96,4/7/17,STACKS,1,1,4,23,1
2505633,2,ALDERMAN,STACKS,HT1029 .S36 A4 1995,1995,La correspondance de Victor Sch?lcher /,"Schoelcher, Victor,",X006057253,BOOK,7/1/96,4/25/16,CHECKEDOUT,1,11,0,20,1
670720,2,ALDERMAN,STACKS,HT1029 .S36 A43 1983,1983,"Victor Schoelcher, ou, La mystique d'un athÈe /","Alexandre-Debray, Janine.",X000734749,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
2311868,2,ALDERMAN,STACKS,HT1029 .S36 S35 1994,1994,Victor Sch?lcher et l'abolition de l'esclavage /,"Schmidt, Nelly.",X002531516,BOOK,7/1/96,11/7/17,CHECKEDOUT,2,0,1,9,1
1378683,2,ALDERMAN,STACKS,HT1029 .S39 S47 1986,1986,"O abolicionista Joaquim Serra : textos, opiniıes e dados /","Serra, Joaquim de Almeida.",X001617332,BOOK,6/30/96,1/1/00,STACKS,0,0,1,0,1
308458,2,ALDERMAN,STACKS,HT1029 .S55 N67 1976,1976,"Slavery's martyr : John Smith of Demerara and the emancipation movement, 1817-24 /","Northcott, Cecil,",X000456473,BOOK,6/28/96,6/7/17,STACKS,1,0,0,2,1
