Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1142782,2,ALDERMAN,STACKS,HV1 .P4 1942 v.1,1942,"Training for skill in social case work,","Robinson, Virginia Pollard,",X001038412,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
7634186,3,CLEMONS,CL-GEORGES,HV10.5 .C38 2006,2006,Careers in focus.,,X031739786,BOOK,7/17/18,1/1/00,CL-GEORGES,0,0,0,0,1
2718345,2,ALDERMAN,STACKS,HV10.5 .C67 1998,1998,Becoming a helper /,"Corey, Marianne Schneider,",X004126884,BOOK,9/17/97,5/26/06,STACKS,0,0,0,67,1
4367689,2,ALDERMAN,STACKS,HV10.5 .C67 2007,2007,Becoming a helper /,"Corey, Marianne Schneider,",X004911743,BOOK,5/16/06,7/24/09,STACKS,0,0,1,3,1
2640001,2,ALDERMAN,STACKS,HV10.5 .D65 1996,1996,The tragi-comic professional : basic considerations for ethical reflective-generative practice /,"Dokecki, Paul R.",X004068784,BOOK,1/9/97,4/2/99,STACKS,0,0,0,2,1
129081,2 14,ALDERMAN,STACKS,HV10.5 .G34 1982,1982,The profession and practice of consultation /,"Gallessich, June.",X000504385,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
2711543,2,ALDERMAN,STACKS,HV10.5 .G55 1998,1998,Careers in social work /,"Ginsberg, Leon H.",X004126268,BOOK,8/18/97,4/16/08,STACKS,0,0,0,22,1
88921,2,ALDERMAN,STACKS,HV10.5 .H34 1986,1986,Affecting change : social workers in the political arena /,"Haynes, Karen S.",X001144079,BOOK,6/28/96,4/22/99,STACKS,0,0,0,2,1
186318,2,ALDERMAN,STACKS,HV10.5 .H463,1981,Training for uncertainty : a sociological approach to social work education /,"Heraud, Brian J.",X000324270,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
767609,2,ALDERMAN,STACKS,HV10.5 .H67 1986,1986,Social workers and their practice in welfare bureaucracies /,"Howe, David,",X001262324,BOOK,6/29/96,3/10/08,STACKS,0,0,0,3,1
7646350,3,CLEMONS,CL-GEORGES,HV10.5 .M35 2006,2006,"Many paths, one purpose : career paths for social work and human services majors /",,X031739814,BOOK,7/19/18,1/1/00,CL-GEORGES,0,0,0,0,1
1664964,2,ALDERMAN,STACKS,HV10.5 .R42 1990,1990,Ethical dilemmas in social service /,"Reamer, Frederic G.,",X001779675,BOOK,6/30/96,1/1/00,STACKS,0,0,0,3,1
85500,2,ALDERMAN,STACKS,HV10.5 .R49 1986,1986,Ethical dilemmas in social work practice /,"Rhodes, Margaret L.",X001109372,BOOK,6/28/96,4/22/99,STACKS,0,0,0,2,1
4456706,2,ALDERMAN,STACKS,HV10.5 .S65 2007,2007,Becoming an ethical helping professional : cultural and philosophical foundations /,"Sommers-Flanagan, Rita,",X030107375,BOOK,1/20/07,7/24/09,STACKS,0,0,1,2,1
