Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PB 000001 .M65  V.100  SUPPL. 2005,PB1 .M65 v.100 suppl. 2005,4357885,ALDERMAN,2005,One hundred years of MLR : general and comparative studies /,,X030015852,STACKS,STACKS,BOOK,3/29/06,3/16/11,0,0,0,0,1
PB 000010 .N4  V.000011,PB10 .N4 v.11,2414075,ALDERMAN,1936,Fremdes im baltendeutsch /,"Kiparsky, Valentin,",X032015224,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000012,PB10 .N4 v.12,2414078,ALDERMAN,1939,"Die ursprünglich reduplizierenden verba im niederdeutschen; beiträge zur geschichte der deutschen verbalflexion,","Katara, Pekka,",X032015225,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000013,PB10 .N4 v.13,2414080,ALDERMAN,0,"Moniot d'Arras et Moniot de Paris, trouv?eres du XIIIe. siècle;","Moniot,",X004061352,STACKS,STACKS,BOOK,7/1/96,2/8/18,0,0,0,2,1
PB 000010 .N4  V.000014,PB10 .N4 v.14,2414082,ALDERMAN,1943,"Der französische einfluss auf die mittelhochdeutsche sprache in der 2. hälfte des XIV. jahrhunderts,","Rosenqvist, Arvid,",X032015226,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000015,PB10 .N4 v.15,2414084,ALDERMAN,1949,L'expression du commandement dans le français actuel; comprenant l'usage de l'impératif et de ses substituts d'après des pièces de théâtre et des romans publiés entre 1917 et 1947.,"Wainstein, Lia.",X032015227,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000016,PB10 .N4 v.16,2414092,ALDERMAN,1951,"Gace Brulé, trouvère champenois : édition des Chansons et étude historique /","Gace Brulé,",X000685905,STACKS,STACKS,BOOK,7/1/96,3/17/10,0,0,1,2,1
PB 000010 .N4  V.000017,PB10 .N4 v.17,312707,ALDERMAN,1955,Ricerche sopra gli italianismi nella lingua tedesca dalla metà del secolo XIV alla fine del secolo XVI.,"Wis, Marjatta.",X000713744,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000018 NO.000001,PB10 .N4 v.18 no.1,2414095,ALDERMAN,1956,"The Old English verbs of vision, a semantic study.","Penttilä, Erkki.",X032015228,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000018 NO.000001-000003,PB10 .N4 v.18 no.1-3,2414095,ALDERMAN,1956,"The Old English verbs of vision, a semantic study.","Penttilä, Erkki.",X002608523,STACKS,STACKS,BOOK,5/26/98,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000019,PB10 .N4 v.19,2414099,ALDERMAN,1956,Poésies du troubadour Guillem de Saint-Didier.,"Guillem de Saint-Didier,",X032015229,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000020,PB10 .N4 v.20,2414100,ALDERMAN,1957,Der Wandel der Worträume in der Synonymik für 'Hügel.',"Valtavuo, Toivi.",X002124710,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
PB 000010 .N4  V.000021,PB10 .N4 v.21,2414105,ALDERMAN,1959,Giacomo Leopardi : studio biografico.,"Wis, Roberto,",X032015230,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000022,PB10 .N4 v.22,2414106,ALDERMAN,1959,Essai d'un glossaire génévois d'après les registres du Conseil de la ville de 1409 à 1536.,"Ahokas, Jaakko,",X032015231,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,2
PB 000010 .N4  V.000023,PB10 .N4 v.23,2414107,ALDERMAN,1960,A Middle English syntax.,"Mustanoja, Tauno F. (Tauno Frans),",X000412155,STACKS,CHECKEDOUT,BOOK,6/29/96,1/28/19,3,7,3,28,1
PB 000010 .N4  V.000024,PB10 .N4 v.24,2414109,ALDERMAN,1960,American fiction in Finland; an essay and bibliography,"Durham, Philip.",X032015232,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
PB 000010 .N4  V.000025,PB10 .N4 v.25,2414110,ALDERMAN,1961,Der Ursprung und die Entwicklung der niederländischen Weinbauterminologie: mit besonderer Berücksichtigung der mittelniederlandischen Zeit.,"Alanne, Eero.",X032015233,STACKS,STACKS,BOOK,3/13/18,1/1/00,0,0,0,0,1
