Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PC 000001 .R72  V. 22  1943,PC1 .R72 v. 22 1943,206173,ALDERMAN,1943,Über das Wirtschaftsleban auf der Iberischen Halbinsel vom XI. zum XIII. Jahrhundert; Beitrag zu den islamisch christlichen Beziehungen,"Dubler, César Emil,",X001152832,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
PC 000001 .R72  V.9  1938,PC1 .R72 v.9 1938,221411,ALDERMAN,1938,Die lautliche Gestaltung englischer Ortsnamen im Altfranzösichen und Anglonormannischen.,"Bestmann, Fritz.",X001152833,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PC 001001 .A56  1993,PC1001 .A56 1993,2495459,ALDERMAN,1993,Poesia italiana del Novecento /,,X006043456,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
PC 001001 .A56  1994,PC1001 .A56 1994,2495457,ALDERMAN,1995,Letteratura italiana e utopia.,,X006043455,STACKS,STACKS,BOOK,7/1/96,10/3/16,0,2,0,3,1
PC 001001 .A56  1995,PC1001 .A56 1995,2774942,ALDERMAN,1996,Letteratura italiana e utopia II.,,X004172930,STACKS,STACKS,BOOK,3/10/98,6/3/13,0,2,1,3,1
PC 000101 .A5,PC101 .A5,235461,ALDERMAN,1979,Historical romance morphology /,"Anderson, James Maxwell,",X000106226,STACKS,CHECKEDOUT,BOOK,6/28/96,8/24/96,0,0,0,1,2
PC 000101 .B47  1989,PC101 .B47 1989,1679917,ALDERMAN,1989,Morfologie del testo medievale /,"Bertolucci Pizzorusso, Valeria.",X001775369,STACKS,STACKS,BOOK,6/30/96,3/16/10,0,0,1,1,1
PC 000101 .C65  1989,PC101 .C65 1989,1862487,ALDERMAN,1991,"Analyse et syntheèse dans les langues romanes et slaves : Ve Colloque international de linguistique slavo-romane, Bad Homburg, 9-11 octobre 1989 /",Colloque international de linguistique slavo-romane,X002034931,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,1
PC 000101 .H34  1983,PC101 .H34 1983,2279,ALDERMAN,1983,Proto-romance morphology /,"Hall, Robert A. (Robert Anderson),",X000747003,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PC 000101 .S83  2017,PC101 .S83 2017,7347506,ALDERMAN,2017,Submorphologie et diachronie dans les langues romanes /,,X031841891,STACKS,STACKS,BOOK,1/25/18,1/1/00,0,0,0,0,1
PC 001011 .A33  1983,PC1011 .A33 1983,1361489,ALDERMAN,1983,Catalogo degli Accademici dalla Fondazione /,Accademia della Crusca.,X000862677,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
PC 001019 .K9,PC1019 .K9,293200,ALDERMAN,1975,Die Statthalter Kleinasiens unter den Flaviern /,"Kreiler, Bernd,",X000007716,STACKS,STACKS,BOOK,6/28/96,10/27/09,0,0,0,0,1
PC 001021 .A8  1988  T.000001,PC1021 .A8 1988 t.1,1863494,ALDERMAN,1991,Lingua e letteratura italiana nel mondo oggi : atti del XIII Congresso A.I.S.L.L.I. (Perugia 30 maggio-3 giugno 1988) /,Associazione internazionale per gli studi di lingua e letteratura italiana. Congresso,X002065242,STACKS,STACKS,BOOK,6/30/96,10/27/09,0,0,0,1,1
PC 001021 .A8  1988  T.000002,PC1021 .A8 1988 t.2,1863494,ALDERMAN,1991,Lingua e letteratura italiana nel mondo oggi : atti del XIII Congresso A.I.S.L.L.I. (Perugia 30 maggio-3 giugno 1988) /,Associazione internazionale per gli studi di lingua e letteratura italiana. Congresso,X002065244,STACKS,STACKS,BOOK,6/30/96,10/27/09,0,0,0,1,1
PC 001021 .S63,PC1021 .S63,625009,ALDERMAN,1973,"Storia linguistica dell'Italia nel Novecento. Atti del quinto Convegno internazionale di studi.  Roma, 1-2 giugno 1971.",Società di linguistica italiana.,X000479880,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,1,1
PC 001025 .F67  1988,PC1025 .F67 1988,1611037,ALDERMAN,1988,Forschungsstand und Perspektiven der Italianistik : ein deutsch-italienischer Dialog /,,X001664349,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,2
PC 001025 .R52  1989,PC1025 .R52 1989,1634829,ALDERMAN,1989,Ricerche di lingua e letteratura italiana (1988) /,,X001670332,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
PC 001026 .A8  I53  1979,PC1026 .A8 I53 1979,1820161,ALDERMAN,1986,"G. I. Ascoli : attualità del suo pensiero a 150 anni dalla     nascita : Incontri Culturali Mitteleuropei, XIII, [Gorizia, 24-25 novembre 1979].",Incontri culturali mitteleuropei,X001196408,STACKS,STACKS,BOOK,6/30/96,3/10/11,0,0,1,0,1
PC 001026 .B66  I84  1991,PC1026 .B66 I84 1991,1959121,ALDERMAN,1991,"Itinerari europei : letteratura, lingua, società /","Bonalumi, Giovanni.",X002121998,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
PC 001026 .B78  H6  1997  V.000001,PC1026 .B78 H6 1997 v.1,2811006,ALDERMAN,1997,Hommage à Jacqueline Brunet /,,X004230784,STACKS,STACKS,BOOK,7/6/98,1/1/00,0,0,0,0,1
PC 001026 .B78  H6  1997  V.000002,PC1026 .B78 H6 1997 v.2,2811006,ALDERMAN,1997,Hommage à Jacqueline Brunet /,,X004213523,STACKS,STACKS,BOOK,7/23/98,1/1/00,0,0,0,0,1
PC 001026 .D5  1973,PC1026 .D5 1973,470947,ALDERMAN,1973,Studi di filologia e di letteratura italiana offerti a Carlo Dionisotti.,,X000479882,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,2
PC 001026 .F47  N54  1984,PC1026 .F47 N54 1984,1225259,ALDERMAN,1984,"Nicola Festa : atti del Convegno di studi, Matera, 25-26-27 ottobre 1982 /",,X001292349,STACKS,STACKS,BOOK,6/30/96,10/27/09,0,0,0,0,1
PC 001026 .G533  1999,PC1026 .G533 1999,2925572,ALDERMAN,1999,"Giacomo Devoto nel centenario della nascita : atti del convegno Giacomo Devoto e le istituzioni, Firenze, 24-25 ottobre 1997, ricerche e documenti, scritti minori /",Circolo linguistico fiorentino. Convegno,X006027401,STACKS,STACKS,BOOK,7/6/99,1/1/00,0,0,0,0,1
PC 001026 .M5  O6,PC1026 .M5 O6,154153,ALDERMAN,1979,L'Opera di Bruno Migliorini nel ricordo degli allievi : con una bibliografia dei suoi scritti /,,X000431146,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PC 001026 .M6  S7  1985,PC1026 .M6 S7 1985,713593,ALDERMAN,1985,Studi in onore di Giovanni Montagna per il suo 80o compleanno /,,X001239315,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
PC 001026 .P3  I8  V.000001,PC1026 .P3 I8 v.1,319347,ALDERMAN,1976,Italia linguistica nuova ed antica : studi linguistici in memoria di Oronzo Parlangèli /,,X000713820,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,0,1
PC 001026 .P3  I8  V.000002,PC1026 .P3 I8 v.2,319347,ALDERMAN,1976,Italia linguistica nuova ed antica : studi linguistici in memoria di Oronzo Parlangèli /,,X002178758,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,1,1
PC 001026 .P448  P47  1991  V.000001,PC1026 .P448 P47 1991 v.1,2146862,ALDERMAN,1991,Per Giovan Battista Pellegrini : scritti degli allievi padovani /,,X002305377,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,2,1
PC 001026 .P448  P47  1991  V.000002,PC1026 .P448 P47 1991 v.2,2146862,ALDERMAN,1991,Per Giovan Battista Pellegrini : scritti degli allievi padovani /,,X002305383,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,2,1
