Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PD 000101 .A5,PD101 .A5,382518,ALDERMAN,1975,A concise grammar of the older Runic inscriptions /,"Antonsen, Elmer H.",X000714038,STACKS,STACKS,BOOK,6/28/96,4/26/97,0,0,0,2,1
PD 000101 .D45,PD101 .D45,225586,ALDERMAN,1907,"Synkretismus, ein Beitrag zur germanischen Kasuslehre /","Delbrück, Berthold,",X000915980,STACKS,STACKS,BOOK,6/28/96,11/16/07,0,0,0,2,1
PD 000101 .I57  1995  V.1,PD101 .I57 1995 v.1,2831754,ALDERMAN,1995,Insights in Germanic linguistics /,,X002653244,STACKS,STACKS,BOOK,9/16/98,11/6/09,0,0,0,0,1
PD 000101 .I57  1995  V.2,PD101 .I57 1995 v.2,2831754,ALDERMAN,1995,Insights in Germanic linguistics /,,X004188526,STACKS,STACKS,BOOK,9/16/98,1/1/00,0,0,0,0,1
PD 000101 .J33  1985,PD101 .J33 1985,1296366,ALDERMAN,1985,Jacob und Wilhelm Grimm als Sprachwissenschaftler : Geschichtlichkeit und Aktualität ihres Wirkens.,,X001433137,STACKS,STACKS,BOOK,6/30/96,8/15/02,0,0,1,12,1
PD 000101 .K65  1986  HALBBD.000001,PD101 .K65 1986 Halbbd.1,704449,ALDERMAN,1986,Kontrastive Grammatik Deutsch-Serbokroatisch /,,X001186177,STACKS,STACKS,BOOK,6/29/96,2/8/18,0,0,0,2,2
PD 000101 .K65  1986  HALBBD.000002,PD101 .K65 1986 Halbbd.2,704449,ALDERMAN,1986,Kontrastive Grammatik Deutsch-Serbokroatisch /,,X001186178,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
PD 000101 .K7  1963  V.000001,PD101 .K7 1963 V.1,445730,ALDERMAN,1963,Germanische Sprachwissenschaft.,"Krahe, Hans,",X001153638,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
PD 000101 .K7  1963  V.000002,PD101 .K7 1963 v.2,445730,ALDERMAN,1963,Germanische Sprachwissenschaft.,"Krahe, Hans,",X031981349,STACKS,STACKS,BOOK,2/12/18,1/1/00,0,0,0,0,1
PD 000101 .K7  1963  V.000003,PD101 .K7 1963 V.3,445730,ALDERMAN,1963,Germanische Sprachwissenschaft.,"Krahe, Hans,",X004061888,STACKS,STACKS,BOOK,1/5/00,11/6/09,0,0,0,0,1
PD 000101 .M413  1970,PD101 .M413 1970,535035,ALDERMAN,1970,General characteristics of the Germanic languages.,"Meillet, A. (Antoine),",X000113504,STACKS,STACKS,BOOK,6/29/96,5/11/10,0,0,1,3,1
PD 000101 .M413  1970,PD101 .M413 1970,535035,ALDERMAN,1970,General characteristics of the Germanic languages.,"Meillet, A. (Antoine),",X000321786,STACKS,CHECKEDOUT,BOOK,6/29/96,4/21/18,1,1,0,11,1
PD 000101 .P7  1939,PD101 .P7 1939,564661,ALDERMAN,1939,"A comparative Germanic grammar, by E. Prokosch.","Prokosch, Eduard,",X000397943,STACKS,STACKS,BOOK,6/29/96,4/21/18,2,1,0,7,1
PD 000101 .P7  1939,PD101 .P7 1939,564661,ALDERMAN,1939,"A comparative Germanic grammar, by E. Prokosch.","Prokosch, Eduard,",X000600458,STACKS,STACKS,BOOK,6/29/96,10/16/17,1,0,0,2,1
PD 000101 .S75  1892,PD101 .S75 1892,506672,ALDERMAN,1892,Zur germanischen Sprachgeschichte /,"Streitberg, Wilhelm,",X001153639,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,2
PD 001047 .R6  V.000001,PD1047 .R6 v.1,198792,ALDERMAN,1979,Nordseegermanische Studien /,"Rooth, Erik,",X031981330,STACKS,STACKS,BOOK,2/9/18,1/1/00,0,0,0,0,1
PD 001047 .R6  V.000002,PD1047 .R6 V.2,198792,ALDERMAN,1979,Nordseegermanische Studien /,"Rooth, Erik,",X000400356,STACKS,STACKS,BOOK,6/28/96,12/15/09,0,0,0,0,1
PD 001047 .R6  V.000003,PD1047 .R6 V.3,198792,ALDERMAN,1979,Nordseegermanische Studien /,"Rooth, Erik,",X000985625,STACKS,STACKS,BOOK,6/28/96,11/6/09,0,0,0,0,1
PD 000107 .K87  2008,PD107 .K87 2008,4826580,ALDERMAN,2008,"Deklinationsklassen-Wandel : eine diachron-kontrastive Studie zur Entwicklung der Pluralallomorphie im Deutschen, Niederländischen, Schwedischen und Dänischen /","Kürschner, Sebastian.",X030470190,STACKS,STACKS,BOOK,3/3/09,1/1/00,0,0,0,0,1
PD 001115 .S28  1987,PD1115 .S28 1987,1782721,ALDERMAN,1987,Goti e Longobardi : studi di filologia germanica /,"Scardigli, Piergiuseppe.",X002060490,STACKS,STACKS,BOOK,6/30/96,10/17/97,0,0,0,2,1
PD 001115 .S315,PD1115 .S315,1013762,ALDERMAN,1973,Die Goten: Sprache und Kultur.,"Scardigli, Piergiuseppe.",X031981331,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
