Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PF 000101 .B68  1987,PF101 .B68 1987,1247282,ALDERMAN,1987,Historische grammatica van het Nederlands /,"Bree, C. van (Cor)",X001315975,STACKS,STACKS,BOOK,6/30/96,11/6/09,0,0,0,1,2
PF 000101 .B7,PF101 .B7,339467,ALDERMAN,1977,"Leerboek voor de historische grammatica van het Nederlands : klank- en vormleer, met een beknopte grammatica van het Gotisch /","Bree, C. van (Cor)",X000033012,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PF 000103 .A4  1887,PF103 .A4 1887,1335503,ALDERMAN,1887,"Middelnederlandsche spraakkunst,","Helten, W. L. van (Willem Lodewijk),",1335503-1001,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
PF 000103 .H4  1887,PF103 .H4 1887,7357353,ALDERMAN,1887,Middelnederlandsche spraakkunst /,"Helten, W. L. van (Willem Lodewijk),",X031989372,STACKS,STACKS,BOOK,2/12/18,1/1/00,0,0,0,0,1
PF 000103 .T84  1985,PF103 .T84 1985,691017,ALDERMAN,1985,"Twe-spraack vande Nederduitsche letterkunst, 1584 /",,X001162977,STACKS,STACKS,BOOK,6/29/96,11/6/09,0,0,2,0,1
PF 000107 .R84  1989,PF107 .R84 1989,1661118,ALDERMAN,1989,"Terminografische index op de oudste Nederlandse grammaticale werken : Voorreden (1568), Twe-spraack (1584), Noodige waarschouwinge (1624), De Nederduytsche grammatica (1625), Nederlandsch tael-bericht (1628), De Nederduytsche spraec-konst (1633), Waernemingen op de Hollandsche tael, Ont-werp der Neder-duitsche letter-konst (1649","Ruijsendaal, E.",X002116167,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,1
PF 000109 .H3  1814,PF109 .H3 1814,105501,ALDERMAN,1814,"Dutch grammar, : with practical exercises; containing also a vocabulary, dialogues, idioms, letters, &c. /","Hasendonck, J. B. van.",X000304191,STACKS,STACKS,BOOK,6/28/96,9/21/15,0,0,1,2,1
PF 000109 .S3,PF109 .S3,1015804,ALDERMAN,1799,A grammar of the Dutch language;,"Schwiers, Conradus.",X001406083,STACKS,STACKS,BOOK,6/29/96,9/12/14,1,0,0,1,2
PF 000111 .A5  1894,PF111 .A5 1894,1015805,ALDERMAN,1894,"A new practical grammar of the Dutch language, with dialogues and readings in prose and verse,","Ahn, F. (Franz),",X000236999,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
PF 000111 .D8  1940,PF111 .D8 1940,20133,ALDERMAN,1940,"Dutch simplified : an easy and rapid self-instructor. Containing a condensed and simplified grammar, practical conversation ... and supplements dealing with AFrikaans, South African Dutch, and Flemish.",,X000206009,STACKS,STACKS,BOOK,6/28/96,11/6/09,0,0,0,1,1
PF 000111 .D8  1948,PF111 .D8 1948,1015806,ALDERMAN,1948,Dutch simplified.,,X001406196,STACKS,STACKS,BOOK,6/29/96,3/11/11,0,0,3,23,1
