Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
67641,2,ALDERMAN,STACKS,PJ10 .O73 v.8,1983,"The Chinese Hevajratantra : the scriptural text of the Ritual of the Great King of the Teaching, the Adamantine One with Great Compassion and Knowledge of the Void /",,X030209289,BOOK,4/11/07,11/1/18,CHECKEDOUT,1,0,0,3,1
673699,2,ALDERMAN,STACKS,PJ10 .O73 v.9,1982,Studies in Hebrew historical linguistics based on Origen's Secunda /,"Janssens, G. (Gerard)",X000837213,BOOK,6/29/96,9/11/18,STACKS,0,0,0,0,1
324016,2,ALDERMAN,STACKS,PJ1014 .P3 v.1,1964,"Der Psalmenkommentar von Tura, Quaternio IX (Pap. Colon. theol. 1),","Didymus,",X000714596,BOOK,6/28/96,4/15/15,STACKS,0,0,0,0,1
655151,2,ALDERMAN,STACKS,PJ1014 .P3 v.10,1982,Dionysius Scytobrachion /,"Rusten, Jeffrey S.",X000605585,BOOK,6/29/96,5/2/08,STACKS,0,0,1,3,1
1654,2,ALDERMAN,STACKS,PJ1014 .P3 v.11 Bd.1,1983,Katalog der bithynischen M¸nzen der Sammlung des Instituts f¸r Altertumskunde der Universit‰t zu Kˆln.,Universit‰t zu Kˆln. Institut f¸r Altertumskunde.,X000773906,BOOK,6/28/96,9/13/08,STACKS,0,0,2,1,1
1654,2,ALDERMAN,STACKS,PJ1014 .P3 v.11 Bd.2,1983,Katalog der bithynischen M¸nzen der Sammlung des Instituts f¸r Altertumskunde der Universit‰t zu Kˆln.,Universit‰t zu Kˆln. Institut f¸r Altertumskunde.,X006043465,BOOK,2/4/98,9/13/08,STACKS,0,0,0,1,1
774389,2,ALDERMAN,STACKS,PJ1014 .P3 v.12,1986,La Ketouba de Cologne : un contrat de mariage juif ‡ Antinoopolis /,,X001276775,BOOK,6/29/96,8/10/07,STACKS,0,0,0,20,1
713442,2,ALDERMAN,STACKS,PJ1014 .P3 v.13,1986,Zehn agonistische Papyri /,"Frisch, Peter,",X001225539,BOOK,6/29/96,8/10/07,STACKS,0,0,0,0,1
1321434,2,ALDERMAN,STACKS,PJ1014 .P3 v.14,1988,Der Kˆlner Mani-Kodex : ‹ber das Werden seines Leibes : kritische Edition /,,X001505227,BOOK,6/30/96,8/10/07,STACKS,0,0,0,0,1
1731943,2,ALDERMAN,STACKS,PJ1014 .P3 v.15 Bd.1,1990,Die verkohlten Papyri aus Bubastos.,,X001802640,BOOK,6/30/96,2/28/18,STACKS,0,0,1,0,1
1731943,2,ALDERMAN,STACKS,PJ1014 .P3 v.15 Bd.2,1990,Die verkohlten Papyri aus Bubastos.,,X006078046,BOOK,3/16/99,8/9/11,STACKS,0,0,0,0,1
1731943,2,ALDERMAN,STACKS,PJ1014 .P3 v.15 Bd.3A,1990,Die verkohlten Papyri aus Bubastos.,,X031799827,BOOK,1/12/17,1/1/00,STACKS,0,0,0,0,1
1731943,2,ALDERMAN,STACKS,PJ1014 .P3 v.15 Bd.3B,1990,Die verkohlten Papyri aus Bubastos.,,X031799817,BOOK,1/12/17,1/1/00,STACKS,0,0,0,0,1
1760632,2,ALDERMAN,STACKS,PJ1014 .P3 v.16 v.2,1990,Supplementum magicum /,,X002126808,BOOK,6/30/96,1/21/15,STACKS,1,0,0,15,1
1731920,2,ALDERMAN,STACKS,PJ1014 .P3 v.17 Bd.1,1990,Abrasax : ausgew‰hlte Papyri religiˆsen und magischen Inhalts.,,X001802643,BOOK,6/30/96,9/27/18,CHECKEDOUT,1,0,2,6,1
1731920,2,ALDERMAN,STACKS,PJ1014 .P3 v.17 Bd.2,1990,Abrasax : ausgew‰hlte Papyri religiˆsen und magischen Inhalts.,,X001958069,BOOK,6/30/96,9/27/18,CHECKEDOUT,1,0,2,6,1
1731920,2,ALDERMAN,STACKS,PJ1014 .P3 v.17 Bd.3,1990,Abrasax : ausgew‰hlte Papyri religiˆsen und magischen Inhalts.,,X002180276,BOOK,6/30/96,9/27/18,CHECKEDOUT,1,0,1,9,1
1731920,2,ALDERMAN,STACKS,PJ1014 .P3 v.17 Bd.4,1990,Abrasax : ausgew‰hlte Papyri religiˆsen und magischen Inhalts.,,X006043459,BOOK,8/21/98,9/27/18,CHECKEDOUT,1,0,0,3,1
1731920,2,ALDERMAN,STACKS,PJ1014 .P3 v.17 Bd.5,1990,Abrasax : ausgew‰hlte Papyri religiˆsen und magischen Inhalts.,,X030268426,BOOK,7/13/07,9/27/18,CHECKEDOUT,1,0,0,1,1
1827718,2,ALDERMAN,STACKS,PJ1014 .P3 v.18,1990,"Papyri from the Washington University collection, St. Louis, Missouri. (P. Wash. Univ. II) /",,X001937814,BOOK,6/30/96,8/10/07,STACKS,0,0,0,2,1
1827894,2,ALDERMAN,STACKS,PJ1014 .P3 v.19,1991,Two Greek magical papyri in the National Museum of Antiquities in Leiden : a photographic edition of J 384 and J 395 (= PGM XII and XIII) /,,X001937604,BOOK,6/30/96,11/10/14,STACKS,0,0,1,8,1
559751,2,ALDERMAN,STACKS,PJ1014 .P3 v.2,1968,Demotische und Koptische Texte.,,X000714597,BOOK,6/29/96,8/10/07,STACKS,0,0,0,0,1
2079174,2,ALDERMAN,STACKS,PJ1014 .P3 v.20,1992,Magische Amulette und andere Gemmen des Instituts f¸r Altertumskunde der Universit‰t zu Kˆln/,,X002114195,BOOK,6/30/96,8/10/07,STACKS,0,0,0,8,1
2298880,2,ALDERMAN,STACKS,PJ1014 .P3 v.21,1994,Nomisma und Nomismatia : Beitr‰ge zur Geldgeschichte ƒgyptens im 6. Jahrhundert n. Chr. /,"Maresch, Klaus.",X002450178,BOOK,7/1/96,8/10/07,STACKS,0,0,0,1,1
2470496,2,ALDERMAN,STACKS,PJ1014 .P3 v.23,1995,Katalog ptolem‰ischer Bronzem¸nzen der Sammlung des Instituts f¸r Altertumskunde der Universit‰t zu Kˆln /,"Weiser, Wolfram.",X002661885,BOOK,7/1/96,8/10/07,STACKS,0,0,0,1,1
2398467,2,ALDERMAN,STACKS,PJ1014 .P3 v.24,1994,Manis fr¸he Missionsreisen nach der Kˆlner Manibiographie : textkritischer Kommentar und Erl‰uterungen zu p.121-p.192 des Kˆlner Mani-Kodex /,"Rˆmer, Cornelia.",X002561844,BOOK,7/1/96,8/10/07,STACKS,0,0,0,1,1
