Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PK 000001 .S5  V.5  PT.3/4  1957,PK1 .S5 v.5 pt.3/4 1957,5174751,ALDERMAN,1957,Liebenthal Festschrift /,,X030767237,STACKS,STACKS,BOOK,7/8/10,1/1/00,0,0,0,0,1
PK 001004 .K5  1982,PK1004 .K5 1982,29076,ALDERMAN,1982,Deutsch-P?li Wörterbuch /,"Klar, Helmut,",X000627978,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PK 000101 .M33  1985,PK101 .M33 1985,2096108,ALDERMAN,1985,"Madras Literary Society : a history, 1812-1984 /","Ir?macuv?mi, N?. Ci.,",X002269658,STACKS,STACKS,BOOK,6/30/96,7/15/16,0,0,0,0,1
PK 000101 .M332  1950,PK101 .M332 1950,4015724,ALDERMAN,1950,Madras Literary Society and Auxiliary of Royal Asiatic Society (Est. 1812).,,X004758734,STACKS,STACKS,BOOK,3/15/04,4/7/10,0,0,0,0,1
PK 000101 .R36  1985,PK101 .R36 1985,1345743,ALDERMAN,1985,"Three decades : a short history of Sahitya Akademi, 1954-84 /","Rao, D. S.,",X001601500,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
PK 000101 .R36  2004,PK101 .R36 2004,4366747,ALDERMAN,2004,"Five decades : the National Academy of Letters, India : a short history of Sahitya Akademi /","Rao, D. S.,",X030024593,STACKS,STACKS,BOOK,5/11/06,1/1/00,0,0,2,0,1
PK 000101 .S688  1993,PK101 .S688 1993,3885689,ALDERMAN,1994,"Papers from the fifteenth South Asian Language Analysis Roundtable Conference, 1993 /",South Asian Languages Analysis Roundtable,X004622318,STACKS,STACKS,BOOK,9/18/02,4/7/10,0,0,2,1,1
PK 000101 .V495  INDEX,PK101 .V495 Index,1865162,ALDERMAN,1987,"The second decennial index to Vishveshvaranand indological journal, volumes XI-XX (1973-1982) /","Bindra, T. S.",X002001327,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
PK 001017 .A4  V.000003,PK1017 .A4 V.3,248243,ALDERMAN,1928,Saddan?ti; la grammaire palie d'Aggava?sa;,,X000533897,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
PK 001017 .A4  V.000004,PK1017 .A4 V.4,248243,ALDERMAN,1928,Saddan?ti; la grammaire palie d'Aggava?sa;,,X000533896,STACKS,STACKS,BOOK,6/28/96,6/24/99,0,0,0,2,1
