Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1106652,2,ALDERMAN,STACKS,PZ1 .A43 Ne,1965,New American story.,"Allen, Donald,",X000378836,BOOK,6/29/96,7/1/08,STACKS,0,0,0,1,1
1354047,2,ALDERMAN,STACKS,PZ1 .A48 To,1965,"To catch a spy, an anthology of favourite spy stories.","Ambler, Eric,",X001590903,BOOK,6/30/96,7/7/17,STACKS,1,0,1,5,1
281536,2,ALDERMAN,STACKS,PZ1 .B23,1978,Banquet : five short stories /,,X000077952,BOOK,6/28/96,7/1/08,STACKS,0,0,1,1,1
815873,2,ALDERMAN,STACKS,PZ1 .E35 We,1963,West African narrative; an anthology for schools.,"Edwards, Paul,",X002173613,BOOK,6/29/96,7/1/08,STACKS,0,0,0,2,1
422120,3,CLEMONS,BY-REQUEST,PZ1 .H124 Mo 1939,1939,Modern short stories.,"Hadfield, John,",X000232317,BOOK,6/29/96,4/30/13,BY-REQUEST,1,0,1,2,1
327909,2,ALDERMAN,STACKS,PZ1 .I596,1978,International relations through science fiction /,,X000065812,BOOK,6/28/96,7/1/08,STACKS,0,0,1,5,1
621074,2 3,ALDERMAN,STACKS,PZ1 .R7147 Man,1974,The man to send rain clouds; contemporary stories by American Indians.,"Rosen, Kenneth Mark,",X000232318,BOOK,6/29/96,7/1/08,STACKS,0,0,4,2,1
1106659,2,ALDERMAN,STACKS,PZ1 .S234 Saq,1962,The Saturday evening post reader of sea stories;,,X002219973,BOOK,6/29/96,7/1/08,STACKS,0,0,1,2,1
1113516,2,ALDERMAN,STACKS,PZ10 .B294 So 1916,1916,"The story of glass,","Bassett, Sara Ware,",X002243520,BOOK,6/29/96,7/3/08,STACKS,0,0,0,2,1
1113520,2,ALDERMAN,STACKS,PZ10 .B655 Li 1969,1969,Lisa's spring baby.,"Brawley, Eleanor Riggins.",X001181410,BOOK,6/29/96,7/3/08,STACKS,0,0,0,0,1
1113521,2,ALDERMAN,STACKS,PZ10 .B742 Rd 1922,1922,The radio boys on the Mexican border /,"Breckenridge, Gerald,",X000462660,BOOK,6/29/96,6/12/15,STACKS,0,0,0,2,1
804465,2,ALDERMAN,STACKS,PZ10 .B89 Li 1962,1962,Life story.,"Burton, Virginia Lee,",X001121724,BOOK,6/29/96,2/4/11,STACKS,0,0,0,2,1
1113524,2,ALDERMAN,STACKS,PZ10 .C56 Lo 1957,1957,"Long, long ago.","Clark, Mary Lou.",1113524-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1113528,2,ALDERMAN,STACKS,PZ10 .D2 So 1941,1941,"So sailors say,","Daugherty, Charles Michael,",X002178451,BOOK,6/29/96,7/3/08,STACKS,0,0,0,2,1
1113530,2,ALDERMAN,STACKS,PZ10 .F714 Ym 1959,1959,You will go to the moon,"Freeman, Mae Blacker,",X000619901,BOOK,6/29/96,5/22/17,STACKS,1,0,0,3,1
1113531,2,ALDERMAN,STACKS,PZ10 .G48 Li 1944,1936,"Little black ant,","Gall, Alice Crew.",X000680988,BOOK,6/29/96,7/3/08,STACKS,0,0,0,0,1
1113534,2,ALDERMAN,STACKS,PZ10 .H143 Da 1927,1927,"Days before history,","Hall, Henry Rushton.",X000685907,BOOK,6/29/96,7/3/08,STACKS,0,0,0,0,1
1113536,2,ALDERMAN,STACKS,PZ10 .H847 Las 1967,1967,"The last trumpeters,","Hutchins, Ross E.",X000457597,BOOK,6/29/96,7/3/08,STACKS,0,0,1,0,1
811526,2,ALDERMAN,STACKS,PZ10 .H9 Of 1959,1959,Off into space! Science for young space travelers.,"Hyde, Margaret O. (Margaret Oldroyd),",X001133407,BOOK,6/29/96,7/3/08,STACKS,0,0,0,0,1
1315371,2 10,ALDERMAN,STACKS,PZ10 .L3 M5 1961,1961,Winnie ille Pu; liber celeberrimus omnibus fere pueris puellisque notus nunc primum de anglico sermone in Latinum conversus auctore Alexandro Lenardo.,"Milne, A. A. (Alan Alexander),",X030449904,BOOK,8/7/08,8/7/08,STACKS,0,0,0,0,1
1113542,2,ALDERMAN,STACKS,PZ10 .L95 Ou 1957,1957,"Our sun and the worlds around it; planets, moons, comets, and other wonders of the solar system.","Lyon, Jene.",1113542-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1113552,2,ALDERMAN,STACKS,PZ10 .P57 Wat 1959,1959,"Water all around,","Pine, Tillie S.",1113552-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1113557,2,ALDERMAN,STACKS,PZ10 .S396 Re 1959,1959,The rescuers.,"Sharp, Margery,",X032029150,BOOK,2/14/18,1/1/00,STACKS,0,0,0,0,1
1113562,2 14,ALDERMAN,STACKS,PZ10 .U4 Tr 1956,1956,A tree is nice.,"Udry, Janice May.",X000918535,BOOK,6/29/96,7/3/08,STACKS,0,0,1,8,1
1113583,2,ALDERMAN,STACKS,PZ10.3 .A48 Sal 1940,1940,Salute;,"Anderson, C. W. (Clarence William),",X000917987,BOOK,6/29/96,7/3/08,STACKS,0,0,0,0,1
5312565,3,CLEMONS,ED-JUV,PZ10.3 .A86923 Sl 2010,2010,Slow down for manatees /,"Arnosky, Jim.",X030611941,JUV-BOOK,3/23/11,11/30/11,ED-JUV,0,0,1,1,1
1616711,2,ALDERMAN,STACKS,PZ10.3 .A89 Mi 1952,1952,Mr. Popper's penguins /,"Atwater, Richard.",X000386840,BOOK,6/30/96,4/20/18,STACKS,2,3,1,7,1
1113572,2,ALDERMAN,STACKS,PZ10.3 .A92 An 1940,1940,"Animals everywhere,","D'Aulaire, Ingri,",X001474415,BOOK,6/29/96,7/3/08,STACKS,0,0,1,0,1
532484,2 14,ALDERMAN,STACKS,PZ10.3 .B123 JO,1970,Jonathan Livingston Seagull.,"Bach, Richard.",X000461275,BOOK,6/29/96,9/22/14,STACKS,2,0,1,25,1
1113576,2,ALDERMAN,STACKS,PZ10.3 .B21 Ti,1930,"Timothy Crunchit the calico bunny,","Ball, Martha Jane.",X001839611,BOOK,6/29/96,7/3/08,STACKS,0,0,0,4,1
795278,2,ALDERMAN,STACKS,PZ10.3 .B46 Ru,1937,"Rufus, the fox /","Bianco, Margery Williams,",X001023303,BOOK,6/29/96,7/3/08,STACKS,0,0,0,2,1
1113587,2,ALDERMAN,STACKS,PZ10.3 .B622 Wh 1957,1957,Who lives in this house? A story of animal families.,"Blough, Glenn O. (Glenn Orlando)",X030444613,BOOK,6/29/96,7/3/08,STACKS,0,0,0,0,1
