Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
P  000001 .S9  V.10  1979,P1 .S9 v.10 1979,4899286,ALDERMAN,1979,Selections from the third Groningen Round Table /,Groningen Round Table,X030570092,STACKS,STACKS,BOOK,8/7/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.11  1979,P1 .S9 v.11 1979,4897378,ALDERMAN,1979,Presupposition /,,X000893296,STACKS,STACKS,BOOK,8/3/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.12  1979,P1 .S9 v.12 1979,4897379,ALDERMAN,1979,Discourse and syntax /,,X000842919,STACKS,STACKS,BOOK,8/3/09,12/7/11,0,0,1,2,1
P  000001 .S9  V.13  1980,P1 .S9 v.13 1980,4897380,ALDERMAN,1980,Current approaches to syntax /,,X000833614,STACKS,STACKS,BOOK,8/3/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.14  1981,P1 .S9 v.14 1981,4890715,ALDERMAN,1981,Tense and aspect /,,X001478109,STACKS,STACKS,BOOK,7/10/09,7/17/09,0,0,0,0,1
P  000001 .S9  V.15  1982,P1 .S9 v.15 1982,4890713,ALDERMAN,1982,Studies in transitivity /,,X000833639,STACKS,STACKS,BOOK,7/10/09,1/1/00,0,0,1,0,1
P  000001 .S9  V.16  1984,P1 .S9 v.16 1984,4890712,ALDERMAN,1984,The Syntax of native American languages /,,X000905998,STACKS,STACKS,BOOK,7/10/09,1/1/00,0,0,1,0,1
P  000001 .S9  V.17  1984,P1 .S9 v.17 1984,4890711,ALDERMAN,1984,Composite predicates in English /,"Cattell, N. R.",X000968288,STACKS,STACKS,BOOK,7/10/09,1/1/00,0,0,1,0,1
P  000001 .S9  V.18  1985,P1 .S9 v.18 1985,4886608,ALDERMAN,1985,Diachronic syntax : the Kartvelian case /,"Harris, Alice C.",X002031085,STACKS,STACKS,BOOK,7/1/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.19  1986,P1 .S9 v.19 1986,770558,ALDERMAN,0,The syntax of pronominal clitics /,,X030589218,STACKS,STACKS,BOOK,7/1/09,1/1/00,0,0,0,0,3
P  000001 .S9  V.20  1987,P1 .S9 v.20 1987,4886609,ALDERMAN,1987,Discontinuous constituency /,,X002555292,STACKS,STACKS,BOOK,7/1/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.21  1988,P1 .S9 v.21 1988,4884151,ALDERMAN,1988,Thematic relations /,,X001478339,STACKS,STACKS,BOOK,6/15/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.22  1989,P1 .S9 v.22 1989,4884152,ALDERMAN,1989,Structure and case marking in Japanese /,"Miyagawa, Shigeru.",X001593801,STACKS,STACKS,BOOK,6/15/09,1/1/00,0,0,1,0,1
P  000001 .S9  V.23  1990,P1 .S9 v.23 1990,4884153,ALDERMAN,1990,The Syntax of the modern Celtic languages /,,X030588596,STACKS,STACKS,BOOK,6/15/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.24  1990,P1 .S9 v.24 1990,4884154,ALDERMAN,1990,Modern Icelandic syntax /,,X001793161,STACKS,STACKS,BOOK,6/15/09,4/26/18,2,2,0,8,1
P  000001 .S9  V.25  1991,P1 .S9 v.25 1991,4878908,ALDERMAN,1991,Perspectives on phrase structure : heads and licensing /,,X002012006,STACKS,STACKS,BOOK,5/27/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.26  1992,P1 .S9 v.26 1992,4878909,ALDERMAN,1992,Syntax and the lexicon /,,X002077331,STACKS,STACKS,BOOK,5/27/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.27  1994,P1 .S9 v.27 1994,4878910,ALDERMAN,1994,The Syntactic structure of Hungarian /,,X002539997,STACKS,STACKS,BOOK,5/27/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.28  1995,P1 .S9 v.28 1995,4878142,ALDERMAN,1995,Small clauses /,,X002609670,STACKS,STACKS,BOOK,5/20/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.29  1998,P1 .S9 v.29 1998,4878141,ALDERMAN,1997,The limits of syntax /,,X004118401,STACKS,STACKS,BOOK,5/20/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.30  1998,P1 .S9 v.30 1998,4878140,ALDERMAN,1998,Complex predicates in nonderivational syntax /,,X004134899,STACKS,STACKS,BOOK,5/20/09,9/10/13,1,0,2,2,1
P  000001 .S9  V.31  1998,P1 .S9 v.31 1998,4875611,ALDERMAN,1998,Sentence processing : a crosslinguistic perspective /,,X004134812,STACKS,STACKS,BOOK,5/8/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.32  2000,P1 .S9 v.32 2000,4875614,ALDERMAN,2000,The nature and function of syntactic categories /,,X004356158,STACKS,STACKS,BOOK,5/8/09,1/1/00,0,0,0,0,2
P  000001 .S9  V.33  2001,P1 .S9 v.33 2001,4875630,ALDERMAN,2001,Long-distance reflexives /,,X004521447,STACKS,STACKS,BOOK,5/8/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.34  2001,P1 .S9 v.34 2001,4875631,ALDERMAN,2001,Lexical functional grammar /,"Dalrymple, Mary.",X004568067,STACKS,STACKS,BOOK,5/8/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.35  2005,P1 .S9 v.35 2005,4875660,ALDERMAN,2005,The dynamics of language : an introduction /,"Cann, Ronnie.",X004944375,STACKS,STACKS,BOOK,5/8/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.36  2008,P1 .S9 v.36 2008,4875661,ALDERMAN,2008,Microvariation in syntactic doubling /,,X030575259,STACKS,STACKS,BOOK,5/8/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.37  2011,P1 .S9 v.37 2011,5540895,ALDERMAN,2011,Experiments at the Interfaces /,"Runner, Jeffrey T.,",X031057381,STACKS,STACKS,BOOK,1/24/12,1/1/00,0,0,0,0,1
P  000001 .S9  V.38  2012,P1 .S9 v.38 2012,5696107,ALDERMAN,2012,The end of argument structure? /,,X030890887,STACKS,STACKS,BOOK,5/31/12,1/1/00,0,0,0,0,1
P  000001 .S9  V.39  2014,P1 .S9 v.39 2014,6189387,ALDERMAN,2014,Crosslinguistic studies on noun phrase structure and reference /,,X031623820,STACKS,STACKS,BOOK,1/27/14,1/1/00,0,0,0,0,1
P  000001 .S9  V.40  2015,P1 .S9 v.40 2015,6604549,ALDERMAN,2015,The syntax and semantics of pseudo-incorporation /,,X031737376,STACKS,STACKS,BOOK,7/20/15,1/1/00,0,0,0,0,1
P  000001 .S9  V.5  1976,P1 .S9 v.5 1976,4899288,ALDERMAN,1976,Japanese generative grammar /,,X000532300,STACKS,STACKS,BOOK,8/7/09,1/1/00,0,0,1,0,1
P  000001 .S9  V.6  1976,P1 .S9 v.6 1976,4899289,ALDERMAN,1976,The Grammar of causative constructions /,,X000299090,STACKS,STACKS,BOOK,8/7/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.7  1976,P1 .S9 v.7 1976,4899290,ALDERMAN,1976,Notes from the linguistic underground /,,X000619227,STACKS,STACKS,BOOK,8/7/09,1/1/00,0,0,0,0,1
P  000001 .S9  V.8  1977,P1 .S9 v.8 1977,4899284,ALDERMAN,1977,Grammatical relations /,,X000178677,STACKS,STACKS,BOOK,8/7/09,1/17/13,1,0,0,2,1
P  000001 .S9  V.9  1978,P1 .S9 v.9 1978,4899285,ALDERMAN,1978,Pragmatics /,,X000859458,STACKS,STACKS,BOOK,8/7/09,1/1/00,0,0,0,0,1
P  000010 .B7  V.000007,P10 .B7 v.7,516052,ALDERMAN,1975,Perspective : a new freedom /,,516052-2001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
P  001001 .M353  2017,P1001 .M353 2017,7364645,ALDERMAN,2017,New religious texts from Lydia /,"Malay, Hasan,",X031849290,STACKS,STACKS,BOOK,2/20/18,3/30/18,1,0,0,1,1
P  001001 .R6,P1001 .R6,276820,ALDERMAN,1978,Vergleichende Untersuchungen der altanatolischen Sprachen /,"Rosenkranz, Bernhard.",X032016880,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
P  001001 .S58,P1001 .S58,254416,ALDERMAN,1977,Slavi?anskoe i balkanskoe i?azykoznanie : Antichnai?a balkanistika i sravnit. grammatika : [Sbornik state?] /,,X032028254,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
P  001004 .S4  1965,P1004 .S4 1965,659991,ALDERMAN,1965,Issledovanii?a po deshifrovke kari?skikh nadpise?.,"Shevoroshkin, V. V. (Vitali? Viktorovich)",X032028253,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
P  001006.5 .S3  BD.000001 T.000001,P1006.5 .S3 Bd.1 T.1,476540,ALDERMAN,1974,Die ?attisch-hethitischen Bilinguen.,"Schuster, Hans-Siegfried.",X032026179,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
P  001009 .G8,P1009 .G8,1777053,ALDERMAN,1964,"Lydisches Wörterbuch, mit grammatischer Skizze und Inschriftensammlung.","Gusmani, Roberto.",X032016879,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,0,1
P  001009 .G83,P1009 .G83,484894,ALDERMAN,1975,"Neue epichorische Schriftzeugnisse aus Sardis, 1958-1971 /","Gusmani, Roberto.",X032026187,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,0,1
P  000101 .A87  1996,P101 .A87 1996,2519040,ALDERMAN,1996,La philosophie du langage /,"Auroux, Sylvain.",X004041196,STACKS,STACKS,BOOK,7/1/96,11/4/96,0,0,0,1,1
P  000101 .A9  1986,P101 .A9 1986,698658,ALDERMAN,1986,"Laut, Stimme und Sprache : Studien zu drei Grundbegriffen der antiken Sprachtheorie /","Ax, Wolfram.",X001225625,STACKS,STACKS,BOOK,6/29/96,4/17/09,0,0,0,3,1
P  000101 .B3  1788A,P101 .B3 1788a,583769,ALDERMAN,1968,"The theory of language, 1788.","Beattie, James,",X001149758,STACKS,STACKS,BOOK,6/29/96,5/20/97,0,0,0,2,1
P  000101 .B3  1974,P101 .B3 1974,757507,ALDERMAN,1974,The theory of language.,"Beattie, James,",X001158218,STACKS,STACKS,BOOK,6/29/96,10/7/09,0,0,1,1,1
P  000101 .B4  1984,P101 .B4 1984,105216,ALDERMAN,1984,"La réunion des langues : ou l'art de les apprendre toutes, par une seule /","Besnier, Pierre,",X031980640,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
P  000101 .B52  2011,P101 .B52 2011,5520872,ALDERMAN,2011,De ratione communi omnium linguarum et literarum commentarius /,"Bibliander, Theodorus,",X031071319,STACKS,STACKS,BOOK,1/3/12,5/11/14,1,1,0,2,1
