Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
2299417,2,ALDERMAN,STACKS,U1 .L66 no.14,1992,Security issues of the ex-Soviet Central Asian Republics /,"Shashenkov, Maxim.",X002519831,BOOK,7/1/96,7/17/08,STACKS,0,0,2,12,1
2284772,2,ALDERMAN,STACKS,U1 .L66 no.16,1993,The Western European Union : pillar of Nato or defence arm of the EC? /,"Myers, Julia A.",X002533979,BOOK,7/1/96,7/17/08,STACKS,0,0,2,6,1
2282592,2,ALDERMAN,STACKS,U1 .L66 no.18,1993,Germany and the future of European security /,"Bluth, Christoph.",X002498130,BOOK,7/1/96,7/17/08,STACKS,0,0,2,2,1
2286339,2,ALDERMAN,STACKS,U1 .L66 no.20,1993,The diffusion of small arms and light weapons in Pakistan and Northern India /,"Smith, Chris (Chris Nicholas),",X002523471,BOOK,7/1/96,8/21/12,STACKS,0,0,3,7,1
2341097,2,ALDERMAN,STACKS,U1 .L66 no.21,1994,Peace conference on former Yugoslavia : the politico-military interface /,"Messervy-Whiting, Graham.",X006126242,BOOK,10/3/01,7/17/08,STACKS,0,0,2,1,1
651806,2,ALDERMAN,STACKS,U10 .G3 B47,1982,"Wegweiser durch das Deutsche Soldatenjahrbuch (Deutscher Soldatenkalender), 1953-1977 : eine Dokumentation der ersten 25 Jahrg‰nge /","Bernau, G¸nter.",X000913925,BOOK,6/29/96,7/28/11,STACKS,0,0,0,2,1
1186991,2,ALDERMAN,STACKS,U101 .A45 1961,1961,"A Muslim manual of war, being Tafr?h al-kur?b f? tadb?r al-hurub,","al-Aws? al-Ancs?r?, ?mar ibn Ibr?h?m,",X001702504,BOOK,6/29/96,1/1/00,STACKS,0,0,1,2,1
4048763,2,ALDERMAN,STACKS,U101 .A73 1996,1996,The Art of the warrior : leadership and strategy from the Chinese military classics : with selections from the Seven military classics of ancient China and Sun Pin's Military methods /,,X030843266,BOOK,5/11/12,6/21/13,STACKS,2,5,0,7,1
1274801,2,ALDERMAN,STACKS,U101 .B37 1598a,1969,The theorike and practike of moderne warres.,"Barret, Robert,",X001839664,BOOK,6/30/96,2/13/13,STACKS,0,0,4,66,1
450290,2,ALDERMAN,STACKS,U101 .B38 1594a,1974,Concerning the force and effect of ... manuall weapons of fire.,"Barwick, Humfrey.",X000450191,BOOK,6/29/96,7/17/08,STACKS,0,0,0,4,1
7217473,2,ALDERMAN,STACKS,U101 .B68 2017,2017,L'arbre des batailles /,"Bonet, HonorÈ,",X031815432,BOOK,8/3/17,1/1/00,STACKS,0,0,0,0,1
7553065,2,ALDERMAN,STACKS,U101 .B75 2018,2018,Brill's companion to Aineias Tacticus /,,X031853188,BOOK,5/21/18,5/29/18,STACKS,1,0,0,1,1
6260127,2,ALDERMAN,STACKS,U101 .C443 1938 v.1,1938,Ji xiao xin shu : [18 juan] /,"Qi, Jiguang,",X031637291,BOOK,5/12/14,5/16/14,STACKS,0,0,0,0,1
6260127,2,ALDERMAN,STACKS,U101 .C443 1938 v.2,1938,Ji xiao xin shu : [18 juan] /,"Qi, Jiguang,",X031637290,BOOK,5/12/14,5/16/14,STACKS,0,0,0,0,1
2903986,2,ALDERMAN,STACKS,U101 .C473 1985 v.1,1985,Xian Qin zhu zi jun shi lun yi zhu /,"Qiu, Shaohua.",X001364672,BOOK,4/20/99,1/1/00,STACKS,0,0,1,0,1
2903986,2,ALDERMAN,STACKS,U101 .C473 1985 v.2,1985,Xian Qin zhu zi jun shi lun yi zhu /,"Qiu, Shaohua.",X001364673,BOOK,8/21/08,1/1/00,STACKS,0,0,1,0,1
2922576,2,ALDERMAN,STACKS,U101 .C47413 1999,1999,The book of deeds of arms and of chivalry /,"Christine,",X004267703,BOOK,6/21/99,3/2/18,CHECKEDOUT,2,4,0,18,1
628390,2,ALDERMAN,STACKS,U101 .C6 1591a,1973,Approved order of martiall discipline /,"Clayton, Gyles.",X000724687,BOOK,6/29/96,7/17/08,STACKS,0,0,2,7,1
