Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
596452,2,ALDERMAN,STACKS,V1 .A42 D6,1972,Thirty years of the American neptune.,"Dodge, Ernest S. (Ernest Stanley),",X000125140,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
86643,2,ALDERMAN,STACKS,V10 .R2 I76 1985,1985,"Ironclad to Trident : 100 years of defence commentary : Brassey's, 1886-1986 /",,X000970686,BOOK,6/28/96,1/1/00,STACKS,0,0,1,3,1
711052,2,ALDERMAN,STACKS,V101 .O4 1937,1937,"Arte da guerra do mar de Fernando Oliveira, 1555, 1937.","Oliveira, Fern„o de,",711052-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1187163,2,ALDERMAN,STACKS,V101 .S58 1627 1968ed.,1968,A sea grammar.,"Smith, John,",X002037226,BOOK,6/29/96,5/12/12,STACKS,0,2,0,11,1
1187164,2,ALDERMAN,STACKS,V103 .D4 1910 V.1,1910,The genius of naval warfare ...,"Daveluy, RenÈ,",X001688827,BOOK,6/29/96,1/30/11,STACKS,0,0,0,5,1
1187164,2,ALDERMAN,STACKS,V103 .D4 1910 v.2,1910,The genius of naval warfare ...,"Daveluy, RenÈ,",X002707108,BOOK,6/29/96,10/28/15,STACKS,0,0,0,2,1
1187166,2,ALDERMAN,STACKS,V103 .L43 1947,1947,"Fundamentals of naval warfare,","Levert, Lee J.,",X000364247,BOOK,6/29/96,11/30/98,STACKS,0,0,1,4,1
1187167,2,ALDERMAN,STACKS,V103 .M3 1967,1967,The sea in modern strategy,"Martin, Laurence W.",1187167-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1221273,2,ALDERMAN,STACKS,V103 .S65 V.2,1968,War at sea.,"Southworth, John Van Duyn,",X000958781,BOOK,6/30/96,8/1/08,STACKS,0,0,2,8,1
1221273,2,ALDERMAN,STACKS,V103 .S65 V.3 PT.1,1968,War at sea.,"Southworth, John Van Duyn,",X002078802,BOOK,6/30/96,4/26/10,STACKS,0,0,0,6,1
1187168,2,ALDERMAN,STACKS,V105 .G37 1970,1970,"Fundamentals of naval operations analysis,","Garrett, Roger A.",X001134068,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
73941,2,ALDERMAN,STACKS,V105 .R5 1984,1984,F. ?ngel's i flot /,"Ri?abov, F. G.",X001017971,BOOK,6/28/96,8/1/08,STACKS,0,0,0,0,1
1187169,2,ALDERMAN,STACKS,V105 .U55 1968,1968,Naval operations analysis.,United States Naval Academy. Naval Science Dept. Operations Committee.,X000360593,BOOK,6/29/96,8/1/08,STACKS,0,0,0,2,1
1187170,2,ALDERMAN,STACKS,V107 .B7 1942,1942,"A layman's guide to naval strategy,","Brodie, Bernard,",X000982963,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,1
1187171,2 10 17,ALDERMAN,STACKS,V107 .B7 1943,1943,"A layman's guide to naval strategy,","Brodie, Bernard,",X000412482,BOOK,6/29/96,8/1/08,STACKS,0,0,1,0,1
1272767,2,ALDERMAN,STACKS,V107 .B7 1944,1944,"A guide to naval strategy,","Brodie, Bernard,",X001272412,BOOK,6/30/96,3/24/02,STACKS,0,0,0,1,1
4028486,2,ALDERMAN,STACKS,V107 .B7 1965,1965,A guide to naval strategy.,"Brodie, Bernard,",X002537539,BOOK,5/5/04,4/23/15,STACKS,0,8,1,12,1
4335669,2,ALDERMAN,STACKS,V11 .C6 L58 2004,2004,Zhongguo jin dai hai jun zhi guan biao /,"Liu, Chuanbiao,",X004995856,BOOK,12/21/05,1/1/00,STACKS,0,0,0,0,1
3706986,2,ALDERMAN,STACKS,V11 .G7 C66 1954 v.1,1954,"The commissioned sea officers of the Royal Navy, 1660-1815.",Great Britain. Admiralty.,X004562424,BOOK,4/6/01,6/1/06,CHECKEDOUT,0,0,0,3,1
3706986,2,ALDERMAN,STACKS,V11 .G7 C66 1954 v.2,1954,"The commissioned sea officers of the Royal Navy, 1660-1815.",Great Britain. Admiralty.,X004562423,BOOK,11/21/01,6/1/06,CHECKEDOUT,0,0,0,3,1
3706986,2,ALDERMAN,STACKS,V11 .G7 C66 1954 v.3,1954,"The commissioned sea officers of the Royal Navy, 1660-1815.",Great Britain. Admiralty.,X004562425,BOOK,11/21/01,6/1/06,CHECKEDOUT,0,0,0,3,1
1186929,2,ALDERMAN,STACKS,V11 .U7 C2,1901,"List of officers of the navy of the United States and of the Marine corps, from 1775 to 1900,","Callahan, Edward William,",X004007860,BOOK,9/24/96,9/26/96,STACKS,0,0,2,1,1
1296372,2,ALDERMAN,STACKS,V13 .U52 N483 1988,1988,The Mariners' Museum : preserving the culture of the sea /,"Downing, Thomas N.",X001399416,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
486821,2,ALDERMAN,STACKS,V13 .W3 A57,1950,"The Mariners' Museum, 1930-1950; a history and guide.","Mariners' Museum (Newport News, Va.)",X000086271,BOOK,6/29/96,1/1/00,STACKS,0,0,2,1,1
1186931,2,ALDERMAN,STACKS,V15 .M5 1967 no. 28,1967,"Coasting Captain; journals of Captain Leonard S. Tawes,","Tawes, Leonard S.,",1186931-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
2804617,2,ALDERMAN,STACKS,V160 .D47 1998,1998,Tactiques et stratÈgies navales : de la France et du Royaume-Uni de 1690 ‡ 1815 /,"Depeyre, Michel.",X004247193,BOOK,6/12/98,1/14/14,STACKS,0,0,1,1,1
1187175,2,ALDERMAN,STACKS,V163 .B2 1941,1941,"Modern naval strategy,","Bacon, Reginald,",X001043185,BOOK,6/29/96,3/6/07,STACKS,0,0,0,8,1
1187176,2,ALDERMAN,STACKS,V163 .C66 1972,1973,"Dreadnought to Polaris: maritime strategy since Mahan: papers from the Conference on Strategic Studies at the University of Western Ontario, March 1972,",Conference on Strategic Studies,X001271861,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,1
1267298,2,ALDERMAN,STACKS,V163 .C7 1918,1918,Some principles of maritime strategy / by Julian S. Corbett.,"Corbett, Julian Stafford,",X000961021,BOOK,6/30/96,10/27/08,STACKS,0,0,0,13,1
577468,3,CLEMONS,BY-REQUEST,V163 .C7 1972,1972,Some principles of maritime strategy.,"Corbett, Julian Stafford,",X000122497,BOOK,6/29/96,5/11/14,BY-REQUEST,1,4,1,10,1
1652541,2 17,ALDERMAN,STACKS,V163 .G76 1990b,1990,The future of sea power /,"Grove, Eric,",X001703924,BOOK,6/30/96,5/19/04,STACKS,0,0,0,9,1
90436,2 17,ALDERMAN,STACKS,V163 .H54 1986b,1986,Maritime strategy for medium powers /,"Hill, J. R.",X001016155,BOOK,6/28/96,5/2/00,STACKS,0,0,0,3,1
4215590,2,ALDERMAN,STACKS,V163 .H63 2002,2002,"Imperialism at sea : naval strategic thought, the ideology of sea power, and the Tirpitz Plan, 1875-1914 /","Hobson, Rolf.",X004804807,BOOK,12/11/04,6/26/12,STACKS,0,0,1,1,1
699386,2,ALDERMAN,STACKS,V163 .L33 1985,1985,StratÈgies navales du prÈsent /,"Lacoste, Pierre.",X001162027,BOOK,6/29/96,5/2/17,STACKS,1,2,0,3,1
1909232,2,ALDERMAN,STACKS,V163 .M19 1991,1991,Mahan on naval strategy : selections from the writings of Rear Admiral Alfred Thayer Mahan /,"Mahan, A. T. (Alfred Thayer),",X002048331,BOOK,6/30/96,4/21/17,STACKS,3,2,1,29,1
1187177,2,ALDERMAN,STACKS,V163 .M2 1912,1911,Naval strategy compared and contrasted with the principles and practice of military operations on land:,"Mahan, A. T. (Alfred Thayer),",X000335750,BOOK,6/29/96,8/1/08,STACKS,0,0,3,17,1
25794,2 21,ALDERMAN,STACKS,V163 .M6413 1983,1983,Naval warfare today and tomorrow /,"Moineville, Hubert.",X000627309,BOOK,6/28/96,5/2/17,STACKS,1,3,2,7,1
621993,2,ALDERMAN,STACKS,V163 .R6,1962,"The strategy of sea power; its development and application. Based on the Lees-Knowles lectures delivered in the University of Cambridge, 1961.","Roskill, S. W. (Stephen Wentworth),",X000396269,BOOK,6/29/96,12/2/98,STACKS,0,0,0,4,1
1187178,2 21,ALDERMAN,STACKS,V163 .S3 1965,1965,The education of a navy:,"Schurman, D. M. (Donald M.)",X000982972,BOOK,6/29/96,1/1/00,STACKS,0,0,0,2,1
179957,2 17,ALDERMAN,STACKS,V163 .T54 1982,1982,Maritime strategy and the nuclear age /,"Till, Geoffrey.",X000350896,BOOK,6/28/96,2/28/10,STACKS,0,0,0,3,1
100867,2,ALDERMAN,STACKS,V165 .C6 1985,1985,La puissance maritime : Castex et la stratÈgie navale /,"Coutau-BÈgarie, HervÈ.",X001107094,BOOK,6/28/96,5/2/17,STACKS,1,2,0,3,1
1314180,3 17,CLEMONS,BY-REQUEST,V165 .F74 1988,1988,The US maritime strategy  /,"Friedman, Norman,",X001492394,BOOK,6/30/96,11/30/98,BY-REQUEST,0,0,0,8,1
495691,2,ALDERMAN,STACKS,V165 .G7 1965,1965,Maritime strategy; a study of defense problems.,"Gretton, Peter,",X000688993,BOOK,6/29/96,12/2/98,STACKS,0,0,0,1,1
1383678,2,ALDERMAN,STACKS,V165 .M37 1989,1989,Maritime strategy and the balance of power : Britain and America in the twentieth century /,,X001638995,BOOK,6/30/96,5/2/17,STACKS,1,2,4,16,1
1252540,2 17,ALDERMAN,STACKS,V165 .N38 1988,1988,Naval strategy and national security : an International security reader /,,X001360456,BOOK,6/30/96,7/11/18,CHECKEDOUT,2,2,5,15,1
243092,2,ALDERMAN,STACKS,V167 .F5613,1979,A history of naval tactical thought /,"Fioravanzo, Giuseppe,",X000078976,BOOK,6/28/96,1/15/07,STACKS,0,0,3,24,1
1187180,2,ALDERMAN,STACKS,V169 .C7,1972,British admirals of the eighteenth century: tactics in battle.,"Creswell, John.",X000778729,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
