Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BS 000001 .W55  2007,BS1 .W55 2007,4683421,ALDERMAN,2007,The Kabbalistic scholars of the Antwerp Polyglot Bible /,"Wilkinson, Robert,",X030257442,STACKS,STACKS,BOOK,1/29/08,10/12/16,1,0,0,1,1
BS 000001 1863  V.000001,BS1 1863 v.1,1172639,ALDERMAN,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in übersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X000938134,STACKS,STACKS,BOOK,6/29/96,11/24/08,0,0,1,1,1
BS 000001 1863  V.000002 PT.000001,BS1 1863 v.2 pt.1,1172639,ALDERMAN,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in übersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X004726490,STACKS,STACKS,BOOK,11/21/03,6/21/15,0,0,0,0,2
BS 000001 1863  V.000002 PT.000002,BS1 1863 v.2 pt.2,1172639,ALDERMAN,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in übersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X030509717,STACKS,STACKS,BOOK,11/19/08,1/6/09,0,0,0,0,1
BS 000001 1863  V.000003,BS1 1863 v.3,1172639,ALDERMAN,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in übersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X030509568,STACKS,STACKS,BOOK,11/18/08,11/18/08,0,0,0,0,1
BS 000001 1863  V.000004,BS1 1863 v.4,1172639,ALDERMAN,1863,"Polyglotten--Bibel zum praktischen Handgebrauch. Die Heilige Schrift Alten und Neuen Testaments in übersichtlicher Nebeneinanderstellung des Urtextes, der Septuaginta, Vulgata und Luther-Uebersetzung, so wie der wichtigsten Varianten der vornehmsten deutschen Uebersetzungen,",,X002449394,STACKS,STACKS,BOOK,6/29/96,5/27/99,0,0,1,5,1
BS 000001 1869  T.000001,BS1 1869 t.1,661495,ALDERMAN,1869,"Biblia sacra polyglotta : textus archetypos versionesque praecipuas ab ecclesia antiquitus receptas : necnon versiones recentiores Anglicanam, Germanicam, Italicam, Gallicam et Hispanicam complectentia : accedunt prolegomena in textuum archetyporum, versionumque antiquarum crisin literalem",,X032037045,STACKS,STACKS,BOOK,6/29/96,4/24/18,1,0,0,3,1
BS 000001 1869  T.000002,BS1 1869 t.2,661495,ALDERMAN,1869,"Biblia sacra polyglotta : textus archetypos versionesque praecipuas ab ecclesia antiquitus receptas : necnon versiones recentiores Anglicanam, Germanicam, Italicam, Gallicam et Hispanicam complectentia : accedunt prolegomena in textuum archetyporum, versionumque antiquarum crisin literalem",,X000897440,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
BS 000001 1906  V.000001,BS1 1906 v.1,1172640,ALDERMAN,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X002176393,STACKS,STACKS,BOOK,6/29/96,8/12/15,0,0,2,5,1
BS 000001 1906  V.000002,BS1 1906 v.2,1172640,ALDERMAN,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X004274913,STACKS,STACKS,BOOK,4/19/99,6/21/15,0,0,0,0,1
BS 000001 1906  V.000003,BS1 1906 v.3,1172640,ALDERMAN,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X031736997,STACKS,STACKS,BOOK,6/24/15,1/1/00,0,0,0,0,1
BS 000001 1906  V.000004,BS1 1906 v.4,1172640,ALDERMAN,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X004286006,STACKS,STACKS,BOOK,11/12/98,6/21/15,0,0,0,0,1
BS 000001 1906  V.000005,BS1 1906 v.5,1172640,ALDERMAN,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,1172640-1001,STACKS,STACKS,BOOK,6/29/96,3/16/18,0,0,2,8,1
BS 000001 1906  V.000006,BS1 1906 v.6,1172640,ALDERMAN,1901,The hexaglot Bible : comprising the Holy Scriptures of the Old and New Testaments in the original tongues;,,X032037044,STACKS,STACKS,BOOK,6/29/96,6/21/15,0,0,1,2,1
BS 000100.3 .B53  2002,BS100.3 .B53 2002,3885823,ALDERMAN,2002,"Biblia Sahidica : Ieremias, Lamentationes (Threni), Epistula Ieremiae et Baruch /",,X004627814,STACKS,STACKS,BOOK,9/19/02,9/11/07,0,0,1,1,1
BS 000100.5 .M53  2003,BS100.5 .M53 2003,3976795,ALDERMAN,2003,"Papyrus Michigan 3520 und 6868(a) : Ecclesiastes, Erster Johannesbrief und Zweiter Petrusbrief im fayumischen Dialekt /",,X004735336,STACKS,STACKS,BOOK,10/23/03,1/1/00,0,0,0,0,1
BS 000105 .G29  1980  V.000001,BS105 .G29 1980 v.1,644516,ALDERMAN,1980,Ulfilas : Veteris et Novi Testamenti versionis Gothica fragmenta quae supersunt /,,X000785708,STACKS,STACKS,BOOK,6/29/96,9/20/10,0,0,0,6,1
BS 000105 .G29  1980  V.000002,BS105 .G29 1980 v.2,644516,ALDERMAN,1980,Ulfilas : Veteris et Novi Testamenti versionis Gothica fragmenta quae supersunt /,,X000785709,STACKS,STACKS,BOOK,6/29/96,9/20/10,0,0,0,6,1
BS 000105.5 .A7  K513  1984,BS105.5 .A7 K513 1984,1229171,ALDERMAN,1984,"Codex Argenteus, the Silver Bible at Uppsala /","Kleberg, Tönnes,",X001465756,STACKS,STACKS,BOOK,6/30/96,11/17/08,0,0,1,0,1
BS 000106 .F35  2015,BS106 .F35 2015,6604952,ALDERMAN,2015,"The gothic version of the Gospels and Pauline Epistles : cultural background, transmission and character /","Falluomini, Carla,",X031786730,STACKS,STACKS,BOOK,7/22/15,1/1/00,0,0,0,0,2
BS 001091 .B37  2009,BS1091 .B37 2009,5077752,CLEMONS,2009,A literary Bible /,,X004087435,BY-REQUEST,BY-REQUEST,BOOK,1/11/10,4/27/11,0,0,0,4,1
BS 001091 .B8  V.000001,BS1091 .B8 v.1,765634,ALDERMAN,1889,"The Bible-work, the Old Testament; the revised text, arranged in sections; with comments selected from the choicest, most illuminating and helpful thoughts of the christian centuries, taken from four hundred scholarly writers.",,X030510079,STACKS,STACKS,BOOK,11/24/08,11/24/08,0,0,0,0,1
BS 001091 .B8  V.000002,BS1091 .B8 v.2,765634,ALDERMAN,1889,"The Bible-work, the Old Testament; the revised text, arranged in sections; with comments selected from the choicest, most illuminating and helpful thoughts of the christian centuries, taken from four hundred scholarly writers.",,X030510080,STACKS,STACKS,BOOK,11/24/08,11/24/08,0,0,0,0,1
BS 001091 .B8  V.000003,BS1091 .B8 v.3,765634,ALDERMAN,1889,"The Bible-work, the Old Testament; the revised text, arranged in sections; with comments selected from the choicest, most illuminating and helpful thoughts of the christian centuries, taken from four hundred scholarly writers.",,X000498808,STACKS,STACKS,BOOK,6/29/96,11/20/08,0,0,0,0,3
BS 001091 .C57  2002,BS1091 .C57 2002,3839244,ALDERMAN,2002,Pathways through the Bible : classic selections from the Tanakh /,,X004589319,STACKS,STACKS,BOOK,5/28/02,1/1/00,0,0,0,0,1
BS 001091 .F7  1977,BS1091 .F7 1977,246953,ALDERMAN,1977,"The reader's Bible, a narrative : selections from the King James Version /",,X032047399,STACKS,STACKS,BOOK,6/28/96,4/10/09,0,0,1,3,1
BS 001091 .N3  1942,BS1091 .N3 1942,4466988,ALDERMAN,1942,Readings from the Holy Scriptures : for Jewish members of the Armed Forces of the United States.,,X030168128,STACKS,STACKS,BOOK,2/13/07,11/20/08,0,0,0,0,1
BS 001091 .R5  1919,BS1091 .R5 1919,801403,ALDERMAN,1919,"Old Testament narratives,",,X001801463,STACKS,STACKS,BOOK,6/29/96,10/21/04,0,0,0,5,1
BS 001091 .W6,BS1091 .W6,4373394,ALDERMAN,1930,"The epic of the Old Testament; selected passages arranged in chronological sequence with their historical background,",,X030040354,STACKS,STACKS,BOOK,6/14/06,1/1/00,0,0,0,0,1
BS 001099 .H4  W37  2003,BS1099 .H4 W37 2003,3940901,ALDERMAN,2003,A catalog of biblical passages in the Dead Sea scrolls /,"Washburn, David L.",X004705192,STACKS,STACKS,BOOK,5/29/03,3/17/16,1,4,0,5,1
BS 000011 1979,BS11 1979,794501,ALDERMAN,1979,Ktb? qd?? : ddytyq? ?tyq? w?dt?.,,X001282841,STACKS,STACKS,BOOK,6/29/96,11/17/08,0,0,0,1,1
BS 000011 1996  V.000001,BS11 1996 v.1,2532368,ALDERMAN,1996,"Comparative edition of the Syriac Gospels : aligning the Sinaiticus, Curetonianus, Peshî?tâ and ?arklean versions /",,X004007807,STACKS,STACKS,BOOK,9/23/96,1/1/00,0,0,0,0,1
BS 000011 1996  V.000002,BS11 1996 v.2,2532368,ALDERMAN,1996,"Comparative edition of the Syriac Gospels : aligning the Sinaiticus, Curetonianus, Peshî?tâ and ?arklean versions /",,X004007805,STACKS,STACKS,BOOK,9/23/96,1/1/00,0,0,0,0,1
BS 000011 1996  V.000003,BS11 1996 v.3,2532368,ALDERMAN,1996,"Comparative edition of the Syriac Gospels : aligning the Sinaiticus, Curetonianus, Peshî?tâ and ?arklean versions /",,X004007803,STACKS,STACKS,BOOK,9/23/96,1/1/00,0,0,0,0,1
BS 000011 1996  V.000004,BS11 1996 v.4,2532368,ALDERMAN,1996,"Comparative edition of the Syriac Gospels : aligning the Sinaiticus, Curetonianus, Peshî?tâ and ?arklean versions /",,X004007801,STACKS,STACKS,BOOK,9/23/96,1/1/00,0,0,0,0,1
BS 000110.5 .S53  001990,BS110.5 .S53 1990,1834991,ALDERMAN,1990,"Biblii?a : faksimil?ae ?zna?lenne Biblii, vydadzena? Frantsyskam Srarynai?u ? 1517-1519 gadakh : u 3 tamakh /",,X001857416,STACKS,STACKS,BOOK,6/30/96,11/17/08,0,0,0,0,1
BS 000110.5 .S54  2002,BS110.5 .S54 2002,3920756,ALDERMAN,2002,"Biblija ruska : vylo?ena doktorom Franciskom Skorinoju, Prag 1517-1519 : Kommentare : Apostol, Wilna 1525, Facsimile und Kommentar /",,X004680748,STACKS,STACKS,BOOK,3/4/03,1/1/00,0,0,0,0,1
BS 001104 .A2  B4  1965  V.000001,BS1104 .A2 B4 1965 v.1,1173409,ALDERMAN,1965,Makbilot ba-Mikra.,,X002076211,STACKS,STACKS,BOOK,6/29/96,11/20/08,0,0,0,1,1
BS 001104 .A2  B4  1965  V.000002,BS1104 .A2 B4 1965 v.2,1173409,ALDERMAN,1965,Makbilot ba-Mikra.,,X002076209,STACKS,STACKS,BOOK,6/29/96,11/20/08,0,0,0,1,1
BS 000111 .A44  1999,BS111 .A44 1999,2976336,ALDERMAN,1999,Tekstologii?a slavi?ansko? Biblii /,"Alekseev, A. A.",X004383769,STACKS,STACKS,BOOK,12/16/99,12/15/11,0,0,0,0,1
BS 000111 .C66  2003,BS111 .C66 2003,3976364,ALDERMAN,2003,Slavic Scriptures : the formation of the Church Slavonic version of the Holy Bible /,"Cooper, Henry R.,",X004708645,STACKS,STACKS,BOOK,10/21/03,11/20/05,0,0,0,3,1
BS 001110 .A47  1987,BS1110 .A47 1987,1244507,ALDERMAN,1987,Altes Testament und christliche Verkündigung : Festschrift für Antonius H.J. Gunneweg zum 65. Geburtstag /,,X001262948,STACKS,STACKS,BOOK,6/30/96,11/20/08,0,0,0,3,1
BS 001110 .D67  1996,BS1110 .D67 1996,2617098,ALDERMAN,1996,"""Dort ziehen Schiffe dahin--"" : collected communications to the XIVth Congress of the International Organization for the Study of the Old Testament, Paris 1992 /",,X006038828,STACKS,STACKS,BOOK,11/14/96,11/20/08,0,0,4,1,1
BS 001110 .O4  1908  V.000001,BS1110 .O4 1908 v.1,1173410,ALDERMAN,1908,Old Testament and Semitic studies in memory of William Rainey Harper;,,X032049515,STACKS,STACKS,BOOK,10/13/17,1/1/00,0,0,0,0,1
BS 001110 .O4  1908  V.000002,BS1110 .O4 1908 v.2,1173410,ALDERMAN,1908,Old Testament and Semitic studies in memory of William Rainey Harper;,,X032049516,STACKS,STACKS,BOOK,10/13/17,1/1/00,0,0,0,0,1
BS 001110 .O4  1908  V.000002,BS1110 .O4 1908 v.2,1173410,ALDERMAN,1908,Old Testament and Semitic studies in memory of William Rainey Harper;,,X032049517,STACKS,STACKS,BOOK,10/13/17,1/1/00,0,0,0,0,1
BS 001110 .S534  2007,BS1110 .S534 2007,4879649,ALDERMAN,2007,"Shai le-?arah Yafet : me??arim ba-Mi?ra, be-farshanuto uvi-leshono /",,X030407462,STACKS,STACKS,BOOK,5/28/09,10/22/13,1,5,1,7,1
BS 001110 .S54  1968,BS1110 .S54 1968,2615198,ALDERMAN,1968,Sefer zer-kavod : mugash li-khevod Dr. Mordekhai Zer-Kavod li-melot lo shishim ?e-?amesh shanah /,,X004021276,STACKS,STACKS,BOOK,9/25/96,4/19/00,0,0,1,1,1
BS 001110 .S6,BS1110 .S6,570119,ALDERMAN,1951,The Old Testament and modern study: a generation of discovery and research.,Society for Old Testament Study.,X000202922,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
BS 001115 .S37  1987,BS1115 .S37 1987,1246215,ALDERMAN,1987,Segen für die Völker : gesammelte Schriften zur Entstehung und Theologie des Alten Testaments /,"Schreiner, Josef,",X001259433,STACKS,STACKS,BOOK,6/30/96,11/20/08,0,0,0,0,1
BS 001115 .S38  1989  T.000001,BS1115 .S38 1989 T.1,1604472,ALDERMAN,1989,Altes Testament und Heiliges Land : gesammelte Studien zum Alten Testament und zur biblischen Landeskunde /,"Schunck, Klaus-Dietrich.",X001635019,STACKS,STACKS,BOOK,6/30/96,11/20/08,0,0,0,0,1
BS 001119 .W2  R3313  1991,BS1119 .W2 R3313 1991,1811227,ALDERMAN,1991,Holy war in ancient Israel /,"Rad, Gerhard von,",X001923739,STACKS,STACKS,BOOK,6/30/96,7/18/18,1,0,2,11,1
BS 001121 .A53  1989,BS1121 .A53 1989,1751056,ALDERMAN,1989,The vocabulary of the Old Testament /,"Andersen, Francis I.,",X001827863,STACKS,STACKS,BOOK,6/30/96,12/8/11,0,0,2,2,1
BS 001121 .E5  V.000001,BS1121 .E5 v.1,762735,ALDERMAN,1860,"The Englishman's Hebrew and Chaldee concordance of the Old Testament,",,X000193497,STACKS,STACKS,BOOK,6/29/96,1/6/09,0,0,0,1,1
BS 001121 .E5  V.000002,BS1121 .E5 v.2,762735,ALDERMAN,1860,"The Englishman's Hebrew and Chaldee concordance of the Old Testament,",,X000193496,STACKS,STACKS,BOOK,6/29/96,1/6/09,0,0,0,1,1
BS 001121 .E93  1990,BS1121 .E93 1990,4404034,ALDERMAN,1990,"?on?ordantsyah ?adashah : le-Torah, Nevi?im u-Khetuvim : otsar leshon ha-Mi?ra--?Ivrit ?a-Aramit : shorashim, milim, shemot pera?iyim, tserufim ?e-nirdafim /","Even-Shoshan, Avraham,",X030139830,STACKS,STACKS,BOOK,10/3/06,12/3/10,0,0,1,2,1
BS 001121 .J6  1988,BS1121 .J6 1988,1365354,ALDERMAN,1988,Concordance des particules cooccurrentes de la Bible hébraïque /,"Jobin, Gérard,",X001594025,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
BS 001121 .M3  1967,BS1121 .M3 1967,2281628,ALDERMAN,1967,Konkordantsyah la Tanakh /,"Mandelkern, Solomon,",X000206414,STACKS,STACKS,BOOK,7/1/96,11/20/08,0,0,0,3,1
BS 001122 .H3  1954  V.000001,BS1122 .H3 1954 v.1,1173413,ALDERMAN,1954,A concordance to the Septuagint and the other Greek versions of the Old Testament (including the Apocryphal books),"Hatch, Edwin,",X000926689,STACKS,STACKS,BOOK,6/29/96,8/5/11,0,0,3,2,1
BS 001122 .H3  1954  V.000002,BS1122 .H3 1954 v.2,1173413,ALDERMAN,1954,A concordance to the Septuagint and the other Greek versions of the Old Testament (including the Apocryphal books),"Hatch, Edwin,",X000926663,STACKS,STACKS,BOOK,6/29/96,8/5/11,0,0,4,2,1
BS 001122 .H32  M87  1998,BS1122 .H32 M87 1998,2784249,ALDERMAN,1998,Hebrew/Aramaic index to the Septuagint : keyed to the Hatch-Redpath concordance /,"Muraoka, T.",X004146777,STACKS,STACKS,BOOK,4/8/98,5/7/18,1,3,0,6,1
BS 001128 .S9  S8  1988,BS1128 .S9 S8 1988,1336399,ALDERMAN,1988,Wörterverzeichnis der apokryphen-deuterokanonischen Schriften des Alten Testaments in der Peshi?ta /,"Strothmann, Werner,",X001560299,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
BS 001130 .D5  1981,BS1130 .D5 1981,717688,ALDERMAN,1981,Geschichte des Alten Testamentes in der Christlichen Kirche /,"Diestel, Ludwig,",X001157479,STACKS,STACKS,BOOK,6/29/96,5/11/13,0,2,1,23,1
BS 001130 .G4155  1949,BS1130 .G4155 1949,2615003,ALDERMAN,1949,ha-Mi?ra ?e-targuma? be-zi?atam le-hitpat?utah ha-penimit shel ha-Yahadut /,"Geiger, Abraham,",X031897859,STACKS,STACKS,BOOK,9/24/96,1/1/00,0,0,1,0,1
BS 001130 .M37,BS1130 .M37,74191,ALDERMAN,1984,Permanence de l'Ancien Testament : recherches d'exégèse et de théologie /,"Martin-Achard, Robert.",X001049466,STACKS,STACKS,BOOK,6/28/96,11/20/08,0,0,0,0,2
BS 001130 .M43,BS1130 .M43,552634,ALDERMAN,1972,The making of the Old Testament;,"Mellor, Enid B.",X000117248,STACKS,STACKS,BOOK,6/29/96,6/12/01,0,0,0,17,2
BS 001130 .S54  1990,BS1130 .S54 1990,1680703,ALDERMAN,1990,The story of scripture : from oral tradition to written word /,"Silver, Daniel Jeremy.",X001785843,STACKS,STACKS,BOOK,6/30/96,11/16/07,0,0,0,1,1
BS 001130 .S74  2017,BS1130 .S74 2017,7269070,ALDERMAN,2017,The Jewish Bible : a material history /,"Stern, David,",X031840361,STACKS,STACKS,BOOK,10/27/17,6/25/18,0,0,1,0,1
BS 001130 .T66  2007,BS1130 .T66 2007,4510320,ALDERMAN,2007,Scribal culture and the making of the Hebrew Bible /,"Toorn, K. van der.",X030109736,STACKS,STACKS,BOOK,4/18/07,5/15/17,3,3,0,11,1
BS 001132 .H84  2010,BS1132 .H84 2010,5265414,ALDERMAN,2010,"The invention of Jewish identity : Bible, philosophy, and the art of translation /","Hughes, Aaron W.,",X030733400,STACKS,STACKS,BOOK,12/18/10,9/1/14,1,0,1,1,1
BS 001133 .B53  2002,BS1133 .B53 2002,3838494,ALDERMAN,2002,Biblical translation in context /,,X004558139,STACKS,STACKS,BOOK,6/6/02,9/21/09,0,0,0,1,1
BS 001135 .B44  1985,BS1135 .B44 1985,90111,ALDERMAN,1985,The Old Testament canon of the New Testament Church : and its background in early Judaism /,"Beckwith, Roger T.",X001013086,STACKS,STACKS,BOOK,6/28/96,5/7/18,1,1,2,53,2
BS 001135 .B57,BS1135 .B57,306543,ALDERMAN,1977,Prophecy and canon : a contribution to the study of Jewish origins /,"Blenkinsopp, Joseph,",X000539067,STACKS,STACKS,BOOK,6/28/96,3/29/07,0,0,3,16,1
BS 001135 .C366  1984,BS1135 .C366 1984,66929,ALDERMAN,1984,Le canon de l'Ancien Testament : sa formation et son histoire /,,X000891982,STACKS,STACKS,BOOK,6/28/96,11/20/08,0,0,1,2,1
BS 001135 .C37  2011,BS1135 .C37 2011,5415051,ALDERMAN,2011,The formation of the Hebrew Bible : a new reconstruction /,"Carr, David McLain,",X030811476,STACKS,CHECKEDOUT,BOOK,9/15/11,5/21/18,8,20,0,36,1
BS 001135 .C48  2000,BS1135 .C48 2000,2904149,ALDERMAN,2000,The law and the prophets : a study in Old Testament canon formation /,"Chapman, Stephen B.,",X004482619,STACKS,STACKS,BOOK,4/20/99,3/29/07,0,0,0,3,1
BS 001135 .D38  1998,BS1135 .D38 1998,2819213,ALDERMAN,1998,Scribes and schools : the canonization of the Hebrew Scriptures /,"Davies, Philip R.",X004222949,STACKS,STACKS,BOOK,8/6/98,3/29/07,0,0,0,1,1
BS 001135 .D38  1998,BS1135 .D38 1998,2819213,ALDERMAN,1998,Scribes and schools : the canonization of the Hebrew Scriptures /,"Davies, Philip R.",X004284784,STACKS,STACKS,BOOK,12/15/98,5/12/10,0,0,0,1,1
BS 001135 .D57  2009,BS1135 .D57 2009,4899291,ALDERMAN,2009,The discursive fight over religious texts in antiquity /,,X030562751,STACKS,STACKS,BOOK,8/7/09,7/2/13,1,0,2,5,1
BS 001135 .E44  1991,BS1135 .E44 1991,1838186,ALDERMAN,1991,The Old Testament in early Christianity : canon and interpretation in the light of modern research /,"Ellis, E. Earle (Edward Earle)",X001932518,STACKS,STACKS,BOOK,6/30/96,5/13/10,0,0,0,21,1
BS 001135 .L56  2013,BS1135 .L56 2013,6161436,ALDERMAN,2013,The formation of the Jewish canon /,"Lim, Timothy H.,",X031604314,STACKS,STACKS,BOOK,11/29/13,5/7/18,2,17,0,19,1
BS 001135 .L6  1890,BS1135 .L6 1890,1173416,ALDERMAN,1890,Histoire du canon de l'Ancien Testament;,"Loisy, Alfred,",X002037282,STACKS,STACKS,BOOK,6/29/96,12/3/10,0,0,1,2,1
