Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
BV 000010 .B8  1873,BV10 .B8 1873,762750,ALDERMAN,1873,"Responsive worship; a discourse, with notes.","Budington, William Ives,",X002178611,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
BV 000010 .C65,BV10 .C65,4373410,ALDERMAN,1946,The public worship of God : a source book  /,"Coffin, Henry Sloane,",X030040337,STACKS,STACKS,BOOK,6/14/06,1/1/00,0,0,0,0,1
BV 000010 .F5,BV10 .F5,1176048,ALDERMAN,1931,"The recovery of worship; a study of the crucial problem of the Protestant churches,","Fiske, George Walter,",1176048-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BV 000010 .G7  1911,BV10 .G7 1911,796764,ALDERMAN,1911,"Non-church-going, its reasons and remedies; a symposium","Gray, William Forbes,",X001478370,STACKS,STACKS,BOOK,6/29/96,12/9/08,0,0,0,1,1
BV 000010 .H3  1928,BV10 .H3 1928,1176049,ALDERMAN,1928,"Christian public worship,","Harris, Thomas Leonard,",X000209474,STACKS,STACKS,BOOK,6/29/96,12/9/08,0,0,0,1,1
BV 000010 .H37  1953,BV10 .H37 1953,1176050,ALDERMAN,1953,"Christian worship, some meanings and means.","Hedley, George,",X001478373,STACKS,STACKS,BOOK,6/29/96,10/17/96,0,0,0,3,1
BV 000010 .H43  1944,BV10 .H43 1944,1176051,ALDERMAN,1944,"The genius of public worship,","Heimsath, Charles Herman,",X001478284,STACKS,STACKS,BOOK,6/29/96,12/9/08,0,0,0,0,1
BV 000010 .M3,BV10 .M3,1176052,ALDERMAN,1934,"Modern man's worship; a search for reality in religion,","Meland, Bernard Eugene,",X030040308,STACKS,STACKS,BOOK,6/14/06,1/1/00,0,0,0,0,1
BV 000010 .P23  1939,BV10 .P23 1939,1220891,ALDERMAN,1939,The art of conducting public worship,"Palmer, Albert W. (Albert Wentworth),",X000833480,STACKS,STACKS,BOOK,6/30/96,12/9/08,0,0,0,0,1
BV 000010 .P3,BV10 .P3,1176053,ALDERMAN,1900,"Public worship,","Pattison, Thomas Harwood,",X001478285,STACKS,STACKS,BOOK,6/29/96,9/16/16,0,0,0,0,1
BV 000010 .R43  1908,BV10 .R43 1908,1766694,ALDERMAN,1908,The worship of the church and the beauty of holiness.,"Regester, Jacob A.",X001478313,STACKS,STACKS,BOOK,6/30/96,12/9/08,0,0,1,1,1
BV 000010 .R6  1908,BV10 .R6 1908,799102,ALDERMAN,1908,Studies in Christian worship /,"Robinson, Charles H. (Charles Henry),",X001478463,STACKS,STACKS,BOOK,6/29/96,9/16/16,0,0,0,0,1
BV 000010 .R6  1908,BV10 .R6 1908,799102,ALDERMAN,1908,Studies in Christian worship /,"Robinson, Charles H. (Charles Henry),",X001478563,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
BV 000010 .S6,BV10 .S6,4401939,ALDERMAN,1927,Reality in worship : a study of public worship and private religion /,"Sperry, Willard Learoyd,",X030142981,STACKS,STACKS,BOOK,9/25/06,12/9/08,0,0,0,0,1
