Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
C  000003 .S36  2015,C3 .S36 2015,6548786,ALDERMAN,2015,"La Scoula storica nationale e la medievistica : momenti e figure del novecento, per i 90 anni della Scuola storica Nazionale di studi medievali, attil della giornata di studio (Istituto storico italiano per il Medio Evo, 16 dicembre 2013) /",,X031726755,STACKS,STACKS,BOOK,4/22/15,1/1/00,0,0,1,0,2
C  000051 .S65  K63  1984,C51 .S65 K63 1984,776619,ALDERMAN,1984,Vspomogatel?nye istoricheskie dist?sipliny /,"Kobrin, V. B. (Vladimir Borisovich)",X001279962,STACKS,STACKS,BOOK,6/29/96,3/19/08,0,0,2,0,1
CB 000101 .S9  2006  V.000001,CB101 .S9 2006 v.1,4646486,ALDERMAN,2006,Plaza universal de todas ciencias y artes /,"Suárez de Figueroa, Christóval.",X030357801,STACKS,STACKS,BOOK,11/6/07,11/28/11,0,0,0,3,1
CB 000101 .S9  2006  V.000002,CB101 .S9 2006 v.2,4646486,ALDERMAN,2006,Plaza universal de todas ciencias y artes /,"Suárez de Figueroa, Christóval.",X030357802,STACKS,STACKS,BOOK,1/25/08,11/28/11,0,0,0,3,1
CB 000103 .O683  1962,CB103 .O683 1962,573709,ALDERMAN,1962,Man and crisis.,"Ortega y Gasset, José,",X000121892,STACKS,STACKS,BOOK,6/29/96,1/4/17,1,0,1,17,1
CB 000103 .O7  1930,CB103 .O7 1930,1218096,ALDERMAN,1929,La rebelión de las masas.,"Ortega y Gasset, José,",X000208232,STACKS,STACKS,BOOK,6/30/96,4/29/08,0,0,0,10,1
CB 000103 .O7  1961,CB103 .O7 1961,1218097,ALDERMAN,1961,"La rebelión de las masas. Con un prólogo para franceses, un epílogo para ingleses y un apendice: Dinámica del tiempo.","Ortega y Gasset, José,",X000672579,STACKS,STACKS,BOOK,6/30/96,3/7/12,0,11,2,54,1
CB 000103 .O7  1975,CB103 .O7 1975,6797617,ALDERMAN,1975,La rebelión de las masas /,"Ortega y Gasset, José,",X031760160,STACKS,STACKS,BOOK,7/19/16,1/1/00,0,0,0,0,1
CB 000103 .O7  1980,CB103 .O7 1980,119475,CLEMONS,1980,"La rebelión de las masas : con un prólogo para franceses, un epílogo para ingleses y un apéndice: Dinámica del tiempo /","Ortega y Gasset, José,",X000423451,BY-REQUEST,BY-REQUEST,BOOK,6/28/96,7/31/08,0,0,2,14,1
CB 000103 .O7  1998,CB103 .O7 1998,6968973,ALDERMAN,1998,La rebelión de las masas /,"Ortega y Gasset, José,",X031803525,STACKS,STACKS,BOOK,2/17/17,1/1/00,0,0,0,0,1
CB 000103 .O713  1985,CB103 .O713 1985,67236,ALDERMAN,1985,The revolt of the masses /,"Ortega y Gasset, José,",X000932873,STACKS,CHECKEDOUT,BOOK,6/28/96,3/19/19,2,0,4,64,1
CB 000103 .O713  1985,CB103 .O713 1985,67236,CLEMONS,1985,The revolt of the masses /,"Ortega y Gasset, José,",X000952942,BY-REQUEST,BY-REQUEST,BOOK,6/28/96,11/24/08,0,0,1,29,1
CB 000103 .O72  1932,CB103 .O72 1932,755456,ALDERMAN,1932,The revolt of the masses; authorised translation from the Spanish.,"Ortega y Gasset, José,",X000023417,STACKS,CHECKEDOUT,BOOK,6/29/96,4/17/18,1,2,0,43,1
CB 000103 .O72  1932,CB103 .O72 1932,755456,ALDERMAN,1932,The revolt of the masses; authorised translation from the Spanish.,"Ortega y Gasset, José,",X000314055,STACKS,CHECKEDOUT,BOOK,6/29/96,3/19/19,1,0,0,10,1
CB 000103 .O72  1960,CB103 .O72 1960,495215,CLEMONS,1960,The revolt of the masses.,"Ortega y Gasset, José,",X006082749,BY-REQUEST,CHECKEDOUT,BOOK,6/29/96,10/22/18,2,2,2,25,1
CB 000103 .O7213  1949,CB103 .O7213 1949,7620569,ALDERMAN,1949,Der Aufstand der Massen /,"Ortega y Gasset, José,",X032058220,STACKS,STACKS,BOOK,6/28/18,1/1/00,0,0,0,0,1
