Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DAW001004 .M48  1995,DAW1004 .M48 1995,2482433,ALDERMAN,1995,Metropolen im Wandel : Zentralität in Ostmitteleuropa an der Wende vom Mittelalter zur Neuzeit /,,X004081792,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,3,0,1
DAW001012 .D87  1994,DAW1012 .D87 1994,2375636,ALDERMAN,1994,Kastellburgen : des 13. Jahrhunderts in Mitteleuropa /,"Durdík, Tomá?.",X002557106,STACKS,STACKS,BOOK,7/1/96,2/1/11,0,0,1,0,1
DAW001012 .L548  2009,DAW1012 .L548 2009,4911169,ALDERMAN,2009,Lieux de mémoire en Europe centrale /,,X030570392,STACKS,STACKS,BOOK,8/18/09,1/1/00,0,0,0,0,1
DAW001023 .S38  2001,DAW1023 .S38 2001,3809997,ALDERMAN,2001,"Tools, weapons and ornaments : Germanic material culture in Pre-Carolingian Central Europe, 400-750 /","Schutz, Herbert,",X004592881,STACKS,STACKS,BOOK,2/21/02,5/14/13,1,2,0,3,1
DAW001024 .E87  1991,DAW1024 .E87 1991,2155279,ALDERMAN,1991,"L'Europe centrale : réalité, mythe, enjeu, XVIIIe-XXe siècles : actes du colloque international, Varsovie, 24-27 septembre 1990 /",,X002281701,STACKS,STACKS,BOOK,7/1/96,12/12/02,0,0,1,9,1
DAW001026 .M55  1995,DAW1026 .M55 1995,2502901,ALDERMAN,1995,"Minderheiten als Konfliktpotential in Ostmittel- und Südosteuropa : Vorträge der Internationalen Konferenz der Südosteuropa-Gesellschaft (München), des Südost-Instituts (München) und des Österreichischen Studienzentrums für Frieden und Konfliktlösung (Stadtschlaining, Burgenland) auf Burg Schlaining, 19.-22. Oktober 199",,X002744949,STACKS,STACKS,BOOK,7/1/96,5/22/97,0,0,0,5,1
DAW001026 .M56  1990,DAW1026 .M56 1990,1763647,ALDERMAN,1990,Die Minderheiten im Alpen-Adria-Raum : deutsche Fassung 1990 /,,X001831306,STACKS,STACKS,BOOK,6/30/96,2/20/09,0,0,0,0,1
DAW001026 .N385  2002,DAW1026 .N385 2002,3885801,ALDERMAN,2002,Nationalitäten und Minderheiten in Mittel- und Osteuropa /,,X004627801,STACKS,STACKS,BOOK,9/19/02,1/1/00,0,0,0,0,2
DAW001026 .U58  1997,DAW1026 .U58 1997,2822494,ALDERMAN,1997,Un-Verständnis der Kulturen : Multikulturalismus in Mitteleuropa in historischer Perspektive /,,X004187433,STACKS,STACKS,BOOK,8/19/98,1/1/00,0,0,0,0,1
DAW001026 .Z93  2007,DAW1026 .Z93 2007,4711738,ALDERMAN,2007,"Zwangsmigrationen im mittleren und östlichen Europa : Völkerrecht, Konzeptionen, Praxis (1938-1950) /",,X030356685,STACKS,STACKS,BOOK,4/17/08,1/1/00,0,0,0,0,1
DAW001028 .P64  K33  1993,DAW1028 .P64 K33 1993,2272827,ALDERMAN,1993,"Kultura zbiorowo?ci polonijnych Europy ?rodkowej, 1945-1989 : Czechos?owacja, Niemiecka Republika Demokratyczna, Weg?ry /","Kaczmarek, Urszula.",X002405701,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DAW001031 .R45  1992  BD.000001,DAW1031 .R45 1992 bd.1,1966434,ALDERMAN,1992,Biographisches Lexikon zur Geschichte der demokratischen und liberalen Bewegungen in Mitteleuropa /,"Reinalter, Helmut,",X002141999,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
DAW001032 .P37  2008,DAW1032 .P37 2008,4716600,ALDERMAN,2008,Past in the making : historical revisionism in Central Europe after 1989 /,,X030254388,STACKS,CHECKEDOUT,BOOK,5/12/08,5/7/18,1,0,0,1,1
DAW001038 .C48  2012,DAW1038 .C48 2012,5961026,ALDERMAN,2013,Intermarium : the land between the Black and Baltic Seas /,"Chodakiewicz, Marek Jan,",X030609116,STACKS,STACKS,BOOK,3/23/13,2/29/16,3,8,0,11,1
DAW001038 .C58  2000,DAW1038 .C58 2000,3566250,ALDERMAN,2000,Central Europe : core or periphery? /,,X004503176,STACKS,STACKS,BOOK,9/18/00,9/11/15,3,2,4,15,3
DAW001038 .J64  1996,DAW1038 .J64 1996,2627408,ALDERMAN,1996,"Central Europe : enemies, neighbors, friends /","Johnson, Lonnie,",X004069255,STACKS,STACKS,BOOK,2/6/97,9/11/15,1,0,0,3,1
DAW001038 .J64  2002,DAW1038 .J64 2002,3784292,ALDERMAN,2002,"Central Europe : enemies, neighbors, friends /","Johnson, Lonnie,",X004554192,STACKS,STACKS,BOOK,10/16/01,5/1/18,3,1,1,17,3
DAW001038 .L35  1991,DAW1038 .L35 1991,1853935,ALDERMAN,1991,Landgemeinde und Stadtgemeinde in Mitteleuropa : ein struktureller Vergleich /,,X001971046,STACKS,STACKS,BOOK,6/30/96,12/9/05,0,0,0,5,1
DAW001038 .M46  1999,DAW1038 .M46 1999,3579070,ALDERMAN,1999,"Menschen, Ideen, Ereignisse in der Mitte Europas : Festschrift für Rudolf Lill zum 65. Geburtstag /",,X004548180,STACKS,STACKS,BOOK,11/6/00,1/1/00,0,0,0,0,1
DAW001038 .O88  2000,DAW1038 .O88 2000,3570496,ALDERMAN,2000,"Ottomans, Hungarians, and Habsburgs in Central Europe : the military confines in the era of Ottoman conquest /",,X004438907,STACKS,STACKS,BOOK,10/19/00,3/28/13,1,9,1,16,1
DAW001038 .R43  1999,DAW1038 .R43 1999,2866944,ALDERMAN,1999,Regions in Central Europe : the legacy of history /,,X004412090,STACKS,STACKS,BOOK,1/7/99,2/28/10,0,0,0,6,1
