Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DE 000001 .A28  V.1,DE1 .A28 v.1,2413317,ALDERMAN,1988,East and west : cultural relations in the ancient world /,,X002642519,STACKS,STACKS,BOOK,7/1/96,11/20/02,0,0,6,3,3
DE 000001 .A28  V.5,DE1 .A28 v.5,2381198,ALDERMAN,1993,Aspects of Hellenism in Italy : towards a cultural unity? /,,X002600173,STACKS,STACKS,BOOK,7/1/96,4/25/14,0,0,2,5,1
DE 000001 .C3  V.000001 NO.000001,DE1 .C3 v.1 no.1,189564,ALDERMAN,1929,"New aspects of the Menon painter,","Smith, H. R. W. (Henry Roy William),",X000868488,STACKS,STACKS,BOOK,6/28/96,8/29/17,0,0,0,1,1
DE 000001 .C3  V.000001 NO.000002,DE1 .C3 v.1 no.2,420892,ALDERMAN,1930,"The ""armed Aphrodite"" on Acrocorinth and the Aphrodite of Capua,","Broneer, Oscar,",X000868490,STACKS,STACKS,BOOK,6/29/96,11/17/11,0,0,0,3,1
DE 000001 .C3  V.000001 NO.000003,DE1 .C3 v.1 no.3,421376,ALDERMAN,1932,"The origin of Chalcidian ware,","Smith, H. R. W. (Henry Roy William),",X000868487,STACKS,STACKS,BOOK,6/29/96,1/26/11,0,0,0,2,1
"DE 000001 .C3  V.000001 NO.000006-000007,000012","DE1 .C3 v.1 no.6-7,12",2357763,ALDERMAN,1937,"On the Athenian theater before 441 B.C.,","Allen, James Turney,",X002540086,STACKS,STACKS,BOOK,7/1/96,1/26/11,0,0,0,3,1
DE 000001 .C3  V.000002 NO.000003,DE1 .C3 v.2 no.3,331299,ALDERMAN,1977,Supralineate abbreviations in Latin inscriptions /,"Gordon, Arthur E. (Arthur Ernest),",X000049660,STACKS,STACKS,BOOK,6/28/96,1/26/11,0,0,0,0,1
DE 000001 .C3  V.000002 NO.000005 001952,DE1 .C3 v.2 no.5 1952,2269393,ALDERMAN,1952,"Quintus Veranius, consul A.D. 49; a study based upon his recently identified sepulchral inscription.","Gordon, Arthur E. (Arthur Ernest),",X002399892,STACKS,STACKS,BOOK,7/1/96,10/31/17,0,0,1,4,1
DE 000001 .C3  V.000003 NO.000001 001946,DE1 .C3 v.3 no.1 1946,2269394,ALDERMAN,1946,"The figure of Dionysos on the Siphnian frieze,","Lenzen, Victor Fritz,",X002589159,STACKS,STACKS,BOOK,7/1/96,10/31/17,0,0,1,9,1
DE 000001 .C3  V.000003 NO.000003 001957,DE1 .C3 v.3 no.3 1957,2269395,ALDERMAN,1957,"Contributions to the palaeography of Latin inscriptions,","Gordon, Joyce Anna (Stiefbold)",X002399890,STACKS,STACKS,BOOK,7/1/96,10/31/17,0,0,1,0,1
DE 000001 .C3  V.000004 NO.000004,DE1 .C3 v.4 no.4,2269396,ALDERMAN,1963,Ancient Athenian calendars on stone.,"Pritchett, W. Kendrick (William Kendrick),",X000836390,STACKS,STACKS,BOOK,7/1/96,1/26/11,0,0,0,0,1
DE 000001 .L58  1993,DE1 .L58 1993,2465223,ALDERMAN,1993,Tria Lustra: Essays and notes presented to John Pinsent founder and editor of Liverpool Classical Monthly by some of its contributors on the occasion of the 150th issue/,,X002712204,STACKS,STACKS,BOOK,7/1/96,2/6/19,1,0,20,18,1
DE 000001 .S9  V.000002 002000,DE1 .S9 v.2 2000,3788591,ALDERMAN,1998,Syggraph? : materiali e appunti per lo studio della storia e della letteratura antica /,,X004562878,STACKS,STACKS,BOOK,10/31/01,3/12/19,0,0,1,1,1
DE 000010 .D5  1932  V.3,DE10 .D5 1932 v.3,954652,ALDERMAN,1932,"The legacy of Alexander; a history of the Greek world from 323 to 146 B. C.,","Cary, M. (Max),",X031871093,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DE 000010 .M34  1920,DE10 .M34 1920,7277300,ALDERMAN,1920,L'antiquite : orient-Grece-Rome : redige conformement aux programmes du 3i mai 1902,"Malet, Albert",X031871278,STACKS,STACKS,BOOK,11/2/17,1/1/00,0,0,0,0,1
DE 000010 .R6  1928,DE10 .R6 1928,308438,ALDERMAN,1928,"The story of Greece and Rome; their growth and their legacy to our western world,","Robertson, John Charles,",X000236956,STACKS,STACKS,BOOK,6/28/96,4/22/97,0,0,0,2,2
DE 000100 .C35  1996,DE100 .C35 1996,2647742,ALDERMAN,1996,Navigating regional dynamics in the post-cold war world : patterns of relations in the Mediterranean area /,"Calleya, Stephen C.",X004045878,STACKS,STACKS,BOOK,2/4/97,1/1/00,0,0,0,0,1
DE 000100 .C66  1972,DE100 .C66 1972,610080,ALDERMAN,1974,"The Western Mediterranean: its political, economic, and strategic importance.",Conference on the Western Mediterranean,X000493728,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,1,2
DE 000100 .C665  NO.000012,DE100 .C665 no.12,2410574,ALDERMAN,1994,Géopolitique des mouvements islamistes en Méditerranée /,,X002627666,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DE 000100 .C665  NO.000003,DE100 .C665 no.3,1994349,ALDERMAN,1992,"Maghreb, la démocratie entre parenthèses? ; Confluences culturelles /",,X002134067,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,1
DE 000100 .C665  NO.000008,DE100 .C665 no.8,2297820,ALDERMAN,1993,"Balkans, l'implosion? /",,X002480221,STACKS,STACKS,BOOK,7/1/96,4/26/00,0,0,0,2,1
DE 000100 .C67  1983,DE100 .C67 1983,141425,ALDERMAN,1983,The Contemporary Mediterranean world /,,X000505218,STACKS,STACKS,BOOK,6/28/96,10/23/01,0,0,1,2,1
DE 000100 .C675  2006,DE100 .C675 2006,4409057,ALDERMAN,2006,The convergence of civilizations : constructing a Mediterranean Region /,,X030107906,STACKS,STACKS,BOOK,10/25/06,5/20/13,1,0,1,5,1
DE 000100 .C76  1988,DE100 .C76 1988,1379812,ALDERMAN,1988,Géopolitique de la Méditerranée /,"Crouzatier, Jean-Marie.",X001617343,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,1,1
DE 000100 .D48  2010,DE100 .D48 2010,5213188,ALDERMAN,2010,Deux Méditerranées : les voies de la mondialisation et de l'autonomie /,,X030781184,STACKS,STACKS,BOOK,9/8/10,6/14/11,0,0,0,10,1
DE 000100 .G46  1993,DE100 .G46 1993,2232921,ALDERMAN,1993,"Genèse de l'Etat moderne en Méditerranée : approches historique et anthropologique des pratiques et des représentations : actes des tables rondes internationales tenues à Paris les 24, 25 et 26 septembre 1987 et les 18 et 19 mars 1988.",,X002303396,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DE 000100 .L49,DE100 .L49,377181,ALDERMAN,1976,The strategic balance in the Mediterranean /,"Lewis, Jesse W. (Jesse Walter),",X000529677,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DE 000100 .M36,DE100 .M36,244616,ALDERMAN,1977,al-Ba?r al-Abya? al-Mutawassi? f? al-istir?tij?yah al-dawl?yah /,"Miqlad, Ism???l ?abr?.",X001100011,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DE 000100 .M42  1994  V.000001,DE100 .M42 1994 v.1,2395835,ALDERMAN,1994,Mediterranean politics /,,X002588659,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,1,0,1
DE 000100 .M42  1994  V.000002,DE100 .M42 1994 v.2,2395835,ALDERMAN,1994,Mediterranean politics /,,X004340705,STACKS,STACKS,BOOK,11/17/99,1/1/00,0,0,0,0,1
DE 000100 .M43  1984,DE100 .M43 1984,20541,ALDERMAN,1984,The Mediterranean region : economic interdependence and the future of security /,,X000690663,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
DE 000100 .W54  1984,DE100 .W54 1984,14166,ALDERMAN,1984,"Southern Europe transformed : political and economic change in Greece, Italy, Portugal and Spain /","Williams, Allan M.",X000875864,STACKS,STACKS,BOOK,6/28/96,5/2/97,0,0,0,18,1
DE 000100 .X46  2001,DE100 .X46 2001,3725963,ALDERMAN,2001,The emerging Euro-Mediterranean system /,"Xenakis, Dimitris.",X004521686,STACKS,STACKS,BOOK,6/12/01,1/1/00,0,0,0,0,1
DE 000100 .Z67,DE100 .Z67,215861,ALDERMAN,1980,La Méditerranée sans les Grands? /,"Zorgbibe, Charles.",X000238409,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
DE 000015 .F76  2014,DE15 .F76 2014,6384345,ALDERMAN,2014,From abortion to pederasty : addressing difficult topics in the classics classroom /,,X031658614,STACKS,STACKS,BOOK,9/3/14,4/24/18,3,1,0,4,1
DE 000015.5 .E97  D37  1994,DE15.5 .E97 D37 1994,2635207,ALDERMAN,1994,Datenbanken in der alten Geschichte/,,X006016818,STACKS,STACKS,BOOK,12/10/96,5/20/97,0,0,0,2,1
DE 000015.5 .F5  A34,DE15.5 .F5 A34,222167,ALDERMAN,1980,"Classical studies in Finland, 1828-1918 /","Aalto, Pentti,",X000448439,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DE 000015.5 .G3  H37  2013,DE15.5 .G3 H37 2013,6161375,ALDERMAN,2013,Winckelmann and the invention of Antiquity : history and aesthetics in the age of Altertumswissenschaft /,"Harloe, Katherine,",X031620876,STACKS,STACKS,BOOK,11/28/13,9/20/17,4,33,0,37,1
DE 000015.5 .S65  G47,DE15.5 .S65 G47,183289,ALDERMAN,1980,Die Geschichte des Altertums im Spiegel der sowjetischen Forschung /,,X000446797,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DE 000015.5 .U6  R44  1984,DE15.5 .U6 R44 1984,673295,ALDERMAN,1984,Classica Americana : the Greek and Roman heritage in the United States /,"Reinhold, Meyer,",X000667123,STACKS,STACKS,BOOK,6/29/96,5/11/18,3,6,5,66,1
DE 000015.5 .U6  R44  1984,DE15.5 .U6 R44 1984,673295,ALDERMAN,1984,Classica Americana : the Greek and Roman heritage in the United States /,"Reinhold, Meyer,",X004308191,STACKS,CHECKEDOUT,BOOK,4/14/99,3/6/19,2,56,2,73,4
DE 000002 .D422  NO.29,DE2 .D422 no.29,1680319,ALDERMAN,1989,"Imperii insignia, sella curulis und fasces : zur Repräsentation römischer Magistrate /","Schäfer, Thomas.",X001779173,STACKS,STACKS,BOOK,6/30/96,2/10/12,1,0,0,4,1
DE 000002.5 .A86  1996,DE2.5 .A86 1996,2641718,ALDERMAN,1996,Aspects of Hellenistic kingship /,,X004067866,STACKS,CHECKEDOUT,BOOK,1/16/97,2/20/19,2,9,2,16,1
DE 000002.5 .H47  2017,DE2.5 .H47 2017,7329365,ALDERMAN,2017,"L'héritage grec des colonies romaines d'Orient : interactions culturelles dans les provinces hellénophones de l'empire romain : actes du colloque de Strasbourg, 8-9 novembre 2013 /",,X031841980,STACKS,STACKS,BOOK,1/8/18,2/5/18,1,0,0,1,3
DE 000002.5 .M52  1998,DE2.5 .M52 1998,2847484,ALDERMAN,1998,"Das Mittelmeer, die Wiege der europäischen Kultur /",,X004236415,STACKS,STACKS,BOOK,10/28/98,1/1/00,0,0,0,0,1
DE 000002.5 .O47  1996,DE2.5 .O47 1996,2956632,ALDERMAN,1998,"Akten des 6. Österreichischen Althistorikertages : 21.-23.11.1996, Institut für Alte Geschichte der Universität Innsbruck /",Österreichischer Althistorikertag,X004340925,STACKS,STACKS,BOOK,10/19/99,1/26/11,0,0,0,0,1
DE 000002.5 .O78  2002,DE2.5 .O78 2002,4326756,ALDERMAN,2005,"Die Geschichte der Antike aktuell : Methoden, Ergebnisse und Rezeption : Akten des 9. gesamtösterreichischen Althistorikertages 2002 und der V. Internationalen Table Ronde zur Geschichte der Alpen-Adria-Region in der Antike (Klagenfurt, 14.11-17.11.2002) /",Österreichischer Althistorikertag,X004847720,STACKS,STACKS,BOOK,11/9/05,1/1/00,0,0,1,0,1
DE 000002.5 .R48  2005,DE2.5 .R48 2005,4225588,ALDERMAN,2005,Rethinking the Mediterranean /,,X004839711,STACKS,STACKS,BOOK,2/10/05,3/28/13,1,4,0,14,1
DE 000002.5 .S63  2004,DE2.5 .S63 2004,4222302,ALDERMAN,2004,"Società e cultura in età tardoantica : atti dell'Incontro di studi, Udine, 29-30 maggio 2003 /",,X004844592,STACKS,STACKS,BOOK,1/25/05,1/1/00,0,0,0,0,1
DE 000024 .G46  2000,DE24 .G46 2000,3855436,ALDERMAN,2000,Geographie und verwandte Wissenschaften /,,X004623706,STACKS,STACKS,BOOK,6/6/02,8/14/08,0,0,1,1,1
DE 000025 .G72  1986,DE25 .G72 1986,687230,ALDERMAN,1986,A guide to the ancient world : a dictionary of classical place names /,"Grant, Michael,",X001186322,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DE 000025 .L48  FASC.000001,DE25 .L48 fasc.1,2264931,ALDERMAN,1992,"Lexicon of the Greek and Roman cities and place names in antiquity, ca. 1500 B.C. - ca. A.D. 500 /",,X030685414,STACKS,STACKS,BOOK,9/20/13,11/1/17,0,0,0,0,2
DE 000025 .L48  FASC.000010,DE25 .L48 fasc.10,2264931,ALDERMAN,1992,"Lexicon of the Greek and Roman cities and place names in antiquity, ca. 1500 B.C. - ca. A.D. 500 /",,X031070668,STACKS,STACKS,BOOK,12/13/11,9/20/13,0,0,0,0,1
