Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DF 000010 .J8  V.33  SUPPL.,DF10 .J8 v.33 suppl.,989000,ALDERMAN,1914,A catalogue of lantern slides in the library of the Societies for the promotion of Hellenic and Roman studies-- ... Supplementary catalogue of lantern slides in the joint collection of the Societies for the promotion of Hellenic and roman studies.,,989000-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DF 000100 .B47  1982,DF100 .B47 1982,662840,ALDERMAN,1982,"Les rôles du mágeiros : études sur la boucherie, la cuisine et le sacrifice dans la Grèce ancienne /","Berthiaume, Guy.",X000599527,STACKS,CHECKEDOUT,BOOK,6/29/96,6/20/18,3,3,0,12,1
DF 000100 .D68  2014,DF100 .D68 2014,7210871,ALDERMAN,2014,"Food for thought : dietary habits in the Bronze Age city at Akrotiri, Thera (3200-1600 BC) /","D?oumas, Christos,",X031789325,STACKS,STACKS,BOOK,7/25/17,1/1/00,0,0,0,0,1
DF 000100 .G3  1984,DF100 .G3 1984,779248,ALDERMAN,1984,Alimentazione e demografia della Grecia antica /,"Gallo, Luigi.",X001255040,STACKS,STACKS,BOOK,6/29/96,4/28/08,0,0,0,3,1
DF 000100 .H65  2013,DF100 .H65 2013,5997159,ALDERMAN,2013,The symposion in ancient Greek society and thought /,"Hobden, Fiona.",X031613073,STACKS,STACKS,BOOK,5/3/13,11/13/18,4,7,0,11,1
DF 000100 .S259  2005,DF100 .S259 2005,6744945,ALDERMAN,2005,L'arte del convito nella Grecia antica : l'evoluzione del gusto da Achille ad Alessandro Magno : con ricette /,"Salza Prina Ricotti, Eugenia.",X031672856,STACKS,STACKS,BOOK,6/15/16,2/8/17,1,0,0,1,1
DF 000100 .S96  1994,DF100 .S96 1994,2260012,ALDERMAN,1994,Sympotica : a symposium on the symposion /,,X002559488,STACKS,CHECKEDOUT,BOOK,7/1/96,2/20/19,4,10,11,88,1
DF 000100 .V67  2004,DF100 .V67 2004,4217535,ALDERMAN,2004,Mensa regia : das Bankett beim hellenistischen König und beim römischen Kaiser /,"Vössing, Konrad.",X004855306,STACKS,STACKS,BOOK,12/22/04,11/9/17,1,0,1,3,1
DF 000101 .G754  2013,DF101 .G754 2013,6415789,ALDERMAN,2013,"Griechische Grabbezirke klassischer Zeit : Normen und Regionalismen : Akten des internationalen Kolloquiums am Deutschen Archäologischen Institut, Abteilung Athen, 20.-21. November 2009 /",,X031656776,STACKS,STACKS,BOOK,10/7/14,10/27/14,1,0,1,1,1
DF 000101 .K87  1971,DF101 .K87 1971,546427,ALDERMAN,1971,Greek burial customs,"Kurtz, Donna C.",X000115922,STACKS,CHECKEDOUT,BOOK,6/29/96,5/10/18,6,11,2,58,1
DF 000101 .K87  1971,DF101 .K87 1971,546427,ALDERMAN,1971,Greek burial customs,"Kurtz, Donna C.",X001609335,STACKS,STACKS,BOOK,6/29/96,2/8/16,1,2,2,48,1
DF 000101 .K87  1971,DF101 .K87 1971,546427,CLEMONS,1971,Greek burial customs,"Kurtz, Donna C.",X000115923,BY-REQUEST,BY-REQUEST,BOOK,6/29/96,6/23/09,0,0,0,18,2
DF 000101 .L49  2000,DF101 .L49 2000,3682647,ALDERMAN,2000,Late Helladic simple graves : a study of Mycenaean burial customs /,"Lewartowski, Kazimierz.",X006101634,STACKS,CHECKEDOUT,BOOK,1/19/01,1/20/14,1,0,1,5,1
DF 000101 .M67  1987,DF101 .M67 1987,774285,ALDERMAN,1987,Burial and ancient society : the rise of the Greek city-state /,"Morris, Ian,",X001275927,STACKS,STACKS,BOOK,6/29/96,5/9/15,1,7,2,92,1
DF 000105 .C435  2003,DF105 .C435 2003,4000847,ALDERMAN,2003,"L'élevage en Grèce, fin Ve-fin Ier siècle a.C. : l'apport des sources épigraphiques /","Chandezon, Christophe.",X004779076,STACKS,CHECKEDOUT,BOOK,1/20/04,3/5/18,2,0,1,2,1
DF 000105 .M37  2009,DF105 .M37 2009,5075743,ALDERMAN,2009,L'agriculture dans la Grèce du IVe siècle avant J-C : le témoignage de Xénophon /,"Marein, Marie-Françoise.",X030694591,STACKS,STACKS,BOOK,12/30/09,10/22/11,0,0,1,1,1
DF 000107 .B747  2000,DF107 .B747 2000,3706379,ALDERMAN,2000,La cité marchande /,"Bresson, Alain.",X004569687,STACKS,STACKS,BOOK,4/4/01,4/28/08,0,0,0,2,1
