Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DJ 000104 .V65,DJ104 .V65,28440,ALDERMAN,1982,Vrouwen in het landsbestuur : van Adela van Hamaland tot en met Koningin Juliana : vijftien biografische opstellen /,,X000913906,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
DJ 000104 .W54  R66  1978,DJ104 .W54 R66 1978,195186,ALDERMAN,1978,Willem van Oranje /,"Roosbroeck, Robert van,",X000542224,STACKS,STACKS,BOOK,6/28/96,2/9/11,0,0,0,0,1
DJ 000105 .J87,DJ105 .J87,471011,ALDERMAN,1974,"De Nederlandse ministers van buitenlandse zaken, 1813-1900.","Jurriaanse, Maria Wilhelmina,",X000282080,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,2,2
DJ 000105 .P83  1984,DJ105 .P83 1984,86222,ALDERMAN,1984,Nederlandse minister-presidenten van de twintigste eeuw /,"Puchinger, G.",X000864616,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DJ 000105.7 .K5  1965,DJ105.7 .K5 1965,492820,ALDERMAN,1965,De Trippen in de 17e eeuw : een studie over het ondernemersgedrag op de Hollandse stapelmarkt /,"Klein, P. W.",X000011080,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,2,1
DJ 000106.5 .N48  1969,DJ106.5 .N48 1969,2470250,ALDERMAN,1969,Bibliografisch vademecum voor de leraar Nederlands /,"Neuts, E. F.",X002709045,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
DJ 000109 .A6  1841  D.000001,DJ109 .A6 1841 d.1,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X032050309,STACKS,STACKS,BOOK,11/3/17,1/1/00,0,0,0,0,1
DJ 000109 .A6  1841  D.000002 STUK000001,DJ109 .A6 1841 d.2 stuk1,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X032050310,STACKS,STACKS,BOOK,11/3/17,1/1/00,0,0,0,0,1
DJ 000109 .A6  1841  D.000002 STUK000002,DJ109 .A6 1841 d.2 stuk2,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X004332874,STACKS,STACKS,BOOK,6/29/96,12/12/17,0,0,0,0,1
DJ 000109 .A6  1841  D.000002 STUK000003,DJ109 .A6 1841 d.2 stuk3,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X032050311,STACKS,STACKS,BOOK,11/3/17,1/1/00,0,0,0,0,1
DJ 000109 .A6  1841  D.000002 STUK000004,DJ109 .A6 1841 d.2 stuk4,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X032050312,STACKS,STACKS,BOOK,11/3/17,1/1/00,0,0,0,0,1
DJ 000109 .A6  1841  D.000002 STUK000005,DJ109 .A6 1841 d.2 stuk5,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X032050313,STACKS,STACKS,BOOK,11/3/17,1/1/00,0,0,0,0,1
DJ 000109 .A6  1841  D.000002 STUK000006,DJ109 .A6 1841 d.2 stuk6,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X032050314,STACKS,STACKS,BOOK,11/3/17,1/1/00,0,0,0,0,1
DJ 000109 .A6  1841  D.000003 STUK000001,DJ109 .A6 1841 d.3 stuk1,950017,ALDERMAN,1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),",X032050253,STACKS,STACKS,BOOK,11/2/17,1/1/00,0,0,0,0,1
DJ 000109 .B3  1939,DJ109 .B3 1939,950018,ALDERMAN,1939,Holland's house; a nation building a home; a short story,"Balluseck, Daniel Johannes von,",X030587148,STACKS,STACKS,BOOK,6/29/96,2/9/11,0,0,1,0,1
DJ 000109 .B65  1892  V.000001,DJ109 .B65 1892 v.1,950019,ALDERMAN,1892,"Geschiedenis van het nederlandsche volk,","Blok, P. J. (Petrus Johannes),",X032050254,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
DJ 000109 .B65  1892  V.000002,DJ109 .B65 1892 v.2,950019,ALDERMAN,1892,"Geschiedenis van het nederlandsche volk,","Blok, P. J. (Petrus Johannes),",X032050255,STACKS,STACKS,BOOK,11/2/17,1/1/00,0,0,0,0,1
