Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DP 000001 .T4  NO.542  1976,DP1 .T4 no.542 1976,6369164,ALDERMAN,1976,Pablo Casals /,"Alavedra, Joan,",X031648746,STACKS,STACKS,BOOK,7/24/14,1/1/00,0,0,0,0,1
DP 000100 .A99  2013,DP100 .A99 2013,6244490,ALDERMAN,2013,?A?r al-?aw??if f? al-Andalus min khil?l ras??il d?w?n?yah : al-qarn al-kh?mis al-Hijr?/11 M /,"?Azz?w?, A?mad.",X031635249,STACKS,STACKS,BOOK,4/18/14,1/1/00,0,0,0,0,1
DP 000100 .D45  2013,DP100 .D45 2013,6549517,ALDERMAN,2013,Del Nilo al Guadalquivir : II estudios sobre las fuentes de la conquista islámica : homenaje al profesor Yves Modéran /,,X031729880,STACKS,STACKS,BOOK,4/24/15,4/25/17,3,2,0,5,1
DP 000100 .H6,DP100 .H6,216688,ALDERMAN,1965,Spanisch-Islamische Urkunden aus der Zeit der Na?riden und Moriscos.,"Hoenerbach, Wilhelm",X000749720,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
DP 000100 .L55,DP100 .L55,149100,ALDERMAN,1973,"Teodomiro de Oriola, su vida y su obra","Llobregat Conesa, Enrique.",X000596909,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
DP 000100 .S3  1946  V.000001,DP100 .S3 1946 v.1,346252,ALDERMAN,1946,"La España musulmana, según los autores islamitas y cristianos medievales.","Sánchez-Albornoz, Claudio,",X000372719,STACKS,CLEM-RESV,BOOK,6/28/96,3/24/09,0,0,3,3,1
DP 000100 .S3  1946  V.000002,DP100 .S3 1946 v.2,346252,ALDERMAN,1946,"La España musulmana, según los autores islamitas y cristianos medievales.","Sánchez-Albornoz, Claudio,",X030553179,STACKS,CHECKEDOUT,BOOK,5/14/09,2/28/19,2,1,0,3,1
DP 000100 .S3  1973  V.000001,DP100 .S3 1973 v.1,949669,ALDERMAN,1973,"La España musulmana,","Sánchez-Albornoz, Claudio,",X000371410,STACKS,CLEM-RESV,BOOK,6/29/96,11/2/03,0,0,1,10,2
DP 000100 .S3  1973  V.000002,DP100 .S3 1973 v.2,949669,ALDERMAN,1973,"La España musulmana,","Sánchez-Albornoz, Claudio,",X000891461,STACKS,CLEM-RESV,BOOK,6/29/96,9/28/03,0,0,2,6,1
DP 000100 .V28  2006,DP100 .V28 2006,4599024,ALDERMAN,2006,Sobre el pergamino y láminas de Granada /,"Valencia, Pedro de,",X030243628,STACKS,STACKS,BOOK,6/15/07,2/18/11,0,0,0,1,1
