Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
DR 000001 .B365  SB.2,DR1 .B365 sb.2,2266289,ALDERMAN,1993,Simvolicheski? i?azyk tradit?sionno? kul?tury  /,,X002455794,STACKS,STACKS,BOOK,7/1/96,5/11/99,0,0,0,2,1
DR 000001 .B365  SB.3,DR1 .B365 sb.3,2387361,ALDERMAN,1994,Lingvo-?tnokul?turnai?a istorii?a Balkan i Vostochno? Evropy : tezisy i materialy simpoziuma /,,X006035866,STACKS,STACKS,BOOK,7/1/96,3/1/11,0,0,0,1,1
DR 000001 .B4  1966,DR1 .B4 1966,958996,ALDERMAN,1966,Beiträge zur Südosteuropa-Forschung.,,X002403690,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,2,1
DR 000001 .B45  BD.000014,DR1 .B45 Bd.14,2526967,ALDERMAN,1969,Die Eroberung von Kasan 1552 als Gegenstand der zeitgenössischen russischen Historiographie /,,X002705528,STACKS,STACKS,BOOK,7/1/96,3/1/11,0,0,0,0,1
DR 000001 .B45  BD.000016,DR1 .B45 Bd.16,2503052,ALDERMAN,1972,Die sowjetische Politik auf dem Gebiet der bildenden Kunst von 1917 [neunzehnhundertsiebzehn] bis 1934 [neunzehnhundertvierunddreissig] /,"Drengenberg, Hans-Jürgen,",X002708599,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
DR 000001 .B45  BD.000017-000018 001973,DR1 .B45 Bd.17-18 1973,2503053,ALDERMAN,1973,Politische und gesellschaftliche Vorstellungen in der Aufstandsbewegung unter Pugacev (1773-1775).,"Peters, Dorothea.",X002708601,STACKS,STACKS,BOOK,7/1/96,11/7/17,0,0,1,0,1
DR 000001 .B45  BD.000019-000020 001973,DR1 .B45 Bd.19-20 1973,2499059,ALDERMAN,1973,"Die Petersburger religiös-philosophischen Vereinigungen : die Entwicklung d. religiösen Selbstverständnisses ihrer Intelligencija-Mitglieder, (1901-1917) /","Scherrer, Jutta.",X002694570,STACKS,STACKS,BOOK,7/1/96,11/7/17,0,0,1,0,1
DR 000001 .B45  BD.000022-000023 001975-001976,DR1 .B45 Bd.22-23 1975-1976,2499049,ALDERMAN,1975,Die Struktur der russischen Posadgemeinden und der Katalog der Beschwerden und Forderungen der Kaufmannschaft (1762-1767) /,"Knabe, Bernd.",X002708607,STACKS,STACKS,BOOK,7/1/96,11/7/17,0,0,0,0,1
DR 000001 .B45  BD.000024-000026,DR1 .B45 Bd.24-26,2499039,ALDERMAN,1978,"Beiträge zur 3. Internationalen Konferenz über altrussische Geschichte. (Oxford, 1.-4. 9. 1975) /",Internationale Konferenz über Altrussische Geschichte,X002708603,STACKS,STACKS,BOOK,7/1/96,3/1/11,0,0,0,0,1
DR 000001 .B45  BD.000027,DR1 .B45 Bd.27,2499032,ALDERMAN,1980,"Beiträge zur 4. Internationalen Konferenz über Altrussische Geschichte. Begunov, ""Weisse Rus"" /",Internationale Konferenz über Altrussische Geschichte,X002694520,STACKS,STACKS,BOOK,7/1/96,3/1/11,0,0,0,0,1
