Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HF 000001 .A27  V.000003 001945-000046,HF1 .A27 v.3 1945-46,7307766,ALDERMAN,1946,Adventures in business /,"Wilson, Nichols Field.",X031874372,STACKS,STACKS,BOOK,11/30/17,1/1/00,0,0,0,0,1
HF 001001 .A3  1989,HF1001 .A3 1989,1641788,ALDERMAN,1989,Longman dictionary of business English /,"Adam, J. H.",X001702769,STACKS,STACKS,BOOK,6/30/96,9/24/09,0,0,0,2,1
HF 001001 .B36  2002,HF1001 .B36 2002,3964215,ALDERMAN,2002,The new Penguin business dictionary /,"Bannock, Graham,",X004659462,STACKS,STACKS,BOOK,8/26/03,9/24/09,0,0,0,0,1
HF 001001 .C475  1986,HF1001 .C475 1986,2260238,ALDERMAN,1986,Jing ji da ci dian. Jingji da cidian /,,X031879433,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HF 001001 .C63  2006,HF1001 .C63 2006,4359175,ALDERMAN,2006,A dictionary of business and management /,,X004836167,STACKS,STACKS,BOOK,4/5/06,4/18/06,0,0,0,0,1
HF 001001 .C7  1930,HF1001 .C7 1930,1134782,ALDERMAN,1930,Crowell's dictionary of business and finance.,,X000375984,STACKS,STACKS,BOOK,6/29/96,2/25/11,0,0,0,0,1
HF 001001 .I482  1978,HF1001 .I482 1978,168350,ALDERMAN,1978,V??ijya paribh?sh? ko?a.,India. Central Hindi Directorate.,X031879406,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HF 001001 .K7  1984,HF1001 .K7 1984,85905,ALDERMAN,1984,Kratki? vneshne?konomicheski? slovar? /,,X001016870,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,2
HF 001001 .M248  1847  V.000001,HF1001 .M248 1847 V.1,1134788,ALDERMAN,1847,Commercial statistics...,"MacGregor, John.",X000981305,STACKS,STACKS,BOOK,6/29/96,9/24/09,0,0,0,1,1
HF 001001 .M248  1847  V.000002,HF1001 .M248 1847 V.2,1134788,ALDERMAN,1847,Commercial statistics...,"MacGregor, John.",X000981303,STACKS,STACKS,BOOK,6/29/96,9/24/09,0,0,0,0,1
HF 001001 .M248  1847  V.000003,HF1001 .M248 1847 V.3,1134788,ALDERMAN,1847,Commercial statistics...,"MacGregor, John.",X000981284,STACKS,STACKS,BOOK,6/29/96,9/24/09,0,0,0,1,1
HF 001001 .M87,HF1001 .M87,510776,ALDERMAN,1966,"Dizionario commerciale inglese/italiano, italinano/inglese : economia, legge, finanza, amministrazione, banca, borsa, assicurazione, scambi, commercio estero e maritimo, trasporti, dogane, ecc. /","Motta, Giuseppe",X004215327,STACKS,STACKS,BOOK,6/29/96,9/24/09,0,0,0,0,1
HF 001001 .P68  2010,HF1001 .P68 2010,5266036,ALDERMAN,2010,Pocket dictionary of business /,,X030744043,STACKS,STACKS,BOOK,12/21/10,1/1/00,0,0,0,0,1
HF 001001 .Q24,HF1001 .Q24,225813,ALDERMAN,1978,"Encyclopaedic dictionary of economics & commerce for accountants, businessmen, bankers, lawyers, students of economics and commerce /","Qari, M. Anees.",X031879407,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,2
HF 001001 .R48  1996,HF1001 .R48 1996,2520171,ALDERMAN,1996,Reuters glossary of international financial & economic terms /,,X002779494,STACKS,STACKS,BOOK,7/1/96,2/25/11,0,0,0,0,1
HF 001001 .S348  2009,HF1001 .S348 2009,4869871,ALDERMAN,2009,The American Heritage dictionary of business terms /,"Scott, David Logan,",X030466567,STACKS,STACKS,BOOK,4/28/09,4/28/09,0,0,0,0,1
HF 001001 .S6  1967,HF1001 .S6 1967,815911,ALDERMAN,1967,Pitman's business man's guide: a comprehensive dictionary of commercial information.,,X000464851,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HF 001001 .S88  2004,HF1001 .S88 2004,4022215,ALDERMAN,2004,Key concepts in business practice /,"Sutherland, Jonathan.",X004743671,STACKS,STACKS,BOOK,4/15/04,1/1/00,0,0,1,0,1
HF 001001 .T43  1989,HF1001 .T43 1989,1349829,ALDERMAN,1989,Dictionary for business & finance /,"Terry, John V.,",X001591338,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
HF 001001 .T7  2000,HF1001 .T7 2000,3570733,ALDERMAN,2000,"Trade, travel, and exploration in the Middle Ages : an encyclopedia /",,X004438917,STACKS,STACKS,BOOK,10/19/00,5/12/14,1,1,1,53,2
HF 001001 .W34,HF1001 .W34,181047,ALDERMAN,1976,[Wa-Ei b?cki jitsuy? jiten (romanized form)] = the Japanese-English dictionary of trade and business /,,X000668585,STACKS,STACKS,BOOK,6/28/96,9/24/09,0,0,0,1,1
HF 001002 .A234,HF1002 .A234,26980,ALDERMAN,1984,English-Arabic business dictionary /,"Abdel Haleem, M. A.",X000667158,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HF 001002 .A5,HF1002 .A5,768681,ALDERMAN,1972,"Dictionnaire des affaires; anglais-francais, francais-anglais. Delmas business dictionary; English-French, French-English /",,X000277942,STACKS,STACKS,BOOK,6/29/96,9/24/09,0,0,3,7,1
HF 001002 .A5  1991,HF1002 .A5 1991,1954897,ALDERMAN,1991,Angli?sko-b?lgarski biznes rechnik /,,X002111526,STACKS,STACKS,BOOK,6/30/96,9/24/09,0,0,0,1,1
HF 001002 .B2718  1994,HF1002 .B2718 1994,5207643,ALDERMAN,1994,"Mu?jam al-mu??ala??t al-tij?r?yah wa-al-m?l?yah wa-al-ma?raf?yah, Injil?z?, Farans?, ?Arab? /","Badaw?, A?mad Zak?,",X030760878,STACKS,STACKS,BOOK,8/25/10,5/29/17,1,8,0,9,1
HF 001002 .B795  1977,HF1002 .B795 1977,335717,ALDERMAN,1977,Dicionário de siglas em comércio exterior /,"Brunner, Victor,",X000048437,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HF 001002 .C4  1981,HF1002 .C4 1981,2256526,ALDERMAN,1981,Fa Han tui wai mao i hsiao tz?u tien = Petit dictionnaire français-chinois du commerce extérieur /,"Zhang, Zuyao.",X031879466,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HF 001002 .C49  1957,HF1002 .C49 1957,1134796,ALDERMAN,1957,Dictionary of business and finance /,"Clark, Donald Thomas,",1134796-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HF 001002 .C523  1930  V.000001,HF1002 .C523 1930 V.1,1134798,ALDERMAN,1930,"Langenscheidts handelswörterbuch der englischen und deutschen sprache,","Clark, James Midgley,",X000926221,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HF 001002 .C523  1930  V.000002,HF1002 .C523 1930 V.2,1134798,ALDERMAN,1930,"Langenscheidts handelswörterbuch der englischen und deutschen sprache,","Clark, James Midgley,",X000926209,STACKS,STACKS,BOOK,6/29/96,10/20/09,0,0,0,1,1
HF 001002 .C53  2002,HF1002 .C53 2002,3933735,ALDERMAN,2002,Cheng & Tsui English-Chinese lexicon of business terms : with Pinyin /,"Chang, A. C. (Andrew C.),",X004699037,STACKS,STACKS,BOOK,4/8/03,1/1/00,0,0,0,0,1
