Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HG 000001 .P7  NO.1-2,HG1 .P7 no.1-2,2243135,ALDERMAN,1965,The cloakroom rule of international reserves : reserve creation and resources transfer /,"Machlup, Fritz,",X004346173,STACKS,STACKS,BOOK,7/1/96,12/4/17,0,0,0,0,1
HG 000001 .P7  NO.10  1968,HG1 .P7 no.10 1968,2243144,ALDERMAN,1968,The price of gold /,"Machlup, Fritz,",X004428757,STACKS,STACKS,BOOK,7/1/96,9/29/09,0,0,0,0,1
HG 000001 .P7  NO.11  001968,HG1 .P7 no.11 1968,2243146,ALDERMAN,1968,The transfer gap of the United States /,"Machlup, Fritz,",X031954975,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HG 000001 .P7  NO.12  001969,HG1 .P7 no.12 1969,2243147,ALDERMAN,1969,Speculations on gold speculation /,"Machlup, Fritz,",X031954976,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HG 000001 .P7  NO.13  001970,HG1 .P7 no.13 1970,2243148,ALDERMAN,1970,Sterling and the city /,"Cohen, Benjamin J.",X031954977,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HG 000001 .P7  NO.14  001970,HG1 .P7 no.14 1970,2243149,ALDERMAN,1970,"On terms, concepts, theories and strategies in the discussion of greater flexibility of exchange rates.","Machlup, Fritz,",X031954978,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,2
HG 000001 .P7  NO.15,HG1 .P7 no.15,2243150,ALDERMAN,1970,The benefits and costs of sterling.,"Cohen, Benjamin J.",X031954979,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HG 000001 .P7  NO.16,HG1 .P7 no.16,2243151,ALDERMAN,1970,Euro-dollar creation: a mystery story.,"Machlup, Fritz,",X031954980,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HG 000001 .P7  NO.17,HG1 .P7 no.17,2243152,ALDERMAN,1971,"An econometric study of Euro-dollar borrowing by New York banks and the rate of interest on Euro-dollars,","Black, Stanley W.",X031954981,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
HG 000001 .P7  NO.18,HG1 .P7 no.18,484412,ALDERMAN,1975,"Floats, glides and indicators : a comparison of methods for changing exchange rates /","Kenen, Peter B.,",X000176297,STACKS,STACKS,BOOK,6/29/96,9/29/09,0,0,2,0,1
HG 000001 .P7  NO.19,HG1 .P7 no.19,237988,ALDERMAN,1979,"The balance of payments, exchange rates, and economic policy /","Allen, Polly Reynolds.",X000444929,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,2,1
HG 000001 .P7  NO.20,HG1 .P7 no.20,220323,ALDERMAN,1980,Asset markets and relative prices in exchange rate determination /,"Branson, William H.",X000166563,STACKS,STACKS,BOOK,6/28/96,9/29/09,0,0,0,0,1
HG 000001 .P7  NO.21,HG1 .P7 no.21,121992,ALDERMAN,1981,The analytics of a substitution account /,"Kenen, Peter B.,",X000400476,STACKS,STACKS,BOOK,6/28/96,9/29/09,0,0,0,0,1
HG 000001 .P7  NO.23,HG1 .P7 no.23,27202,ALDERMAN,1983,Use of the SDR to supplement or substitute for other means of finance /,"Kenen, Peter B.,",X000745594,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
HG 000001 .P7  NO.24,HG1 .P7 no.24,2908216,ALDERMAN,1986,"Forward rates, interest rates, and expectations under alternative exchange rate regimes /","Kenen, Peter B.,",X004308830,STACKS,STACKS,BOOK,4/29/99,9/29/09,0,0,0,0,2
HG 000001 .P7  NO.25,HG1 .P7 no.25,707457,ALDERMAN,1986,Trade and financial interdependence under flexible exchange rates : the Pacific area /,"Macedo, Jorge Braga de.",X001147766,STACKS,STACKS,BOOK,6/29/96,9/29/09,0,0,0,0,1
