Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HS 001001 .W5  1896,HS1001 .W5 1896,1631026,ALDERMAN,1896,Digest of the laws and decisions of the Sovereign Grand Lodge of the Independent Order of Odd Fellows from its organization to 1896.,"White, John Hull.",X001478830,STACKS,STACKS,BOOK,6/30/96,11/3/15,0,0,1,0,1
HS 001019 .O3  1930,HS1019 .O3 1930,1628686,ALDERMAN,1930,"Revised Odd-fellowship illustrated. The complete revised ritual of the lodge, encampment and Rebekah degrees, with the secret ""work"" added; profusely illustrated, by a past grand patriarch.  With an historical sketch of the order, and an introduction and critical analysis of the character of each degree by President J. Blanchard",Independent Order of Odd Fellows. Sovereign Grand Lodge.,X001476795,STACKS,STACKS,BOOK,6/30/96,9/14/09,0,0,0,1,1
HS 001030 .W7  1914,HS1030 .W7 1914,792146,ALDERMAN,1914,Album of Odd Fellows homes.,,X001290192,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HS 000125 .E55  1998,HS125 .E55 1998,2788118,ALDERMAN,1998,"Warrior cults : a history of magical, mystical and murderous organizations /","Elliott, Paul,",X006048485,STACKS,STACKS,BOOK,4/20/98,7/24/07,0,0,0,14,1
HS 000125 .G44  1987,HS125 .G44 1987,1786369,ALDERMAN,1987,Geheimgesellschaften und der Mythos der Weltverschwörung /,,X002058999,STACKS,STACKS,BOOK,6/30/96,9/14/09,0,0,0,1,1
HS 000125 .G65  2009,HS125 .G65 2009,5004720,CLEMONS,2009,"Cults, conspiracies, and secret societies : the straight scoop on Freemasons, the Illuminati, Skull and Bones, Black Helicopters, the New World Order, and many, many more /","Goldwag, Arthur.",X030565128,BY-REQUEST,BY-REQUEST,BOOK,9/1/09,4/23/13,2,14,1,18,1
HS 000126 .I51  1980,HS126 .I51 1980,1327470,ALDERMAN,1980,T?r?kh al-jam??y?t al-sirr?yah wa-al-?arak?t al-hadd?mah f? al-mashriq /,"?In?n, Mu?ammad ?Abd All?h,",X001504442,STACKS,STACKS,BOOK,6/30/96,9/14/09,0,0,0,0,1
HS 000126 .M3  1968A,HS126 .M3 1968a,1139193,ALDERMAN,1968,Secret societies;,"MacKenzie, Norman,",X000210217,STACKS,STACKS,BOOK,6/29/96,5/13/16,4,19,3,48,1
HS 001355 .C34  P843  1984,HS1355 .C34 P843 1984,705870,ALDERMAN,1984,"Carbonária, o, exército secreto da república /","Brandão, José.",X001189032,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HS 001355 .S63  S63  2015,HS1355 .S63 S63 2015,7562758,ALDERMAN,2015,La Sociedad Abakuá : los hijos de Ékpè /,Coloquio Internacional sobre Investigaciones de las Religiones Afroamericanas,X032404481,STACKS,STACKS,BOOK,6/4/18,1/1/00,0,0,0,0,1
HS 001355 .S64  C825  2003,HS1355 .S64 C825 2003,7516239,ALDERMAN,2003,Las celebraciones rituales festivas en la Regla de Ocha /,"Balbuena Gutiérrez, Bárbara.",X032404506,STACKS,STACKS,BOOK,5/1/18,1/1/00,0,0,0,0,1
HS 001355 .S64  C84  2003,HS1355 .S64 C84 2003,5006564,ALDERMAN,2003,The light inside : Abakuá society arts and Cuban cultural history /,"Brown, David H. (David Hilary),",X030565211,STACKS,STACKS,BOOK,9/7/09,11/19/09,0,0,0,2,1
HS 001355 .S64  C845  2009,HS1355 .S64 C845 2009,4851004,ALDERMAN,2009,Voice of the leopard : African secret societies and Cuba /,"Miller, Ivor.",X030467819,STACKS,STACKS,BOOK,3/13/09,4/22/11,0,0,0,2,1
HS 000137 .K4,HS137 .K4,1139194,ALDERMAN,1837,Secret societies of the middle ages.,"Keightley, Thomas,",X002243735,STACKS,STACKS,BOOK,6/29/96,9/16/14,2,4,1,10,1
HS 000142 .A34  1984,HS142 .A34 1984,67047,ALDERMAN,1984,"Geheimbund und Utopie : Illuminaten, Freimaurer und deutsche Spätaufklärung /","Agethen, Manfred.",X000871287,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HS 000142 .E6  1985,HS142 .E6 1985,1780609,ALDERMAN,1985,"Geschichte des Illuminaten-ordens : Ein beitrag zur geschichte Bayerns : Vorgeschichte, gründung (1776), beziehung zur Freimaurerei, verfolgung durch die Jesuiten, fortentwickelung bis zur Jetztzeit, nach authentischen Dokumenten in den Geheimen Staats-Archiven zu München, Berlin, Dresden, Gotha, Paris, Wien, dem Geheimarchiv ","Engel, Leopold,",X002114895,STACKS,STACKS,BOOK,6/30/96,9/14/09,0,0,0,4,1
HS 000142 .F3,HS142 .F3,809212,ALDERMAN,1966,Kirchberger et l'illuminisme du dix-huitième siècle.,"Faivre, Antoine,",X000926141,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HS 000142 .F45,HS142 .F45,420509,ALDERMAN,1960,Note e ricerche sugli Illuminati et il misticismo rivoluzionario (1789-1800) /,"De Felice, Renzo,",X000982377,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
HS 000142 .S38  1991,HS142 .S38 1991,1881136,ALDERMAN,1991,"Die Mitglieder des Illuminatenordens, 1776-1787/93 /","Schüttler, Hermann.",X002066988,STACKS,STACKS,BOOK,6/30/96,4/12/16,0,0,0,1,1
HS 000142 .W55  1991,HS142 .W55 1991,1894010,ALDERMAN,1991,Geheimräte gegen Geheimbünde : ein unbekanntes Kapitel der klassisch-romantischen Geschichte Weimars /,"Wilson, W. Daniel.",X002050255,STACKS,STACKS,BOOK,6/30/96,12/13/99,0,0,0,3,3
HS 000145 .R6,HS145 .R6,589934,CLEMONS,1972,The mythology of the secret societies,"Roberts, J. M. (John Morris),",X000199859,BY-REQUEST,BY-REQUEST,BOOK,6/29/96,11/11/12,1,6,1,11,1
HS 000145 .R6  1972B,HS145 .R6 1972b,593441,ALDERMAN,1972,The mythology of the secret societies,"Roberts, J. M. (John Morris),",X000079524,STACKS,STACKS,BOOK,6/29/96,3/19/13,1,12,6,32,2
HS 000145 .V26  1985,HS145 .V26 1985,768738,ALDERMAN,1985,Le società segrete dal seicento al novecento : note e documenti /,"Vannoni, Gianni,",X001010759,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,0,1
HS 000146 .F75,HS146 .F75,474948,ALDERMAN,1973,"Die Erleuchteten : gnostisch-theosophische und alchemistisch-rosenkreuzerische Geheimgesellschaften bis zum Ende des 18. Jahrhunderts, ein Beitrag zur Geistesgeschichte der Neuzeit /","Frick, Karl R. H.",X000283610,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
