Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HT 000101 .M66  2015,HT101 .M66 2015,6691348,ALDERMAN,2015,MONU #23 : participatory urbanism.,,X031782604,STACKS,STACKS,BOOK,2/16/16,3/29/16,1,0,1,1,1
HT 000101 .R39  V.1,HT101 .R39 v.1,4232201,ALDERMAN,1989,"Race, class, and urban change /",,X001608524,STACKS,STACKS,BOOK,3/18/05,12/15/12,1,0,0,2,1
HT 000101 .R39  V.7,HT101 .R39 v.7,4232198,ALDERMAN,2004,Race and ethnicity in New York city /,,X004810762,STACKS,STACKS,BOOK,3/18/05,12/15/12,1,0,1,2,1
HT 001023 .F55  1982,HT1023 .F55 1982,131085,ALDERMAN,1982,Fiscal stress in cities /,,X000505285,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,2
HT 001025 .A26  2003,HT1025 .A26 2003,3993680,ALDERMAN,2003,"The abolitions of slavery : from Léger Félcité Sonthonax to Victor Schoelcher, 1793, 1794, 1848 /",,X004702215,STACKS,STACKS,BOOK,12/9/03,4/2/18,2,0,4,15,1
HT 001025 .A37  2000,HT1025 .A37 2000,3562764,ALDERMAN,2000,After slavery : emancipation and its discontents /,,X006091665,STACKS,STACKS,BOOK,9/5/00,4/24/18,5,11,9,39,1
HT 001025 .A57,HT1025 .A57,256452,ALDERMAN,1980,"Anti-slavery, religion, and reform : essays in memory of Roger Anstey /",,X000142737,STACKS,STACKS,BOOK,6/28/96,7/2/18,4,7,3,27,1
HT 001025 .B74  1993,HT1025 .B74 1993,2253811,ALDERMAN,1993,"Breaking the chains : slavery, bondage, and emancipation in modern Africa and Asia /",,X002328065,STACKS,STACKS,BOOK,7/1/96,1/14/08,0,0,6,35,2
HT 001025 .G56  2013,HT1025 .G56 2013,6076406,ALDERMAN,2013,A global history of anti-slavery politics in the nineteenth century /,,X030610583,STACKS,STACKS,BOOK,6/8/13,6/7/17,4,0,1,4,1
HT 001025 .O54  2013,HT1025 .O54 2013,6677818,ALDERMAN,2013,"Transatlantic abolitionism in the age of revolution : an international history of anti-slavery, c.1787-1820 /","Oldfield, J. R. (John R.)",X031666337,STACKS,STACKS,BOOK,1/14/16,1/24/17,2,0,1,2,1
HT 001029 .C5  G7  1970,HT1029 .C5 G7 1970,1144793,ALDERMAN,1970,Thomas Clarkson; the friend of slaves.,"Griggs, Earl Leslie,",X001474955,STACKS,STACKS,BOOK,6/29/96,11/13/11,0,0,2,13,1
HT 001029 .C5  W56  1989B,HT1029 .C5 W56 1989b,1631827,ALDERMAN,1989,Thomas Clarkson : a biography /,"Wilson, Ellen Gibson.",X001688293,STACKS,STACKS,BOOK,6/30/96,4/7/17,1,1,4,23,1
HT 001029 .S36  A4  1995,HT1029 .S36 A4 1995,2505633,ALDERMAN,1995,La correspondance de Victor Sch?lcher /,"Schoelcher, Victor,",X006057253,STACKS,CHECKEDOUT,BOOK,7/1/96,4/25/16,1,11,0,20,1
HT 001029 .S36  A43  1983,HT1029 .S36 A43 1983,670720,ALDERMAN,1983,"Victor Schoelcher, ou, La mystique d'un athée /","Alexandre-Debray, Janine.",X000734749,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HT 001029 .S36  S35  1994,HT1029 .S36 S35 1994,2311868,ALDERMAN,1994,Victor Sch?lcher et l'abolition de l'esclavage /,"Schmidt, Nelly.",X002531516,STACKS,CHECKEDOUT,BOOK,7/1/96,11/7/17,2,0,1,9,1
HT 001029 .S39  S47  1986,HT1029 .S39 S47 1986,1378683,ALDERMAN,1986,"O abolicionista Joaquim Serra : textos, opiniões e dados /","Serra, Joaquim de Almeida.",X001617332,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,1,0,1
HT 001029 .S55  N67  1976,HT1029 .S55 N67 1976,308458,ALDERMAN,1976,"Slavery's martyr : John Smith of Demerara and the emancipation movement, 1817-24 /","Northcott, Cecil,",X000456473,STACKS,STACKS,BOOK,6/28/96,6/7/17,1,0,0,2,2
HT 001029 .W5  B8,HT1029 .W5 B8,353223,ALDERMAN,1933,"William Wilberforce; the story of a great crusade,","Buxton, Travers.",X000047258,STACKS,STACKS,BOOK,6/28/96,3/4/11,0,0,1,22,1
HT 001029 .W5  C48  1971,HT1029 .W5 C48 1971,1144794,ALDERMAN,1971,"Strictures on a Life of William Wilberforce,","Clarkson, Thomas,",X000420411,STACKS,STACKS,BOOK,6/29/96,11/27/10,0,0,2,27,1
HT 001029 .W5  C65  1968,HT1029 .W5 C65 1968,1144795,ALDERMAN,1968,"Wilberforce, a narrative.","Coupland, Reginald,",X000420408,STACKS,STACKS,BOOK,6/29/96,11/22/10,0,0,0,20,1
HT 001029 .W5  F87  1974,HT1029 .W5 F87 1974,1144796,ALDERMAN,1974,William Wilberforce.,"Furneaux, Robin.",X000420375,STACKS,STACKS,BOOK,6/29/96,3/16/12,1,0,0,34,1
HT 001029 .W5  M48  2007,HT1029 .W5 M48 2007,4508632,ALDERMAN,2007,Amazing Grace : William Wilberforce and the heroic campaign to end slavery /,"Metaxas, Eric.",X030112627,STACKS,CHECKEDOUT,BOOK,4/13/07,3/20/19,4,2,4,9,1
HT 001029 .W5  W4  1969,HT1029 .W5 W4 1969,1144797,ALDERMAN,1969,"Eulogy on William Wilberforce, Esq., delivered at the request of the people of colour of the city of Philadelphia, in the Second African Presbyterian Church, on the sixth day of December, 1833.","Whipper, William,",X000761846,STACKS,STACKS,BOOK,6/29/96,2/15/11,0,0,1,17,1
HT 001031 .C6  1979,HT1031 .C6 1979,138600,ALDERMAN,1979,L'abolition de l'esclavage /,"Cochin, Augustin,",X000881472,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,4
HT 001031 .C65  1863  V. 1,HT1031 .C65 1863 v. 1,1144798,ALDERMAN,1863,The results of emancipation.,"Cochin, Augustin,",1144798-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HT 001031 .C65  1863  V.2,HT1031 .C65 1863 v.2,1144799,ALDERMAN,1863,The results of slavery.,"Cochin, Augustin,",X031616148,STACKS,STACKS,BOOK,4/3/13,10/19/15,1,0,0,1,1
HT 001031 .C65  V.1  1864,HT1031 .C65 v.1 1864,803026,ALDERMAN,1864,The results of emancipation /,"Cochin, Augustin,",X031960018,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HT 001031 .D74  1999,HT1031 .D74 1999,2917511,ALDERMAN,1999,From slavery to freedom : comparative studies in the rise and fall of Atlantic slavery /,"Drescher, Seymour.",X004326348,STACKS,STACKS,BOOK,6/1/99,4/4/15,3,5,5,34,1
HT 001031 .F66  1983,HT1031 .F66 1983,654132,ALDERMAN,1983,Nothing but freedom : emancipation and its legacy /,"Foner, Eric,",X000544686,STACKS,CLEM-RESV,BOOK,6/29/96,10/24/18,4,0,4,64,1
HT 001031 .K47  2007,HT1031 .K47 2007,4610772,ALDERMAN,2007,Rites of August First : Emancipation Day in the Black Atlantic world /,"Kerr-Ritchie, Jeffrey R.",X030261295,STACKS,STACKS,BOOK,7/24/07,7/18/11,0,0,4,3,1
