Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HV 000001 .P4  1942  V.1,HV1 .P4 1942 v.1,1142782,ALDERMAN,1942,"Training for skill in social case work,","Robinson, Virginia Pollard,",X001038412,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
HV 000010.5 .C67  1998,HV10.5 .C67 1998,2718345,ALDERMAN,1998,Becoming a helper /,"Corey, Marianne Schneider,",X004126884,STACKS,STACKS,BOOK,9/17/97,5/26/06,0,0,0,67,1
HV 000010.5 .C67  2007,HV10.5 .C67 2007,4367689,ALDERMAN,2007,Becoming a helper /,"Corey, Marianne Schneider,",X004911743,STACKS,STACKS,BOOK,5/16/06,7/24/09,0,0,1,3,1
HV 000010.5 .D65  1996,HV10.5 .D65 1996,2640001,ALDERMAN,1996,The tragi-comic professional : basic considerations for ethical reflective-generative practice /,"Dokecki, Paul R.",X004068784,STACKS,STACKS,BOOK,1/9/97,4/2/99,0,0,0,2,1
HV 000010.5 .G34  1982,HV10.5 .G34 1982,129081,ALDERMAN,1982,The profession and practice of consultation /,"Gallessich, June.",X000504385,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
HV 000010.5 .G55  1998,HV10.5 .G55 1998,2711543,ALDERMAN,1998,Careers in social work /,"Ginsberg, Leon H.",X004126268,STACKS,STACKS,BOOK,8/18/97,4/16/08,0,0,0,22,1
HV 000010.5 .H34  1986,HV10.5 .H34 1986,88921,ALDERMAN,1986,Affecting change : social workers in the political arena /,"Haynes, Karen S.",X001144079,STACKS,STACKS,BOOK,6/28/96,4/22/99,0,0,0,2,1
HV 000010.5 .H463,HV10.5 .H463,186318,ALDERMAN,1981,Training for uncertainty : a sociological approach to social work education /,"Heraud, Brian J.",X000324270,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HV 000010.5 .H67  1986,HV10.5 .H67 1986,767609,ALDERMAN,1986,Social workers and their practice in welfare bureaucracies /,"Howe, David,",X001262324,STACKS,STACKS,BOOK,6/29/96,3/10/08,0,0,0,3,1
HV 000010.5 .R42  1990,HV10.5 .R42 1990,1664964,ALDERMAN,1990,Ethical dilemmas in social service /,"Reamer, Frederic G.,",X001779675,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,3,1
