Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
HX 000001 .A49  V.000001,HX1 .A49 V.1,476323,ALDERMAN,1974,"The American radical press, 1880-1960.",,X000179158,STACKS,STACKS,BOOK,6/29/96,4/29/02,0,0,1,12,1
HX 000001 .A49  V.000002,HX1 .A49 V.2,476323,ALDERMAN,1974,"The American radical press, 1880-1960.",,X000031561,STACKS,STACKS,BOOK,6/29/96,5/13/99,0,0,0,13,1
HX 000001 .E56  V.000001-000002 NO.000003 001942-001945,HX1 .E56 v.1-2 no.3 1942-1945,7323965,ALDERMAN,1968,Enquiry.,,X031969671,STACKS,STACKS,BOUND-JRNL,12/21/17,1/1/00,0,0,0,0,1
HX 000001 .M18  NO.000001-000003 001937,HX1 .M18 no.1-3 1937,1633563,ALDERMAN,1968,"Marxist quarterly : v.1, 1937.",,X000529581,STACKS,STACKS,BOUND-JRNL,6/30/96,9/28/09,0,0,0,1,1
HX 000001 .M22  1966,HX1 .M22 1966,557198,ALDERMAN,1966,"Echoes of revolt: the Masses, 1911-1917.",,X000755065,STACKS,STACKS,BOOK,6/29/96,12/2/13,2,0,0,9,2
HX 000001 .R57  AN.000001 V.000001-000002 001899,HX1 .R57 an.1 v.1-2 1899,7345044,ALDERMAN,1899,Rivista critica del socialismo,,X031948057,STACKS,STACKS,BOOK,1/19/18,1/1/00,0,0,0,0,1
HX 000001 .Y66  1990,HX1 .Y66 1990,1729752,ALDERMAN,1990,"""Yours for the revolution"" : the Appeal to reason, 1895-1922 /",,X001804234,STACKS,CHECKEDOUT,BOOK,6/30/96,5/13/18,1,4,0,72,1
HX 000101 .L43  H67,HX101 .L43 H67,151617,ALDERMAN,1980,"The League for Social Reconstruction : intellectual origins of the democratic left in Canada, 1930-1942 /","Horn, Michiel,",X000160188,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000103 .A53  1981,HX103 .A53 1981,120280,ALDERMAN,1981,Canadian Bolsheviks : the early years of the Communist Party of Canada /,"Angus, Ian,",X000323382,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000103 .B47  1982,HX103 .B47 1982,24423,ALDERMAN,1982,"The little band : the clashes between the Communists and the political and legal establishment in Canada, 1928-1932 /","Betcherman, Lita-Rose.",X000504429,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,2
HX 000103 .B817,HX103 .B817,359375,ALDERMAN,1977,Yours in the struggle : reminiscences of Tim Buck /,"Buck, Tim.",X000075339,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000103 .B84  W37,HX103 .B84 W37,431437,ALDERMAN,1976,She never was afraid : the biography of Annie Buller /,"Watson, Louise.",X000710417,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000103 .K6,HX103 .K6,249066,ALDERMAN,1979,The shattered illusion : the history of Ukrainian pro-communist organizations in Canada /,"Kolasky, John.",X000087273,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000103 .M65  1970,HX103 .M65 1970,550438,ALDERMAN,1970,"Look on Canada, now ..., selected writings of Leslie Morris, 1923/1964.","Morris, Leslie,",X000710419,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,0,1
HX 000103 .W45  1983,HX103 .W45 1983,32514,ALDERMAN,1983,"The strangest dream : Canadian Communists, the spy trials, and the Cold War /","Weisbord, Merrily.",X000667102,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000104 .P76  1977,HX104 .P76 1977,351925,ALDERMAN,1977,Prospects for a socialist Canada /,,X000066155,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000104 .S6  1991,HX104 .S6 1991,2068542,ALDERMAN,1991,Social democracy without illusions : renewal of the Canadian left /,,X002219688,STACKS,STACKS,BOOK,6/30/96,9/30/09,0,0,0,5,1
HX 000106 .P45,HX106 .P45,336631,ALDERMAN,1977,The Canadian left : a critical analysis /,"Penner, Norman,",X000056386,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000109 .D39  1991,HX109 .D39 1991,1918787,ALDERMAN,1991,Debating Canada's future : views from the left /,,X002074348,STACKS,STACKS,BOOK,6/30/96,9/30/09,0,0,0,2,1
HX 000109 .L38  1996,HX109 .L38 1996,2684218,ALDERMAN,1996,In search of a new left : Canadian politics after the neoconservative assault /,"Laxer, James,",X004029727,STACKS,STACKS,BOOK,4/25/97,7/25/07,0,0,0,0,1
HX 000109 .M3,HX109 .M3,429938,ALDERMAN,1977,"Reformers, rebels, and revolutionaries : the Western Canadian radical movement, 1899-1919 /","McCormack, A. R. (Andrew Ross),",X000046066,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .A88  O78  1994,HX11 .A88 O78 1994,2287452,ALDERMAN,1994,"Revolutionäre im Exil : der ""Auslandsbund russischer Sozialdemokraten"" zwischen autoritärem Führungsanspruch und politischer Ohnmacht (1888-1903) /","Ortmann, Frank.",X002450620,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
HX 000011 .C48  1986,HX11 .C48 1986,2275508,ALDERMAN,1986,Zhongguo she hui ke xue jia lian meng zi liao xuan bian /,,X001263581,STACKS,STACKS,BOOK,7/1/96,7/25/07,0,0,0,0,1
HX 000011 .C6  1976,HX11 .C6 1976,353288,ALDERMAN,1976,Informbiro : ?ta je to : Jugoslavija je rekla ne /,"Kr?avac, Savo.",X000047268,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
HX 000011 .C6  M4  1954,HX11 .C6 M4 1954,7323823,ALDERMAN,1954,Function of the Cominform in Communist international politics.,"Mestenhauser, Josef.",X031964923,STACKS,STACKS,BOOK,12/20/17,1/1/00,0,0,0,0,1
HX 000011 .C62  R33  1979,HX11 .C62 R33 1979,140991,ALDERMAN,1979,Sukob KPJ sa Kominformom i dru?tveni razvoj Jugoslavije : 1948-1950 /,"Radonji?, Radovan.",X000848082,STACKS,STACKS,BOOK,6/28/96,9/29/09,0,0,1,0,1
HX 000011 .F24  NO.124,HX11 .F24 no.124,610265,ALDERMAN,1948,The second five years; a labour programme for 1950.,"Mikardo, Ian,",610265-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,2
HX 000011 .F24  NO.125,HX11 .F24 no.125,610432,ALDERMAN,1948,Management by consent;,,610432-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.126,HX11 .F24 no.126,610406,ALDERMAN,1948,Self-government and the communal problem. A study of colonial constitutional problems arising in plural societies.,"Nicholson, Marjorie,",610406-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.127,HX11 .F24 no.127,610399,ALDERMAN,1948,Can Britain recover? A survey of foreign economic policy.,"Warbey, William.",610399-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.128,HX11 .F24 no.128,610430,ALDERMAN,1948,"Russian economic policy in Eastern Europe; Albania, Bulgaria, Czechoslovakia, Hungary, Jugoslavia, Poland, Roumania and Austria,","McKitterick, T. E. M. (Thomas Edward Maurice)",610430-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.129,HX11 .F24 no.129,610427,ALDERMAN,1948,"The National Coal Board; its tasks, its organisation, and its prospects,","Cole, G. D. H. (George Douglas Howard),",610427-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.130,HX11 .F24 no.130,610429,ALDERMAN,1948,The West Indies; towards a new dominion?,"Wiseman, H. V.",610429-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.131,HX11 .F24 no.131,610418,ALDERMAN,1949,"Common sense and colonial development; report to the Fabian Colonial Bureau,","Hinden, Rita.",610418-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.133,HX11 .F24 no.133,610414,ALDERMAN,1949,Labour politics in U. S. A.,"Starr, Mark,",610414-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.134,HX11 .F24 no.134,610413,ALDERMAN,1949,"Miners and the Board; based on the report of a Fabian research group,","Cole, Margaret,",610413-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.135,HX11 .F24 no.135,611264,ALDERMAN,1949,"Dilemma in Malaya,","Silcock, Thomas H. (Thomas Henry),",X000126647,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.136,HX11 .F24 no.136,611261,ALDERMAN,1949,"Facts for socialists; including some unwelcome home truths which call for attention,",Fabian Society (Great Britain),611261-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,2
HX 000011 .F24  NO.191,HX11 .F24 no.191,611418,ALDERMAN,1957,"The future of legal aid,","Benenson, Peter,",611418-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  NO.000258  1966,HX11 .F24 no.258 1966,2363098,ALDERMAN,1966,Britain and world security.,"Brown, Neville.",X030229829,STACKS,STACKS,BOOK,7/1/96,12/20/17,0,0,0,0,1
HX 000011 .F24  NO.000263  1967,HX11 .F24 no.263 1967,2363099,ALDERMAN,1967,Europe: problems of negotiation.,"Robinson, Geoffrey.",X030229830,STACKS,STACKS,BOOK,7/1/96,12/20/17,0,0,0,0,1
HX 000011 .F24  NO.000274  1969,HX11 .F24 no.274 1969,2363100,ALDERMAN,1969,Human rights.,"Archer, Peter,",X030229828,STACKS,STACKS,BOOK,7/1/96,12/20/17,0,0,0,0,1
HX 000011 .F24  NO.317,HX11 .F24 no.317,499850,ALDERMAN,1974,The lesson of Chile /,"Whitehead, Laurence.",X000291839,STACKS,STACKS,BOOK,6/29/96,7/24/07,0,0,0,4,1
HX 000011 .F24  NO.334,HX11 .F24 no.334,341691,ALDERMAN,1977,Transnational corporations : a strategy for control /,"Wilms-Wright, Carl.",X000049794,STACKS,STACKS,BOOK,6/28/96,7/24/07,0,0,0,0,1
HX 000011 .F24  V.000001 NO.000001-000014,HX11 .F24 v.1 no.1-14,609962,ALDERMAN,1932,The essentials of socialisation,"Cole, G. D. H. (George Douglas Howard),",X000183335,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  V.000010 NO.000123-000136,HX11 .F24 v.10 no.123-136,610267,ALDERMAN,1948,"Lords and Commons,","Hardie, Frank.",X000835076,STACKS,STACKS,BOUND-JRNL,6/29/96,1/1/00,0,0,0,0,1
HX 000011 .F24  V.000010 NO.000123-000136,HX11 .F24 v.10 no.123-136,610415,ALDERMAN,1949,Socialism as internationalism.,"Laski, Harold J. (Harold Joseph),",610415-1001,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,0,1,2
HX 000011 .F24  V.000011  NO.000137-000147,HX11 .F24 v.11 no.137-147,611252,ALDERMAN,1950,"Scottish devolution,","Marwick, William H. (William Hutton),",X001037233,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,0,2,1
HX 000011 .F24  V.000012 NO.000148-000162,HX11 .F24 v.12 no.148-162,611377,ALDERMAN,1952,Secondary education survey; an analysis of LEA development plans for secondary education,"Thompson, Joan Beauchamp.",X000755979,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,1,2,1
HX 000011 .F24  V.000013 NO.000163-000177,HX11 .F24 v.13 no.163-177,611461,ALDERMAN,1954,"Monopoly: good and bad,","Evely, Richard William.",X000415146,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,0,3,1
HX 000011 .F24  V.000014 NO.000178-000189,HX11 .F24 v.14 no.178-189,611294,ALDERMAN,1956,Financing local government,"Hanson, A. H. (Albert Henry)",X004034562,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,0,0,1
HX 000011 .F24  V.000015 NO.000190-000200,HX11 .F24 v.15 no.190-200,611486,ALDERMAN,1957,Reforming the tax system.,Fabian Society (Great Britain),X004618791,STACKS,STACKS,BOOK,12/11/03,12/20/17,0,0,1,1,1
HX 000011 .F24  V.000002 NO.000015-000027,HX11 .F24 v.2 no.15-27,608951,ALDERMAN,1934,"Socialist credit policy,","Durbin, E. F. M. (Evan Frank Mottram),",X000265631,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,1,1,1
HX 000011 .F24  V.000003 NO.000028-000037,HX11 .F24 v.3 no.28-37,608996,ALDERMAN,1936,Rent rebates.,"Wilson, Geoffrey,",X030229827,STACKS,STACKS,BOUND-JRNL,7/24/07,12/20/17,0,0,0,0,1
HX 000011 .F24  V.000004 NO.000038-000049,HX11 .F24 v.4 no.38-49,609175,ALDERMAN,1938,"The City today,",,X000413405,STACKS,STACKS,BOUND-JRNL,2/22/01,12/20/17,0,0,1,0,1
HX 000011 .F24  V.000005 NO.000050-000063,HX11 .F24 v.5 no.50-63,609684,ALDERMAN,1940,Eastern Europe after Hitler,"Warriner, Doreen,",X000372715,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,0,1,1
HX 000011 .F24  V.000006 NO.000064-000078,HX11 .F24 v.6 no.64-78,608924,ALDERMAN,1942,"Community feeding in wartime,","Drake, Barbara,",X000171792,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,0,1,1
HX 000011 .F24  V.000007 NO.000079-000090,HX11 .F24 v.7 no.79-90,609969,ALDERMAN,1943,The Prevention of general unemployment : evidence submitted to Sir William Beveridge in connection with his investigation into employment /,,X000458816,STACKS,STACKS,BOOK,6/29/96,12/20/17,0,0,0,0,1
HX 000011 .F24  V.000008 NO.000091-000107,HX11 .F24 v.8 no.91-107,610242,ALDERMAN,1945,"Monopoly in British industry,","Lewis, W. Arthur (William Arthur),",X000500317,STACKS,STACKS,BOUND-JRNL,6/29/96,12/20/17,0,0,4,4,1
HX 000011 .F24  V.000009 NO.000108-000122,HX11 .F24 v.9 no.108-122,610378,ALDERMAN,1946,"Distribution, the case for a national census;","Cobb, F. A.",X000458839,STACKS,STACKS,BOUND-JRNL,6/29/96,12/20/17,0,0,0,1,1
HX 000011 .F25  NO. 451,HX11 .F25 no. 451,7538328,ALDERMAN,1977,The Labour Party : crisis and prospects /,"Hayter, Dianne.",X030229873,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 452,HX11 .F25 no. 452,7538332,ALDERMAN,1977,A competitive pound /,"Gould, Bryan.",X030229874,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 453  1978,HX11 .F25 no. 453 1978,7537752,ALDERMAN,1978,Think small : enterprise and the economy /,"Falk, Nicholas.",X030229875,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,2
HX 000011 .F25  NO. 455  1978,HX11 .F25 no. 455 1978,7537420,ALDERMAN,1978,Industrial common ownership /,"Watkins, David,",X030229876,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 456  1978,HX11 .F25 no. 456 1978,7537423,ALDERMAN,1978,National parks : a strategy for revival /,"Smith, Chris,",X030229878,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 457  1978,HX11 .F25 no. 457 1978,7537432,ALDERMAN,1978,The computer and society : servant or master /,"Crowe, Tom.",X030229879,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 489  1983,HX11 .F25 no. 489 1983,7538269,ALDERMAN,1983,Labour's choices /,,X030229944,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 490,HX11 .F25 no. 490,7538275,ALDERMAN,1983,Law and order : theft of an issue /,"Downes, David M.",X030229932,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 492,HX11 .F25 no. 492,7538291,ALDERMAN,1983,"The conservatives, trade unions, and political funding /","Ewing, K. D. (Keith D.)",X030229930,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 493,HX11 .F25 no. 493,7538296,ALDERMAN,1984,The Fabian Society : its early history /,"Shaw, Bernard,",X030229929,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 494,HX11 .F25 no. 494,7538310,ALDERMAN,1984,"Equality, markets, and the state /","Plant, Raymond.",X030229928,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 495,HX11 .F25 no. 495,7538318,ALDERMAN,1984,Socialist values and time /,"Crick, Bernard,",X030229927,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 496  1984,HX11 .F25 no. 496 1984,7538324,ALDERMAN,1984,Socialism and decentralisation /,"Wright, Anthony,",X030229926,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 511,HX11 .F25 no. 511,7537748,ALDERMAN,1986,Managing local socialism /,"Alexander, Alan,",X030229912,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 512,HX11 .F25 no. 512,7537749,ALDERMAN,1986,French lessons for Labour : the Labour Party /,"MacShane, Denis.",X030229911,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 513,HX11 .F25 no. 513,7537751,ALDERMAN,1986,The consumer case for socialism /,"Smith, Martin,",X030229910,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 515,HX11 .F25 no. 515,7537737,ALDERMAN,1986,Labour and youth : the missing generation /,"Mann, John.",X001115345,STACKS,STACKS,BOOK,6/30/96,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 516,HX11 .F25 no. 516,7537743,ALDERMAN,1986,Market socialism : whose choice? : a debate /,,X001077032,STACKS,STACKS,BOOK,6/30/96,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 517,HX11 .F25 no. 517,7537726,ALDERMAN,1987,New roads to equality : contract compliance for the UK? /,"Carr, John,",X030229898,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 518,HX11 .F25 no. 518,7537733,ALDERMAN,1987,An investment bank for the UK /,"Turner, Dennis,",X030229909,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 520,HX11 .F25 no. 520,7538313,ALDERMAN,1987,Beyond Band Aid : charity is not enough /,"Lestor, Joan.",X030229907,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
HX 000011 .F25  NO. 521,HX11 .F25 no. 521,7537438,ALDERMAN,1987,Labour's next moves forward /,,X030229906,STACKS,STACKS,BOOK,7/25/07,12/20/17,0,0,0,0,1
