Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PE 000001 .C66  N.S. V.000010-000011,PE1 .C66 n.s. v.10-11,300165,ALDERMAN,1978,Wynkyn de Worde and Chaucer's Canterbury tales : a transcription and collation of the 1498 ed. with Caxton from The general prologue through The knight's tale /,"Chaucer, Geoffrey,",X032077576,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,1,1
PE 000001 .C66  N.S. V.000100,PE1 .C66 n.s. v.100,2488138,ALDERMAN,1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /",International Association for the Study of Anglo-Irish Literature. International Congress,X002643873,STACKS,STACKS,BOOK,7/1/96,11/6/09,0,0,0,0,1
PE 000001 .C66  N.S. V.000101,PE1 .C66 n.s. v.101,2488138,ALDERMAN,1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /",International Association for the Study of Anglo-Irish Literature. International Congress,X002643877,STACKS,STACKS,BOOK,7/1/96,11/6/09,0,0,0,0,1
PE 000001 .C66  N.S. V.000102,PE1 .C66 n.s. v.102,2488138,ALDERMAN,1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /",International Association for the Study of Anglo-Irish Literature. International Congress,X002643869,STACKS,STACKS,BOOK,7/1/96,11/6/09,0,0,0,0,1
PE 000001 .C66  N.S. V.103,PE1 .C66 n.s. v.103,2488380,ALDERMAN,1995,"New essays in deixis : discourse, narrative, literature /",,X002609391,STACKS,STACKS,BOOK,7/1/96,8/21/16,1,1,2,28,1
PE 000001 .C66  N.S. V.104,PE1 .C66 n.s. v.104,2491964,ALDERMAN,1995,Yeats in Holland : the reception of the work of W.B. Yeats in the Netherlands before World War Two /,"Supheert, R.",X002654197,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,1,1
PE 000001 .C66  N.S. V.105,PE1 .C66 n.s. v.105,2631773,ALDERMAN,1996,A politic theatre : the drama of David Hare /,"Fraser, Scott.",X004062628,STACKS,STACKS,BOOK,11/22/96,2/11/97,0,0,0,2,1
PE 000001 .C66  N.S. V.106,PE1 .C66 n.s. v.106,2633462,ALDERMAN,1996,"The life and the art : a study of Conrad's ""Under western eyes"" /","Carabine, Keith.",X004062967,STACKS,STACKS,BOOK,12/2/96,12/12/96,0,0,0,1,1
PE 000001 .C66  N.S. V.107,PE1 .C66 n.s. v.107,2633465,ALDERMAN,1996,John Keats and the loss of romantic innocence /,"White, Keith D.",X004062966,STACKS,STACKS,BOOK,12/2/96,11/13/16,2,32,0,39,1
PE 000001 .C66  N.S. V.108,PE1 .C66 n.s. v.108,2638143,ALDERMAN,0,"Laurence Nowell, William Lambarde, and the laws of the Anglo-Saxons /","Grant, Raymond J. S.",X004062984,STACKS,STACKS,BOOK,1/2/97,11/6/09,0,0,0,3,1
