Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PH 001051 .L9  1996,PH1051 .L9 1996,2517238,ALDERMAN,1995,"Zyri?anski? kra? pri episkopakh permskikh i zyri?anski? i?azyk, 1383-1501 : posobie pri izuchenii zyri?anami russkogo i?azyka /","Lytkin, G. S. (Georgi? Stepanovich),",X004082832,STACKS,STACKS,BOOK,7/1/96,4/6/10,0,0,0,1,1
PH 001108 .P76  1992,PH1108 .P76 1992,2141460,ALDERMAN,1992,"Problemy pis?mennosti i kul?tury : materialy konferent?sii, posvi?ashchenno? 250-letii?u so dni?a rozhdenii?a chuvashskogo uchenogo i prosvetiteli?a Ermei?a Rozhanskogo /",,X002267565,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
PH 001108.4 .G94  1991,PH1108.4 .G94 1991,2334884,ALDERMAN,1991,Gydyke /,,X002626836,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,1,0,1
PH 000131 .K2913  1983,PH131 .K2913 1983,674949,ALDERMAN,1983,Finnish grammar /,"Karlsson, Fred.",X001205461,STACKS,STACKS,BOOK,6/29/96,12/15/16,1,0,0,20,1
PH 000131 .L8,PH131 .L8,417454,ALDERMAN,1973,"Phonological and lexical aspects of colloquial Finnish,","Luthy, Melvin J.",X000079646,STACKS,STACKS,BOOK,6/29/96,6/15/11,0,0,1,4,1
PH 000133 .G73  2006,PH133 .G73 2006,4455399,ALDERMAN,2006,"Grammar from the human perspective : case, space and person in Finnish /",,X030111186,STACKS,STACKS,BOOK,1/16/07,8/29/17,1,0,0,2,1
PH 000135 .K35  2008,PH135 .K35 2008,4678561,ALDERMAN,2008,Finnish : an essential grammar /,"Karlsson, Fred.",X030278564,STACKS,STACKS,BOOK,1/11/08,2/7/19,5,16,1,25,1
PH 000135 .L4,PH135 .L4,267440,ALDERMAN,1963,Basic course in Finnish.,"Lehtinen, Meri K. Tuulikki.",X000377742,STACKS,STACKS,BOOK,6/28/96,5/29/12,1,0,3,23,1
PH 000014 .D42  1990,PH14 .D42 1990,1789642,ALDERMAN,1990,The Uralic Protolanguage : a comprehensive reconstruction /,"Décsy, Gyula.",X001878962,STACKS,STACKS,BOOK,6/30/96,12/15/16,1,0,1,7,1
PH 000143 .T5  1976,PH143 .T5 1976,427372,ALDERMAN,1976,Le système graphique du français : introduction à une pédagogie rationnelle de l'orthographe /,"Thimonnier, René.",427372-2001,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,0,0,1
