Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PJ 000010 .O73  V.8,PJ10 .O73 v.8,67641,ALDERMAN,1983,"The Chinese Hevajratantra : the scriptural text of the Ritual of the Great King of the Teaching, the Adamantine One with Great Compassion and Knowledge of the Void /",,X030209289,STACKS,CHECKEDOUT,BOOK,4/11/07,11/1/18,1,0,0,3,2
PJ 000010 .O73  V.9,PJ10 .O73 v.9,673699,ALDERMAN,1982,Studies in Hebrew historical linguistics based on Origen's Secunda /,"Janssens, G. (Gerard)",X000837213,STACKS,STACKS,BOOK,6/29/96,9/11/18,0,0,0,0,1
PJ 001014 .P3  V.1,PJ1014 .P3 v.1,324016,ALDERMAN,1964,"Der Psalmenkommentar von Tura, Quaternio IX (Pap. Colon. theol. 1),","Didymus,",X000714596,STACKS,STACKS,BOOK,6/28/96,4/15/15,0,0,0,0,1
PJ 001014 .P3  V.10,PJ1014 .P3 v.10,655151,ALDERMAN,1982,Dionysius Scytobrachion /,"Rusten, Jeffrey S.",X000605585,STACKS,STACKS,BOOK,6/29/96,5/2/08,0,0,1,3,1
PJ 001014 .P3  V.000011 BD.000001,PJ1014 .P3 v.11 Bd.1,1654,ALDERMAN,1983,Katalog der bithynischen Münzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln.,Universität zu Köln. Institut für Altertumskunde.,X000773906,STACKS,STACKS,BOOK,6/28/96,9/13/08,0,0,2,1,1
PJ 001014 .P3  V.000011 BD.000002,PJ1014 .P3 v.11 Bd.2,1654,ALDERMAN,1983,Katalog der bithynischen Münzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln.,Universität zu Köln. Institut für Altertumskunde.,X006043465,STACKS,STACKS,BOOK,2/4/98,9/13/08,0,0,0,1,1
PJ 001014 .P3  V.000012,PJ1014 .P3 v.12,774389,ALDERMAN,1986,La Ketouba de Cologne : un contrat de mariage juif à Antinoopolis /,,X001276775,STACKS,STACKS,BOOK,6/29/96,8/10/07,0,0,0,20,1
PJ 001014 .P3  V.13,PJ1014 .P3 v.13,713442,ALDERMAN,1986,Zehn agonistische Papyri /,"Frisch, Peter,",X001225539,STACKS,STACKS,BOOK,6/29/96,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.14,PJ1014 .P3 v.14,1321434,ALDERMAN,1988,Der Kölner Mani-Kodex : Über das Werden seines Leibes : kritische Edition /,,X001505227,STACKS,STACKS,BOOK,6/30/96,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.15  BD.000001,PJ1014 .P3 v.15 Bd.1,1731943,ALDERMAN,1990,Die verkohlten Papyri aus Bubastos.,,X001802640,STACKS,STACKS,BOOK,6/30/96,2/28/18,0,0,1,0,1
PJ 001014 .P3  V.15  BD.000002,PJ1014 .P3 v.15 Bd.2,1731943,ALDERMAN,1990,Die verkohlten Papyri aus Bubastos.,,X006078046,STACKS,STACKS,BOOK,3/16/99,8/9/11,0,0,0,0,1
PJ 001014 .P3  V.15  BD.000003A,PJ1014 .P3 v.15 Bd.3A,1731943,ALDERMAN,1990,Die verkohlten Papyri aus Bubastos.,,X031799827,STACKS,STACKS,BOOK,1/12/17,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.15  BD.000003B,PJ1014 .P3 v.15 Bd.3B,1731943,ALDERMAN,1990,Die verkohlten Papyri aus Bubastos.,,X031799817,STACKS,STACKS,BOOK,1/12/17,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.000016 V.000002,PJ1014 .P3 v.16 v.2,1760632,ALDERMAN,1990,Supplementum magicum /,,X002126808,STACKS,STACKS,BOOK,6/30/96,1/21/15,1,0,0,15,1
PJ 001014 .P3  V.000017 BD.000001,PJ1014 .P3 v.17 Bd.1,1731920,ALDERMAN,1990,Abrasax : ausgewählte Papyri religiösen und magischen Inhalts.,,X001802643,STACKS,STACKS,BOOK,6/30/96,9/27/18,1,0,2,6,1
PJ 001014 .P3  V.000017 BD.000002,PJ1014 .P3 v.17 Bd.2,1731920,ALDERMAN,1990,Abrasax : ausgewählte Papyri religiösen und magischen Inhalts.,,X001958069,STACKS,STACKS,BOOK,6/30/96,9/27/18,1,0,2,6,1
PJ 001014 .P3  V.000017 BD.000003,PJ1014 .P3 v.17 Bd.3,1731920,ALDERMAN,1990,Abrasax : ausgewählte Papyri religiösen und magischen Inhalts.,,X002180276,STACKS,STACKS,BOOK,6/30/96,9/27/18,1,0,1,9,1
PJ 001014 .P3  V.000017 BD.000004,PJ1014 .P3 v.17 Bd.4,1731920,ALDERMAN,1990,Abrasax : ausgewählte Papyri religiösen und magischen Inhalts.,,X006043459,STACKS,STACKS,BOOK,8/21/98,9/27/18,1,0,0,3,1
PJ 001014 .P3  V.000017 BD.000005,PJ1014 .P3 v.17 Bd.5,1731920,ALDERMAN,1990,Abrasax : ausgewählte Papyri religiösen und magischen Inhalts.,,X030268426,STACKS,STACKS,BOOK,7/13/07,9/27/18,1,0,0,1,1
PJ 001014 .P3  V.18,PJ1014 .P3 v.18,1827718,ALDERMAN,1990,"Papyri from the Washington University collection, St. Louis, Missouri. (P. Wash. Univ. II) /",,X001937814,STACKS,STACKS,BOOK,6/30/96,8/10/07,0,0,0,2,1
PJ 001014 .P3  V.19,PJ1014 .P3 v.19,1827894,ALDERMAN,1991,Two Greek magical papyri in the National Museum of Antiquities in Leiden : a photographic edition of J 384 and J 395 (= PGM XII and XIII) /,,X001937604,STACKS,STACKS,BOOK,6/30/96,11/10/14,0,0,1,8,1
PJ 001014 .P3  V.2,PJ1014 .P3 v.2,559751,ALDERMAN,1968,Demotische und Koptische Texte.,,X000714597,STACKS,STACKS,BOOK,6/29/96,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.20,PJ1014 .P3 v.20,2079174,ALDERMAN,1992,Magische Amulette und andere Gemmen des Instituts für Altertumskunde der Universität zu Köln/,,X002114195,STACKS,STACKS,BOOK,6/30/96,8/10/07,0,0,0,8,1
PJ 001014 .P3  V.21,PJ1014 .P3 v.21,2298880,ALDERMAN,1994,Nomisma und Nomismatia : Beiträge zur Geldgeschichte Ägyptens im 6. Jahrhundert n. Chr. /,"Maresch, Klaus.",X002450178,STACKS,STACKS,BOOK,7/1/96,8/10/07,0,0,0,1,1
PJ 001014 .P3  V.23,PJ1014 .P3 v.23,2470496,ALDERMAN,1995,Katalog ptolemäischer Bronzemünzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln /,"Weiser, Wolfram.",X002661885,STACKS,STACKS,BOOK,7/1/96,8/10/07,0,0,0,1,1
PJ 001014 .P3  V.24,PJ1014 .P3 v.24,2398467,ALDERMAN,1994,Manis frühe Missionsreisen nach der Kölner Manibiographie : textkritischer Kommentar und Erläuterungen zu p.121-p.192 des Kölner Mani-Kodex /,"Römer, Cornelia.",X002561844,STACKS,STACKS,BOOK,7/1/96,8/10/07,0,0,0,1,1
PJ 001014 .P3  V.25,PJ1014 .P3 v.25,2575292,ALDERMAN,1996,Bronze und Silber : Papyrologische Beiträge zur Geschichte der Währung im ptolemäischen und römischen Ägypten bis zum 2. Jahrhundert n. Chr./,"Maresch, Klaus.",X004021242,STACKS,STACKS,BOOK,7/1/96,8/19/13,0,0,0,1,1
PJ 001014 .P3  V.000026  PT.000001,PJ1014 .P3 v.26 pt.1,2799371,ALDERMAN,1997,The archive of Ammon Scholasticus of Panopolis : (P. Ammon).,"Ammon,",X006076098,STACKS,STACKS,BOOK,6/1/98,8/10/07,0,0,1,1,2
PJ 001014 .P3  V.26  PT.000002A,PJ1014 .P3 v.26 pt.2A,2799371,ALDERMAN,1997,The archive of Ammon Scholasticus of Panopolis : (P. Ammon).,"Ammon,",X030164686,STACKS,STACKS,BOOK,12/5/06,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.000026 PT.000002B,PJ1014 .P3 v.26 pt.2B,2799371,ALDERMAN,1997,The archive of Ammon Scholasticus of Panopolis : (P. Ammon).,"Ammon,",X030165252,STACKS,STACKS,BOOK,11/24/08,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.000027  PT.000001,PJ1014 .P3 v.27 pt.1,2850981,ALDERMAN,1998,Manichaica latina /,,X006080425,STACKS,STACKS,BOOK,11/6/98,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.000027  PT.000002,PJ1014 .P3 v.27 pt.2,2850981,ALDERMAN,1998,Manichaica latina /,,X004627679,STACKS,STACKS,BOOK,9/19/02,8/10/07,0,0,0,0,1
"PJ 001014 .P3  V.000027  PT.000003,000001","PJ1014 .P3 v.27 pt.3,1",2850981,ALDERMAN,1998,Manichaica latina /,,X004781847,STACKS,STACKS,BOOK,4/12/04,8/10/07,0,0,0,0,1
"PJ 001014 .P3  V.27  PT.000003,000002","PJ1014 .P3 v.27 pt.3,2",2850981,ALDERMAN,1998,Manichaica latina /,,X030008583,STACKS,STACKS,BOOK,4/17/06,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.27  PT.000004,PJ1014 .P3 v.27 pt.4,2850981,ALDERMAN,1998,Manichaica latina /,,X031800071,STACKS,STACKS,BOOK,3/3/17,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.28,PJ1014 .P3 v.28,2915150,ALDERMAN,1999,Griechische Anaphorenfragmente aus Ägypten und Nubien /,,X006018439,STACKS,STACKS,BOOK,5/25/99,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.29,PJ1014 .P3 v.29,3736669,ALDERMAN,2001,"Urkunden des Politeuma der Juden von Herakleopolis (144/3-133/2 v. Chr.) (P. Polit. Iud.) : Papyri aus den Sammlungen von Heidelberg, Köln, München und Wien /",,X006120357,STACKS,STACKS,BOOK,7/23/01,8/10/07,0,0,0,1,1
PJ 001014 .P3  V.3,PJ1014 .P3 v.3,547927,ALDERMAN,1967,The Ptolemaic papyri of Homer.,"West, Stephanie.",X000116216,STACKS,CHECKEDOUT,BOOK,6/29/96,7/23/18,2,0,1,13,1
PJ 001014 .P3  V.30,PJ1014 .P3 v.30,3952070,ALDERMAN,2003,"Das Archiv des Phrurarchen Dioskurides (154-145 v. Chr.?) (P. Phrur. Diosk.) : Papyri aus den Sammlungen von Heidelberg, Köln, München und Wien /",,X004717588,STACKS,STACKS,BOOK,7/11/03,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.31,PJ1014 .P3 v.31,4236452,ALDERMAN,2004,Die Nomarchen des Arsinoites : ein Beitrag zum Steuerwesen im römischen Ägypten /,"Reiter, Fabian.",X004878261,STACKS,STACKS,BOOK,4/12/05,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.32,PJ1014 .P3 v.32,4607692,ALDERMAN,2007,Die Giessener Zenonpapyri (P. Iand. Zen.) /,"Schmitz, Philip",X030267947,STACKS,STACKS,BOOK,7/12/07,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.33,PJ1014 .P3 v.33,5132077,ALDERMAN,2009,Der koptische Kölner Papyruskodex 3221.,,X030715170,STACKS,STACKS,BOOK,4/26/10,4/11/12,0,2,0,5,1
PJ 001014 .P3  V.34,PJ1014 .P3 v.34,5395905,ALDERMAN,2010,Architectural orientation in the papyri /,"Daniel, Robert W. (Robert Walter)",X030958461,STACKS,STACKS,BOOK,8/9/11,11/30/15,1,0,0,1,1
PJ 001014 .P3  V.35,PJ1014 .P3 v.35,5581888,ALDERMAN,2012,"Ptolemäische Bankpapyri aus dem Herakleopolites (P. Herakl. Bank) : Papyri der Sammlungen in Heidelberg, Köln und Wien /",,X031234304,STACKS,STACKS,BOOK,3/27/12,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.36,PJ1014 .P3 v.36,5581889,ALDERMAN,2012,Studien zur Verwaltung des Ptolemäischen Ägypten : das Amt des Basilikos Grammateus /,"Armoni, Charikleia A.",X031234303,STACKS,STACKS,BOOK,3/27/12,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.37,PJ1014 .P3 v.37,6189430,ALDERMAN,2013,Das Archiv der Taricheuten Amenneus und Onnophris aus Tanis (P.Tarich) /,"Armoni, Charikleia A.",X031623813,STACKS,STACKS,BOOK,1/27/14,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.38,PJ1014 .P3 v.38,6731436,ALDERMAN,2016,Two Hellenistic medical Papyri of the Ärztekammer Nordrhein (P. ÄkNo 1 and 2) /,,X031757865,STACKS,STACKS,BOOK,5/19/16,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.39  PT.000001,PJ1014 .P3 v.39 pt.1,7305564,ALDERMAN,2017,Sapphostudien zu ausgewählten Fragmenten /,"Benelli, Luca,",X031811937,STACKS,STACKS,BOOK,11/27/17,2/5/18,0,0,0,0,1
PJ 001014 .P3  V.39  PT.000002,PJ1014 .P3 v.39 pt.2,7305564,ALDERMAN,2017,Sapphostudien zu ausgewählten Fragmenten /,"Benelli, Luca,",X031811938,STACKS,STACKS,BOOK,11/27/17,2/5/18,0,0,0,0,1
PJ 001014 .P3  V.4,PJ1014 .P3 v.4,605584,ALDERMAN,1969,Das Archiv des Petaus (P. Petaus).,,X000714598,STACKS,STACKS,BOOK,6/29/96,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.40,PJ1014 .P3 v.40,7305399,ALDERMAN,2017,Die Acta Alexandrinorum im Lichte neuerer und neuester Papyrusfunde /,"Vega, Natalia,",X031811931,STACKS,STACKS,BOOK,11/27/17,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.41  PT.000001,PJ1014 .P3 v.41 pt.1,7305394,ALDERMAN,2017,Corpus des papyrus grecs sur les relations administratives entre le clerge égyptien et les autorités romaines /,"Messerer, Carmen",X031811934,STACKS,STACKS,BOOK,11/27/17,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.41  PT.000002,PJ1014 .P3 v.41 pt.2,7305394,ALDERMAN,2017,Corpus des papyrus grecs sur les relations administratives entre le clerge égyptien et les autorités romaines /,"Messerer, Carmen",X032212251,STACKS,STACKS,BOOK,12/14/18,1/1/00,0,0,0,0,1
PJ 001014 .P3  V.5  BD.000001,PJ1014 .P3 v.5 bd.1,513317,ALDERMAN,1974,Katalog Alexandrinischer Kaisermünzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln /,Universität zu Köln. Institut für Altertumskunde.,X030224506,STACKS,STACKS,BOOK,8/17/07,8/17/07,0,0,0,0,2
PJ 001014 .P3  V.5  BD.000002,PJ1014 .P3 v.5 bd.2,513317,ALDERMAN,1974,Katalog Alexandrinischer Kaisermünzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln /,Universität zu Köln. Institut für Altertumskunde.,X000396041,STACKS,STACKS,BOOK,8/17/07,11/11/10,0,0,0,0,1
PJ 001014 .P3  V.5  BD.000003,PJ1014 .P3 v.5 bd.3,513317,ALDERMAN,1974,Katalog Alexandrinischer Kaisermünzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln /,Universität zu Köln. Institut für Altertumskunde.,X000482088,STACKS,STACKS,BOOK,8/17/07,8/17/07,0,0,0,0,1
PJ 001014 .P3  V.5  BD.000004,PJ1014 .P3 v.5 bd.4,513317,ALDERMAN,1974,Katalog Alexandrinischer Kaisermünzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln /,Universität zu Köln. Institut für Altertumskunde.,X000690164,STACKS,STACKS,BOOK,6/29/96,8/10/07,0,0,0,0,1
PJ 001014 .P3  V.5  BD.000005,PJ1014 .P3 v.5 bd.5,513317,ALDERMAN,1974,Katalog Alexandrinischer Kaisermünzen der Sammlung des Instituts für Altertumskunde der Universität zu Köln /,Universität zu Köln. Institut für Altertumskunde.,X000690147,STACKS,STACKS,BOOK,8/17/07,8/17/07,0,0,0,0,1
PJ 001014 .P3  V.6  PT.000001,PJ1014 .P3 v.6 pt.1,430378,ALDERMAN,1975,The epistrategos in Ptolemaic and Roman Egypt /,"Thomas, J. D. (James David),",X000482539,STACKS,STACKS,BOOK,6/29/96,8/10/07,0,0,0,1,1
PJ 001014 .P3  V.6  PT.000002,PJ1014 .P3 v.6 pt.2,430378,ALDERMAN,1975,The epistrategos in Ptolemaic and Roman Egypt /,"Thomas, J. D. (James David),",X000482538,STACKS,STACKS,BOOK,6/29/96,8/10/07,0,0,0,16,1
PJ 001014 .P3  V.7  BD.000001,PJ1014 .P3 v.7 Bd.1,429943,ALDERMAN,1976,Kölner Papyri : (P. Köln) /,"Kramer, Bärbel.",X030224504,STACKS,STACKS,BOOK,8/17/07,8/17/07,0,0,0,0,1
PJ 001014 .P3  V.7  BD.000010,PJ1014 .P3 v.7 Bd.10,429943,ALDERMAN,1976,Kölner Papyri : (P. Köln) /,"Kramer, Bärbel.",X006143677,STACKS,STACKS,BOOK,3/1/04,8/10/07,0,0,2,0,1
